"NAME","county_name","CBSA","statefips","countyfips","year","s_white","s_aa","s_hisp"
NA,"Prince William County, VA",47900,"51","153",2017,0.589052340143268,0.209016711664445,0.224157705934161
NA,"Prince William County, VA",47900,"51","153",2000,0.687535833455004,0.188285442625519,0.0970966443861217
NA,"Prince William County, VA",47900,"51","153",1990,0.834741244216129,0.115640328996782,0.043595782758269
NA,"Prince William County, VA",47900,"51","153",1980,0.905558281445443,0.0836955695458975,0.0231163141054436
NA,"Prince William County, VA",47900,"51","153",1970,NA,NA,NA
NA,"Rappahannock County, VA",47900,"51","157",2009,0.904476363129271,0.0564774787337889,0.0126900013945056
NA,"Rappahannock County, VA",47900,"51","157",2013,0.921052631578947,0.0453813104189044,0.0322234156820623
NA,"Rappahannock County, VA",47900,"51","157",2017,0.913303437967115,0.0380486479141188,0.0354667753770893
NA,"Rappahannock County, VA",47900,"51","157",2000,0.930259200916511,0.0498353143348131,0.0206215093799227
NA,"Rappahannock County, VA",47900,"51","157",1990,0.918000604047116,0.0747508305647841,0.00709755360918152
NA,"Rappahannock County, VA",47900,"51","157",1980,0.886919415722961,0.113080584277039,0
NA,"Rappahannock County, VA",47900,"51","157",1970,NA,NA,NA
NA,"Spotsylvania County, VA",47900,"51","177",2009,0.773660051302822,0.150879235857972,0.0636053732955313
NA,"Spotsylvania County, VA",47900,"51","177",2013,0.748960335910038,0.157304997627072,0.0783227020809369
NA,"Spotsylvania County, VA",47900,"51","177",2017,0.729630682472975,0.15859832973517,0.0899361550104103
NA,"Spotsylvania County, VA",47900,"51","177",2000,0.828917528624371,0.118645942806571,0.026008075667902
NA,"Spotsylvania County, VA",47900,"51","177",1990,0.874884587913524,0.107886347403446,0.0161315610682369
NA,"Spotsylvania County, VA",47900,"51","177",1980,0.844344417017569,0.147872803833309,0.00871206621170321
NA,"Spotsylvania County, VA",47900,"51","177",1970,NA,NA,NA
NA,"Stafford County, VA",47900,"51","179",2009,0.732015344249228,0.165814208376233,0.0797186887641569
NA,"Stafford County, VA",47900,"51","179",2013,0.707146377525875,0.171702619706563,0.0966372218220419
NA,"Stafford County, VA",47900,"51","179",2017,0.690441275441169,0.169595987503454,0.116995728221367
NA,"Stafford County, VA",47900,"51","179",2000,0.819959760292495,0.11896674815568,0.0344092767669775
NA,"Stafford County, VA",47900,"51","179",1990,0.909334378470181,0.069077013521458,0.0210823698478019
NA,"Stafford County, VA",47900,"51","179",1980,0.927946627131208,0.0713615023474178,0.0135903138127008
NA,"Stafford County, VA",47900,"51","179",1970,NA,NA,NA
NA,"Warren County, VA",47900,"51","187",2009,0.91459528362014,0.0505445174162441,0.0301770720758168
NA,"Warren County, VA",47900,"51","187",2013,0.913468654191775,0.0410719949254678,0.0364467702716989
NA,"Warren County, VA",47900,"51","187",2017,0.906337359903567,0.0368033648790747,0.0415993434382293
NA,"Warren County, VA",47900,"51","187",2000,0.918946301925025,0.0580990374873354,0.0115881458966565
NA,"Warren County, VA",47900,"51","187",1990,0.946063805370668,0.0455588707826486,0.0107489863055619
NA,"Warren County, VA",47900,"51","187",1980,0.94811320754717,0.0579245283018868,0.0106603773584906
NA,"Warren County, VA",47900,"51","187",1970,NA,NA,NA
NA,"Alexandria city, VA",47900,"51","510",2009,0.644708051023352,0.21838304099739,0.138928171897756
NA,"Alexandria city, VA",47900,"51","510",2013,0.640579326856157,0.217776509562651,0.163845661312324
NA,"Alexandria city, VA",47900,"51","510",2017,0.623172387046733,0.220561049705901,0.167409992889923
NA,"Alexandria city, VA",47900,"51","510",2000,0.598481482347622,0.221728522095679,0.146137835878487
NA,"Alexandria city, VA",47900,"51","510",1990,0.691715460097317,0.22087009704721,0.0946727467328638
NA,"Alexandria city, VA",47900,"51","510",1980,0.751271592857766,0.226668087621225,0.0411850761018049
NA,"Alexandria city, VA",47900,"51","510",1970,NA,NA,NA
NA,"Fairfax city, VA",47900,"51","600",2009,0.72459240874663,0.0532329154007446,0.136120501519107
NA,"Fairfax city, VA",47900,"51","600",2013,0.704737916359057,0.0501150822946975,0.160898076171451
NA,"Fairfax city, VA",47900,"51","600",2017,0.68295165394402,0.0485581000848176,0.168999151823579
NA,"Fairfax city, VA",47900,"51","600",2000,0.73225416317797,0.046888082612336,0.135175365150247
NA,"Fairfax city, VA",47900,"51","600",1990,0.856283763123025,0.0520334318621955,0.069106105391907
