"NAME","year","CBSA","hhts_type_name","hhts_share"
"Houston-The Woodlands-Sugar Land, TX",1990,26420,"w/o kids: non-fam. hh",0.288945465443545
"Houston-The Woodlands-Sugar Land, TX",2000,26420,"w/o kids: non-fam. hh",0.281843427929187
"Houston-The Woodlands-Sugar Land, TX",2009,26420,"w/o kids: non-fam. hh",0.289159930897948
"Houston-The Woodlands-Sugar Land, TX",2013,26420,"w/o kids: non-fam. hh",0.28848963364109
"Houston-The Woodlands-Sugar Land, TX",2017,26420,"w/o kids: non-fam. hh",0.290174465928936
"Los Angeles-Long Beach-Anaheim, CA",1970,31080,"w/o kids: non-fam. hh",NA
"Los Angeles-Long Beach-Anaheim, CA",1980,31080,"w/o kids: non-fam. hh",0.322021536168783
"Los Angeles-Long Beach-Anaheim, CA",1990,31080,"w/o kids: non-fam. hh",0.312984019635948
"Los Angeles-Long Beach-Anaheim, CA",2000,31080,"w/o kids: non-fam. hh",0.305520066260145
"Los Angeles-Long Beach-Anaheim, CA",2009,31080,"w/o kids: non-fam. hh",0.315749685653644
"Los Angeles-Long Beach-Anaheim, CA",2013,31080,"w/o kids: non-fam. hh",0.31535946823099
"Los Angeles-Long Beach-Anaheim, CA",2017,31080,"w/o kids: non-fam. hh",0.316764324770252
"Miami-Fort Lauderdale-West Palm Beach, FL",1970,33100,"w/o kids: non-fam. hh",NA
"Miami-Fort Lauderdale-West Palm Beach, FL",1980,33100,"w/o kids: non-fam. hh",0.294754547376355
"Miami-Fort Lauderdale-West Palm Beach, FL",1990,33100,"w/o kids: non-fam. hh",0.349079576863749
"Miami-Fort Lauderdale-West Palm Beach, FL",2000,33100,"w/o kids: non-fam. hh",0.332561921047386
"Miami-Fort Lauderdale-West Palm Beach, FL",2009,33100,"w/o kids: non-fam. hh",0.347704421146202
"Miami-Fort Lauderdale-West Palm Beach, FL",2013,33100,"w/o kids: non-fam. hh",0.347622994048068
"Miami-Fort Lauderdale-West Palm Beach, FL",2017,33100,"w/o kids: non-fam. hh",0.34405460247542
"New York-Newark-Jersey City, NY-NJ-PA",1970,35620,"w/o kids: non-fam. hh",NA
"New York-Newark-Jersey City, NY-NJ-PA",1980,35620,"w/o kids: non-fam. hh",0.28632313101525
"New York-Newark-Jersey City, NY-NJ-PA",1990,35620,"w/o kids: non-fam. hh",0.306212873115852
"New York-Newark-Jersey City, NY-NJ-PA",2000,35620,"w/o kids: non-fam. hh",0.320692615124246
"New York-Newark-Jersey City, NY-NJ-PA",2009,35620,"w/o kids: non-fam. hh",0.334217176259444
"New York-Newark-Jersey City, NY-NJ-PA",2013,35620,"w/o kids: non-fam. hh",0.334472609275771
"New York-Newark-Jersey City, NY-NJ-PA",2017,35620,"w/o kids: non-fam. hh",0.337086899923787
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1970,37980,"w/o kids: non-fam. hh",NA
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1980,37980,"w/o kids: non-fam. hh",0.260822384227796
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1990,37980,"w/o kids: non-fam. hh",0.294159051070946
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2000,37980,"w/o kids: non-fam. hh",0.321098726338356
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2009,37980,"w/o kids: non-fam. hh",0.342000810489157
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013,37980,"w/o kids: non-fam. hh",0.348235518143779
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2017,37980,"w/o kids: non-fam. hh",0.35271188313495
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1970,47900,"w/o kids: non-fam. hh",NA
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1980,47900,"w/o kids: non-fam. hh",0.306785785401722
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1990,47900,"w/o kids: non-fam. hh",0.323622091131686
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2000,47900,"w/o kids: non-fam. hh",0.335035413992545
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2009,47900,"w/o kids: non-fam. hh",0.347971942665447
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2013,47900,"w/o kids: non-fam. hh",0.33969954588077
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2017,47900,"w/o kids: non-fam. hh",0.336956471649753
