"ZCTA","STATE","COUNTY","NAME","LSAD","new_constructions","existing_constructions","total_single_family_households_since_2000","total_single_family_households","new_existing_constructions_ratio","share_single_family_new_constructions","area_type","brks","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","AFFGEOID10","GEOID10","ALAND10","AWATER10"
"20706",24,"033","Prince George's","County",606,11520,462,9065,0.05,0.76,"Suburban","0.83",482.691,27012480.3387637,27012480.3387637,1,"8600000US20706","20706",26783699,131889
"20707",24,"033","Prince George's","County",2581,9721,1461,7515,0.27,0.57,"Suburban","0.83",482.691,29389852.2616729,27359475.4047924,0.930915717479525,"8600000US20707","20707",28885910,477550
"20708",24,"033","Prince George's","County",656,9104,312,4213,0.07,0.48,"Suburban","0.83",482.691,36947101.6187005,36917742.8968161,0.999205384980197,"8600000US20708","20708",36138182,784565
"20710",24,"033","Prince George's","County",360,3190,179,959,0.11,0.5,"Suburban","0.83",482.691,2866204.86688462,2866204.86688462,1,"8600000US20710","20710",2860421,6160
"20712",24,"033","Prince George's","County",60,3622,15,1152,0.02,0.25,"Suburban","0.29",482.691,1912759.04030633,1912847.50499773,1.00004624978345,"8600000US20712","20712",1889113,12394
"20715",24,"033","Prince George's","County",477,8203,468,8609,0.06,0.98,"Suburban","1",482.691,37839684.600201,37775503.5440526,0.998303869156772,"8600000US20715","20715",37643192,169222
"20716",24,"033","Prince George's","County",962,7402,462,6504,0.13,0.48,"Suburban","0.83",482.691,30068705.9940185,30043571.4514885,0.999164096302149,"8600000US20716","20716",29888297,178419
"20720",24,"033","Prince George's","County",2781,4601,2733,7290,0.6,0.98,"Suburban","1",482.691,29123689.0119808,29116863.81626,0.999765647967263,"8600000US20720","20720",28925474,203737
"20721",24,"033","Prince George's","County",2184,7404,2002,9006,0.29,0.92,"Suburban","1",482.691,43679265.6820967,43679265.6820967,1,"8600000US20721","20721",43263246,376690
"20722",24,"033","Prince George's","County",31,1677,31,1430,0.02,1,"Suburban","1",482.691,3902682.20794247,3902682.20794247,1,"8600000US20722","20722",3813417,79479
