FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Median value (dollars)
ACSSF,2009e5,wv,000,0100,0000172,060,54,051,06000US5405190816,"District 2, Marshall County, West Virginia",69500
ACSSF,2009e5,wv,000,0100,0000173,060,54,051,06000US5405190852,"District 3, Marshall County, West Virginia",88100
ACSSF,2009e5,wv,000,0100,0000174,060,54,053,06000US5405390048,"Arbuckle district, Mason County, West Virginia",82300
ACSSF,2009e5,wv,000,0100,0000175,060,54,053,06000US5405390612,"Clendenin district, Mason County, West Virginia",63300
ACSSF,2009e5,wv,000,0100,0000176,060,54,053,06000US5405390648,"Cologne district, Mason County, West Virginia",73900
ACSSF,2009e5,wv,000,0100,0000177,060,54,053,06000US5405390660,"Cooper district, Mason County, West Virginia",92500
ACSSF,2009e5,wv,000,0100,0000178,060,54,053,06000US5405391260,"Graham district, Mason County, West Virginia",80200
ACSSF,2009e5,wv,000,0100,0000179,060,54,053,06000US5405391512,"Hannan district, Mason County, West Virginia",98200
ACSSF,2009e5,wv,000,0100,0000180,060,54,053,06000US5405391860,"Lewis district, Mason County, West Virginia",86100
ACSSF,2009e5,wv,000,0100,0000181,060,54,053,06000US5405392652,"Robinson district, Mason County, West Virginia",81800
ACSSF,2009e5,wv,000,0100,0000182,060,54,053,06000US5405393264,"Union district, Mason County, West Virginia",74700
ACSSF,2009e5,wv,000,0100,0000183,060,54,053,06000US5405393432,"Waggener district, Mason County, West Virginia",67000
ACSSF,2009e5,wv,000,0100,0000184,060,54,055,06000US5405590900,"District I, Mercer County, West Virginia",65600
ACSSF,2009e5,wv,000,0100,0000185,060,54,055,06000US5405590912,"District II, Mercer County, West Virginia",74700
ACSSF,2009e5,wv,000,0100,0000186,060,54,055,06000US5405590924,"District III, Mercer County, West Virginia",72800
ACSSF,2009e5,wv,000,0100,0000187,060,54,057,06000US5405790784,"District 1, Mineral County, West Virginia",105600
ACSSF,2009e5,wv,000,0100,0000188,060,54,057,06000US5405790820,"District 2, Mineral County, West Virginia",99600
ACSSF,2009e5,wv,000,0100,0000189,060,54,057,06000US5405790856,"District 3, Mineral County, West Virginia",120200
ACSSF,2009e5,wv,000,0100,0000190,060,54,059,06000US5405990141,"Beech Ben Mate district, Mingo County, West Virginia",56300
ACSSF,2009e5,wv,000,0100,0000191,060,54,059,06000US5405991770,"Kermit Harvey district, Mingo County, West Virginia",59300
ACSSF,2009e5,wv,000,0100,0000192,060,54,059,06000US5405991848,"Lee district, Mingo County, West Virginia",72700
ACSSF,2009e5,wv,000,0100,0000193,060,54,059,06000US5405992064,"Magnolia district, Mingo County, West Virginia",62200
ACSSF,2009e5,wv,000,0100,0000194,060,54,059,06000US5405993012,"Stafford district, Mingo County, West Virginia",63900
ACSSF,2009e5,wv,000,0100,0000195,060,54,059,06000US5405993162,"Tug Hardee district, Mingo County, West Virginia",80700
ACSSF,2009e5,wv,000,0100,0000196,060,54,059,06000US5405993696,"Williamson district, Mingo County, West Virginia",66500
ACSSF,2009e5,wv,000,0100,0000197,060,54,061,06000US5406190456,"Central district, Monongalia County, West Virginia",148300
ACSSF,2009e5,wv,000,0100,0000198,060,54,061,06000US5406190983,"Eastern district, Monongalia County, West Virginia",164000
ACSSF,2009e5,wv,000,0100,0000199,060,54,061,06000US5406193612,"Western district, Monongalia County, West Virginia",103800
ACSSF,2009e5,wv,000,0100,0000200,060,54,063,06000US5406390457,"Central district, Monroe County, West Virginia",89200
ACSSF,2009e5,wv,000,0100,0000201,060,54,063,06000US5406390984,"Eastern district, Monroe County, West Virginia",91400
ACSSF,2009e5,wv,000,0100,0000202,060,54,063,06000US5406393613,"Western district, Monroe County, West Virginia",84800
ACSSF,2009e5,wv,000,0100,0000203,060,54,065,06000US5406590786,"District 1, Morgan County, West Virginia",139000
ACSSF,2009e5,wv,000,0100,0000204,060,54,065,06000US5406590822,"District 2, Morgan County, West Virginia",161600
ACSSF,2009e5,wv,000,0100,0000205,060,54,065,06000US5406590858,"District 3, Morgan County, West Virginia",170600
ACSSF,2009e5,wv,000,0100,0000206,060,54,067,06000US5406790132,"Beaver district, Nicholas County, West Virginia",61100
ACSSF,2009e5,wv,000,0100,0000207,060,54,067,06000US5406791344,"Grant district, Nicholas County, West Virginia",64300
ACSSF,2009e5,wv,000,0100,0000208,060,54,067,06000US5406791500,"Hamilton district, Nicholas County, West Virginia",80300
ACSSF,2009e5,wv,000,0100,0000209,060,54,067,06000US5406791716,"Jefferson district, Nicholas County, West Virginia",56100
ACSSF,2009e5,wv,000,0100,0000210,060,54,067,06000US5406791752,"Kentucky district, Nicholas County, West Virginia",70100
ACSSF,2009e5,wv,000,0100,0000211,060,54,067,06000US5406793072,"Summersville district, Nicholas County, West Virginia",96900
ACSSF,2009e5,wv,000,0100,0000212,060,54,067,06000US5406793660,"Wilderness district, Nicholas County, West Virginia",88800
ACSSF,2009e5,wv,000,0100,0000213,060,54,069,06000US5406990788,"District 1, Ohio County, West Virginia",88200
ACSSF,2009e5,wv,000,0100,0000214,060,54,069,06000US5406990824,"District 2, Ohio County, West Virginia",71700
ACSSF,2009e5,wv,000,0100,0000215,060,54,069,06000US5406990862,"District 3, Ohio County, West Virginia",101000
ACSSF,2009e5,wv,000,0100,0000216,060,54,071,06000US5407190462,"Central district, Pendleton County, West Virginia",104300
ACSSF,2009e5,wv,000,0100,0000217,060,54,071,06000US5407190987,"Eastern district, Pendleton County, West Virginia",109900
