FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Owner occupied,Renter occupied
ACSSF,2009e5,wv,000,0096,0000109,060,54,021,06000US5402190758,"De Kalb-Troy district, Gilmer County, West Virginia",608,414,194
ACSSF,2009e5,wv,000,0096,0000110,060,54,021,06000US5402191236,"Glenville district, Gilmer County, West Virginia",432,324,108
ACSSF,2009e5,wv,000,0096,0000111,060,54,023,06000US5402391296,"Grant district, Grant County, West Virginia",1592,1361,231
ACSSF,2009e5,wv,000,0096,0000112,060,54,023,06000US5402392208,"Milroy district, Grant County, West Virginia",2064,1525,539
ACSSF,2009e5,wv,000,0096,0000113,060,54,023,06000US5402393216,"Union district, Grant County, West Virginia",1553,1313,240
ACSSF,2009e5,wv,000,0096,0000114,060,54,025,06000US5402590449,"Central district, Greenbrier County, West Virginia",5406,3755,1651
ACSSF,2009e5,wv,000,0096,0000115,060,54,025,06000US5402590972,"Eastern district, Greenbrier County, West Virginia",5209,4031,1178
ACSSF,2009e5,wv,000,0096,0000116,060,54,025,06000US5402593601,"Western district, Greenbrier County, West Virginia",4888,3688,1200
ACSSF,2009e5,wv,000,0096,0000117,060,54,027,06000US5402790204,"Bloomery district, Hampshire County, West Virginia",1042,743,299
ACSSF,2009e5,wv,000,0096,0000118,060,54,027,06000US5402790360,"Capon district, Hampshire County, West Virginia",932,747,185
ACSSF,2009e5,wv,000,0096,0000119,060,54,027,06000US5402791248,"Gore district, Hampshire County, West Virginia",1841,1548,293
ACSSF,2009e5,wv,000,0096,0000120,060,54,027,06000US5402792184,"Mill Creek district, Hampshire County, West Virginia",523,451,72
ACSSF,2009e5,wv,000,0096,0000121,060,54,027,06000US5402792676,"Romney district, Hampshire County, West Virginia",1627,929,698
ACSSF,2009e5,wv,000,0096,0000122,060,54,027,06000US5402792820,"Sherman district, Hampshire County, West Virginia",1777,1355,422
ACSSF,2009e5,wv,000,0096,0000123,060,54,027,06000US5402792988,"Springfield district, Hampshire County, West Virginia",1109,823,286
ACSSF,2009e5,wv,000,0096,0000124,060,54,029,06000US5402990312,"Butler district, Hancock County, West Virginia",4550,3313,1237
ACSSF,2009e5,wv,000,0096,0000125,060,54,029,06000US5402990540,"Clay district, Hancock County, West Virginia",4486,3263,1223
ACSSF,2009e5,wv,000,0096,0000126,060,54,029,06000US5402991308,"Grant district, Hancock County, West Virginia",4393,3222,1171
ACSSF,2009e5,wv,000,0096,0000127,060,54,031,06000US5403190372,"Capon district, Hardy County, West Virginia",967,796,171
ACSSF,2009e5,wv,000,0096,0000128,060,54,031,06000US5403191968,"Lost River district, Hardy County, West Virginia",1027,881,146
ACSSF,2009e5,wv,000,0096,0000129,060,54,031,06000US5403192232,"Moorefield district, Hardy County, West Virginia",990,716,274
ACSSF,2009e5,wv,000,0096,0000130,060,54,031,06000US5403192382,"Old Fields district, Hardy County, West Virginia",937,704,233
ACSSF,2009e5,wv,000,0096,0000131,060,54,031,06000US5403192928,"South Fork district, Hardy County, West Virginia",874,718,156
ACSSF,2009e5,wv,000,0096,0000132,060,54,033,06000US5403390975,"Eastern district, Harrison County, West Virginia",4914,3908,1006
ACSSF,2009e5,wv,000,0096,0000133,060,54,033,06000US5403392352,"Northern district, Harrison County, West Virginia",4266,3516,750
ACSSF,2009e5,wv,000,0096,0000134,060,54,033,06000US5403392368,"North Urban district, Harrison County, West Virginia",4867,2876,1991
ACSSF,2009e5,wv,000,0096,0000135,060,54,033,06000US5403392923,"Southern district, Harrison County, West Virginia",4996,3723,1273
ACSSF,2009e5,wv,000,0096,0000136,060,54,033,06000US5403392932,"South Urban district, Harrison County, West Virginia",5011,3321,1690
ACSSF,2009e5,wv,000,0096,0000137,060,54,033,06000US5403392952,"Southwest district, Harrison County, West Virginia",4156,3282,874
