FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Owner occupied:,Built 2000 or later:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1980 to 1999:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1960 to 1979:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1940 to 1959:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1939 or earlier:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Renter occupied:,Built 2000 or later:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1980 to 1999:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1960 to 1979:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1940 to 1959:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1939 or earlier:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc."
ACSSF,2011e5,wv,000,0107,0000038,050,54,051,05000US54051,"Marshall County, West Virginia",13915,11019,390,347,0,0,0,0,43,1744,1155,21,3,0,0,565,3353,2944,0,3,0,0,406,2513,2506,7,0,0,0,0,3019,2977,42,0,0,0,0,2896,187,16,98,40,0,14,19,587,122,217,131,4,17,96,845,289,232,93,90,76,65,527,430,57,28,9,3,0,750,591,112,47,0,0,0
ACSSF,2011e5,wv,000,0107,0000039,050,54,053,05000US54053,"Mason County, West Virginia",10715,8497,928,655,0,0,0,0,273,2421,1564,0,0,0,0,857,2529,1895,0,0,0,0,634,1779,1754,0,0,14,11,0,840,840,0,0,0,0,0,2218,160,38,10,10,22,0,80,595,61,72,50,25,0,387,705,360,78,26,8,41,192,453,352,67,22,12,0,0,305,222,31,14,0,38,0
ACSSF,2011e5,wv,000,0107,0000040,050,54,055,05000US54055,"Mercer County, West Virginia",25611,18761,1290,799,11,0,0,0,480,5007,2440,0,23,0,0,2544,5151,4050,0,0,0,0,1101,4159,4124,23,12,0,0,0,3154,3151,3,0,0,0,0,6850,540,124,30,254,63,11,58,2089,348,268,383,116,43,931,1650,776,162,178,38,71,425,1398,1036,143,166,34,19,0,1173,700,231,89,15,138,0
ACSSF,2011e5,wv,000,0107,0000041,050,54,057,05000US54057,"Mineral County, West Virginia",11276,8264,365,317,0,0,0,0,48,2243,1892,0,0,0,0,351,2898,2535,11,0,0,0,352,1438,1438,0,0,0,0,0,1320,1303,17,0,0,0,0,3012,184,16,51,77,0,0,40,584,192,14,49,0,144,185,1131,537,224,114,12,67,177,683,393,224,37,19,10,0,430,333,73,15,9,0,0
ACSSF,2011e5,wv,000,0107,0000042,050,54,059,05000US54059,"Mingo County, West Virginia",10776,8289,1077,471,0,0,0,0,606,3624,2159,0,0,0,0,1465,1618,1124,0,0,0,0,494,1233,1191,0,0,0,0,42,737,690,40,0,0,0,7,2487,272,89,2,31,0,0,150,995,354,83,157,10,94,297,461,135,51,22,0,71,182,406,346,22,33,0,5,0,353,205,38,20,0,90,0
ACSSF,2011e5,wv,000,0107,0000043,050,54,061,05000US54061,"Monongalia County, West Virginia",35266,20169,3280,2638,20,40,59,26,497,5486,3976,27,16,0,17,1450,5244,3931,51,38,0,16,1208,3732,3584,20,0,0,0,128,2427,2372,47,0,0,0,8,15097,3084,580,241,1197,745,270,51,3737,635,575,1212,386,328,601,4091,719,1065,1067,236,253,751,2179,937,745,307,0,58,132,2006,832,979,128,52,15,0
ACSSF,2011e5,wv,000,0107,0000044,050,54,063,05000US54063,"Monroe County, West Virginia",5615,4850,364,299,0,0,0,0,65,1505,980,3,12,0,0,510,1385,1058,0,0,0,0,327,692,667,0,0,0,0,25,904,904,0,0,0,0,0,765,32,15,0,0,0,0,17,231,83,0,45,5,0,98,155,93,0,0,0,0,62,92,92,0,0,0,0,0,255,250,5,0,0,0,0
ACSSF,2011e5,wv,000,0107,0000045,050,54,065,05000US54065,"Morgan County, West Virginia",7171,4801,478,461,0,0,0,0,17,1603,1402,2,0,0,0,199,1492,1201,8,0,0,0,283,548,545,3,0,0,0,0,680,677,3,0,0,0,0,2370,145,0,3,47,0,0,95,704,414,177,52,0,0,61,931,504,38,92,29,8,260,268,241,15,0,0,0,12,322,242,64,16,0,0,0
ACSSF,2011e5,wv,000,0107,0000046,050,54,067,05000US54067,"Nicholas County, West Virginia",10149,8312,821,569,0,0,0,0,252,3098,1872,45,0,0,0,1181,2348,1726,0,0,0,0,622,1321,1303,0,0,0,0,18,724,708,16,0,0,0,0,1837,117,98,0,0,0,0,19,754,65,60,123,38,127,341,517,211,89,139,0,0,78,293,241,52,0,0,0,0,156,123,0,33,0,0,0
ACSSF,2011e5,wv,000,0107,0000047,050,54,069,05000US54069,"Ohio County, West Virginia",18624,13169,471,440,0,0,0,0,31,1548,1229,23,42,0,0,254,2912,2596,77,36,0,9,194,2899,2823,63,2,0,8,3,5339,5261,78,0,0,0,0,5455,274,53,47,32,43,39,60,773,85,157,143,111,235,42,1562,242,359,303,47,582,29,1058,659,218,94,39,36,12,1788,674,747,247,23,97,0
