FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:,Two races including Some other race,"Two races excluding Some other race, and three or more races"
ACSSF,2013e5,wv,000,0004,0003521,155,54,061,15500US5485996061,"Monongalia County (part), Westover city, West Virginia",4054,3701,141,25,0,0,0,187,0,187
ACSSF,2013e5,wv,000,0004,0003522,155,54,017,15500US5486116017,"Doddridge County (part), West Union town, West Virginia",1319,1195,22,0,0,0,0,102,0,102
ACSSF,2013e5,wv,000,0004,0003523,155,54,051,15500US5486452051,"Marshall County (part), Wheeling city, West Virginia",410,410,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003524,155,54,069,15500US5486452069,"Ohio County (part), Wheeling city, West Virginia",28029,25629,1434,58,302,0,81,525,30,495
ACSSF,2013e5,wv,000,0004,0003525,155,54,049,15500US5486620049,"Marion County (part), White Hall town, West Virginia",600,590,3,0,7,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003526,155,54,025,15500US5486812025,"Greenbrier County (part), White Sulphur Springs city, West Virginia",2490,2122,276,0,29,6,0,57,0,57
ACSSF,2013e5,wv,000,0004,0003527,155,54,005,15500US5486836005,"Boone County (part), Whitesville town, West Virginia",506,506,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003528,155,54,083,15500US5486932083,"Randolph County (part), Whitmer CDP, West Virginia",59,59,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003529,155,54,057,15500US5487316057,"Mineral County (part), Wiley Ford CDP, West Virginia",859,859,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003530,155,54,059,15500US5487508059,"Mingo County (part), Williamson city, West Virginia",3147,2525,324,0,90,0,0,208,0,208
ACSSF,2013e5,wv,000,0004,0003531,155,54,107,15500US5487556107,"Wood County (part), Williamstown city, West Virginia",2910,2886,0,0,0,0,0,24,0,24
ACSSF,2013e5,wv,000,0004,0003532,155,54,009,15500US5487892009,"Brooke County (part), Windsor Heights village, West Virginia",504,459,0,15,3,7,0,20,0,20
ACSSF,2013e5,wv,000,0004,0003533,155,54,079,15500US5487988079,"Putnam County (part), Winfield town, West Virginia",2493,2272,7,5,9,0,0,200,0,200
ACSSF,2013e5,wv,000,0004,0003534,155,54,033,15500US5488276033,"Harrison County (part), Wolf Summit CDP, West Virginia",155,155,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003535,155,54,083,15500US5488324083,"Randolph County (part), Womelsdorf (Coalton) town, West Virginia",280,280,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003536,155,54,049,15500US5488708049,"Marion County (part), Worthington town, West Virginia",219,219,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003537,160,54,   ,16000US5400196,"Accoville CDP, West Virginia",469,469,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003538,160,54,   ,16000US5400364,"Addison (Webster Springs) town, West Virginia",1206,1193,0,0,0,0,0,13,0,13
ACSSF,2013e5,wv,000,0004,0003539,160,54,   ,16000US5400748,"Albright town, West Virginia",296,290,2,0,0,0,0,4,0,4
ACSSF,2013e5,wv,000,0004,0003540,160,54,   ,16000US5400772,"Alderson town, West Virginia",1063,986,53,12,0,0,4,8,4,4
ACSSF,2013e5,wv,000,0004,0003541,160,54,   ,16000US5401396,"Alum Creek CDP, West Virginia",1735,1706,0,0,20,0,0,9,0,9
ACSSF,2013e5,wv,000,0004,0003542,160,54,   ,16000US5401660,"Amherstdale CDP, West Virginia",249,173,60,0,0,0,0,16,0,16
ACSSF,2013e5,wv,000,0004,0003543,160,54,   ,16000US5401780,"Anawalt town, West Virginia",275,269,6,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003544,160,54,   ,16000US5401900,"Anmoore town, West Virginia",916,808,108,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003545,160,54,   ,16000US5401996,"Ansted town, West Virginia",1617,1599,18,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003546,160,54,   ,16000US5402188,"Apple Grove CDP, West Virginia",127,127,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003547,160,54,   ,16000US5403292,"Athens town, West Virginia",1134,1039,38,0,18,0,5,34,0,34
ACSSF,2013e5,wv,000,0004,0003548,160,54,   ,16000US5403364,"Auburn town, West Virginia",125,125,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003549,160,54,   ,16000US5403460,"Aurora CDP, West Virginia",290,290,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003550,160,54,   ,16000US5404204,"Bancroft town, West Virginia",737,662,0,10,0,0,0,65,0,65
ACSSF,2013e5,wv,000,0004,0003551,160,54,   ,16000US5404276,"Barboursville village, West Virginia",3998,3800,76,6,69,0,1,46,0,46
ACSSF,2013e5,wv,000,0004,0003552,160,54,   ,16000US5404612,"Barrackville town, West Virginia",1284,1172,89,0,4,0,0,19,0,19
ACSSF,2013e5,wv,000,0004,0003553,160,54,   ,16000US5404732,"Bartley CDP, West Virginia",270,270,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003554,160,54,   ,16000US5404780,"Bartow CDP, West Virginia",197,197,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003555,160,54,   ,16000US5404876,"Bath (Berkeley Springs) town, West Virginia",798,759,14,5,18,0,0,2,2,0
ACSSF,2013e5,wv,000,0004,0003556,160,54,   ,16000US5404924,"Bayard town, West Virginia",393,393,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003557,160,54,   ,16000US5405068,"Beards Fork CDP, West Virginia",121,85,36,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003558,160,54,   ,16000US5405260,"Beaver CDP, West Virginia",1237,1209,0,0,0,0,0,28,0,28
ACSSF,2013e5,wv,000,0004,0003559,160,54,   ,16000US5405332,"Beckley city, West Virginia",17653,11917,4465,108,513,39,198,413,0,413
ACSSF,2013e5,wv,000,0004,0003560,160,54,   ,16000US5405452,"Beech Bottom village, West Virginia",644,644,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003561,160,54,   ,16000US5405788,"Belington town, West Virginia",2380,2231,0,0,0,0,0,149,0,149
ACSSF,2013e5,wv,000,0004,0003562,160,54,   ,16000US5405836,"Belle town, West Virginia",1245,1090,5,3,3,0,0,144,0,144
ACSSF,2013e5,wv,000,0004,0003563,160,54,   ,16000US5406004,"Belmont city, West Virginia",1100,1053,2,2,0,0,0,43,14,29
ACSSF,2013e5,wv,000,0004,0003564,160,54,   ,16000US5406052,"Belva CDP, West Virginia",114,114,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003565,160,54,   ,16000US5406340,"Benwood city, West Virginia",1274,1213,31,0,0,0,3,27,0,27
ACSSF,2013e5,wv,000,0004,0003566,160,54,   ,16000US5406436,"Bergoo CDP, West Virginia",43,43,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003567,160,54,   ,16000US5406748,"Berwind CDP, West Virginia",430,430,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003568,160,54,   ,16000US5406844,"Bethany town, West Virginia",1202,1046,97,2,39,0,7,11,0,11
ACSSF,2013e5,wv,000,0004,0003569,160,54,   ,16000US5406940,"Bethlehem village, West Virginia",2543,2496,0,0,28,0,6,13,0,13
ACSSF,2013e5,wv,000,0004,0003570,160,54,   ,16000US5406988,"Beverly town, West Virginia",694,665,9,0,0,0,0,20,0,20
ACSSF,2013e5,wv,000,0004,0003571,160,54,   ,16000US5407204,"Big Chimney CDP, West Virginia",309,309,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003572,160,54,   ,16000US5407228,"Big Creek CDP, West Virginia",416,416,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003573,160,54,   ,16000US5407516,"Big Sandy CDP, West Virginia",100,100,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003574,160,54,   ,16000US5407756,"Birch River CDP, West Virginia",158,158,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003575,160,54,   ,16000US5408092,"Blacksville town, West Virginia",156,156,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003576,160,54,   ,16000US5408308,"Blennerhassett CDP, West Virginia",3099,3082,0,0,0,0,12,5,0,5
ACSSF,2013e5,wv,000,0004,0003577,160,54,   ,16000US5408524,"Bluefield city, West Virginia",10492,7787,2435,15,102,0,14,139,0,139
ACSSF,2013e5,wv,000,0004,0003578,160,54,   ,16000US5408764,"Bluewell CDP, West Virginia",2696,2561,111,0,0,0,0,24,0,24
ACSSF,2013e5,wv,000,0004,0003579,160,54,   ,16000US5408836,"Boaz CDP, West Virginia",1593,1585,0,0,0,0,0,8,0,8
ACSSF,2013e5,wv,000,0004,0003580,160,54,   ,16000US5408932,"Bolivar town, West Virginia",1039,944,55,0,0,0,0,40,0,40
ACSSF,2013e5,wv,000,0004,0003581,160,54,   ,16000US5408956,"Bolt CDP, West Virginia",597,597,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003582,160,54,   ,16000US5409100,"Boomer CDP, West Virginia",1091,1050,34,0,0,0,0,7,0,7
ACSSF,2013e5,wv,000,0004,0003583,160,54,   ,16000US5409364,"Bowden CDP, West Virginia",0,0,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003584,160,54,   ,16000US5409676,"Bradley CDP, West Virginia",1834,1748,9,0,33,2,0,42,14,28
ACSSF,2013e5,wv,000,0004,0003585,160,54,   ,16000US5409700,"Bradshaw town, West Virginia",315,315,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003586,160,54,   ,16000US5409796,"Bramwell town, West Virginia",472,447,25,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003587,160,54,   ,16000US5409844,"Brandonville town, West Virginia",191,191,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003588,160,54,   ,16000US5409868,"Brandywine CDP, West Virginia",279,279,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003589,160,54,   ,16000US5409964,"Brenton CDP, West Virginia",196,196,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003590,160,54,   ,16000US5410180,"Bridgeport city, West Virginia",8260,7637,298,56,126,0,0,143,0,143
