FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,ZCTA,GEO_ID,GEO_NAME,Total
ACSSF,2016e5,us,000,0003,0010827,860,  ,   ,01451,86000US01451,ZCTA5 01451,4629
ACSSF,2016e5,us,000,0003,0010828,860,  ,   ,01452,86000US01452,ZCTA5 01452,4537
ACSSF,2016e5,us,000,0003,0010829,860,  ,   ,01453,86000US01453,ZCTA5 01453,41336
ACSSF,2016e5,us,000,0003,0010830,860,  ,   ,01460,86000US01460,ZCTA5 01460,9538
ACSSF,2016e5,us,000,0003,0010831,860,  ,   ,01462,86000US01462,ZCTA5 01462,11087
ACSSF,2016e5,us,000,0003,0010832,860,  ,   ,01463,86000US01463,ZCTA5 01463,12031
ACSSF,2016e5,us,000,0003,0010833,860,  ,   ,01464,86000US01464,ZCTA5 01464,7433
ACSSF,2016e5,us,000,0003,0010834,860,  ,   ,01467,86000US01467,ZCTA5 01467,560
ACSSF,2016e5,us,000,0003,0010835,860,  ,   ,01468,86000US01468,ZCTA5 01468,3704
ACSSF,2016e5,us,000,0003,0010836,860,  ,   ,01469,86000US01469,ZCTA5 01469,7430
ACSSF,2016e5,us,000,0003,0010837,860,  ,   ,01473,86000US01473,ZCTA5 01473,7480
ACSSF,2016e5,us,000,0003,0010838,860,  ,   ,01474,86000US01474,ZCTA5 01474,1939
ACSSF,2016e5,us,000,0003,0010839,860,  ,   ,01475,86000US01475,ZCTA5 01475,10613
ACSSF,2016e5,us,000,0003,0010840,860,  ,   ,01501,86000US01501,ZCTA5 01501,16239
ACSSF,2016e5,us,000,0003,0010841,860,  ,   ,01503,86000US01503,ZCTA5 01503,3061
ACSSF,2016e5,us,000,0003,0010842,860,  ,   ,01504,86000US01504,ZCTA5 01504,9068
ACSSF,2016e5,us,000,0003,0010843,860,  ,   ,01505,86000US01505,ZCTA5 01505,4480
ACSSF,2016e5,us,000,0003,0010844,860,  ,   ,01506,86000US01506,ZCTA5 01506,3386
ACSSF,2016e5,us,000,0003,0010845,860,  ,   ,01507,86000US01507,ZCTA5 01507,13292
ACSSF,2016e5,us,000,0003,0010846,860,  ,   ,01510,86000US01510,ZCTA5 01510,13759
ACSSF,2016e5,us,000,0003,0010847,860,  ,   ,01515,86000US01515,ZCTA5 01515,2259
ACSSF,2016e5,us,000,0003,0010848,860,  ,   ,01516,86000US01516,ZCTA5 01516,8689
ACSSF,2016e5,us,000,0003,0010849,860,  ,   ,01518,86000US01518,ZCTA5 01518,3009
ACSSF,2016e5,us,000,0003,0010850,860,  ,   ,01519,86000US01519,ZCTA5 01519,6548
ACSSF,2016e5,us,000,0003,0010851,860,  ,   ,01520,86000US01520,ZCTA5 01520,14880
ACSSF,2016e5,us,000,0003,0010852,860,  ,   ,01521,86000US01521,ZCTA5 01521,2374
ACSSF,2016e5,us,000,0003,0010853,860,  ,   ,01522,86000US01522,ZCTA5 01522,3380
ACSSF,2016e5,us,000,0003,0010854,860,  ,   ,01523,86000US01523,ZCTA5 01523,7811
ACSSF,2016e5,us,000,0003,0010855,860,  ,   ,01524,86000US01524,ZCTA5 01524,6649
ACSSF,2016e5,us,000,0003,0010856,860,  ,   ,01525,86000US01525,ZCTA5 01525,128
ACSSF,2016e5,us,000,0003,0010857,860,  ,   ,01527,86000US01527,ZCTA5 01527,13431
ACSSF,2016e5,us,000,0003,0010858,860,  ,   ,01529,86000US01529,ZCTA5 01529,3218
ACSSF,2016e5,us,000,0003,0010859,860,  ,   ,01531,86000US01531,ZCTA5 01531,1106
ACSSF,2016e5,us,000,0003,0010860,860,  ,   ,01532,86000US01532,ZCTA5 01532,14846
ACSSF,2016e5,us,000,0003,0010861,860,  ,   ,01534,86000US01534,ZCTA5 01534,6406
ACSSF,2016e5,us,000,0003,0010862,860,  ,   ,01535,86000US01535,ZCTA5 01535,4761
ACSSF,2016e5,us,000,0003,0010863,860,  ,   ,01536,86000US01536,ZCTA5 01536,7557
ACSSF,2016e5,us,000,0003,0010864,860,  ,   ,01537,86000US01537,ZCTA5 01537,2671
ACSSF,2016e5,us,000,0003,0010865,860,  ,   ,01540,86000US01540,ZCTA5 01540,10921
ACSSF,2016e5,us,000,0003,0010866,860,  ,   ,01541,86000US01541,ZCTA5 01541,3451
ACSSF,2016e5,us,000,0003,0010867,860,  ,   ,01542,86000US01542,ZCTA5 01542,2366
ACSSF,2016e5,us,000,0003,0010868,860,  ,   ,01543,86000US01543,ZCTA5 01543,8402
ACSSF,2016e5,us,000,0003,0010869,860,  ,   ,01545,86000US01545,ZCTA5 01545,36103
ACSSF,2016e5,us,000,0003,0010870,860,  ,   ,01550,86000US01550,ZCTA5 01550,16824
ACSSF,2016e5,us,000,0003,0010871,860,  ,   ,01560,86000US01560,ZCTA5 01560,4504
ACSSF,2016e5,us,000,0003,0010872,860,  ,   ,01561,86000US01561,ZCTA5 01561,249
ACSSF,2016e5,us,000,0003,0010873,860,  ,   ,01562,86000US01562,ZCTA5 01562,11801
ACSSF,2016e5,us,000,0003,0010874,860,  ,   ,01564,86000US01564,ZCTA5 01564,7954
ACSSF,2016e5,us,000,0003,0010875,860,  ,   ,01566,86000US01566,ZCTA5 01566,6442
ACSSF,2016e5,us,000,0003,0010876,860,  ,   ,01568,86000US01568,ZCTA5 01568,7532
ACSSF,2016e5,us,000,0003,0010877,860,  ,   ,01569,86000US01569,ZCTA5 01569,13881
ACSSF,2016e5,us,000,0003,0010878,860,  ,   ,01570,86000US01570,ZCTA5 01570,16838
ACSSF,2016e5,us,000,0003,0010879,860,  ,   ,01571,86000US01571,ZCTA5 01571,11608
ACSSF,2016e5,us,000,0003,0010880,860,  ,   ,01581,86000US01581,ZCTA5 01581,18706
ACSSF,2016e5,us,000,0003,0010881,860,  ,   ,01583,86000US01583,ZCTA5 01583,7602
ACSSF,2016e5,us,000,0003,0010882,860,  ,   ,01585,86000US01585,ZCTA5 01585,4606
ACSSF,2016e5,us,000,0003,0010883,860,  ,   ,01588,86000US01588,ZCTA5 01588,9731
ACSSF,2016e5,us,000,0003,0010884,860,  ,   ,01590,86000US01590,ZCTA5 01590,9184
ACSSF,2016e5,us,000,0003,0010885,860,  ,   ,01602,86000US01602,ZCTA5 01602,23812
ACSSF,2016e5,us,000,0003,0010886,860,  ,   ,01603,86000US01603,ZCTA5 01603,20505
ACSSF,2016e5,us,000,0003,0010887,860,  ,   ,01604,86000US01604,ZCTA5 01604,35866
ACSSF,2016e5,us,000,0003,0010888,860,  ,   ,01605,86000US01605,ZCTA5 01605,28696
ACSSF,2016e5,us,000,0003,0010889,860,  ,   ,01606,86000US01606,ZCTA5 01606,19258
ACSSF,2016e5,us,000,0003,0010890,860,  ,   ,01607,86000US01607,ZCTA5 01607,8636
ACSSF,2016e5,us,000,0003,0010891,860,  ,   ,01608,86000US01608,ZCTA5 01608,3511
ACSSF,2016e5,us,000,0003,0010892,860,  ,   ,01609,86000US01609,ZCTA5 01609,19982
ACSSF,2016e5,us,000,0003,0010893,860,  ,   ,01610,86000US01610,ZCTA5 01610,23919
ACSSF,2016e5,us,000,0003,0010894,860,  ,   ,01611,86000US01611,ZCTA5 01611,2466
ACSSF,2016e5,us,000,0003,0010895,860,  ,   ,01612,86000US01612,ZCTA5 01612,4889
ACSSF,2016e5,us,000,0003,0010896,860,  ,   ,01701,86000US01701,ZCTA5 01701,32061
ACSSF,2016e5,us,000,0003,0010897,860,  ,   ,01702,86000US01702,ZCTA5 01702,38781
ACSSF,2016e5,us,000,0003,0010898,860,  ,   ,01718,86000US01718,ZCTA5 01718,526
ACSSF,2016e5,us,000,0003,0010899,860,  ,   ,01719,86000US01719,ZCTA5 01719,5287
ACSSF,2016e5,us,000,0003,0010900,860,  ,   ,01720,86000US01720,ZCTA5 01720,22638
ACSSF,2016e5,us,000,0003,0010901,860,  ,   ,01721,86000US01721,ZCTA5 01721,17420
ACSSF,2016e5,us,000,0003,0010902,860,  ,   ,01730,86000US01730,ZCTA5 01730,14018
ACSSF,2016e5,us,000,0003,0010903,860,  ,   ,01731,86000US01731,ZCTA5 01731,1957
ACSSF,2016e5,us,000,0003,0010904,860,  ,   ,01740,86000US01740,ZCTA5 01740,5113
ACSSF,2016e5,us,000,0003,0010905,860,  ,   ,01741,86000US01741,ZCTA5 01741,5125
ACSSF,2016e5,us,000,0003,0010906,860,  ,   ,01742,86000US01742,ZCTA5 01742,19448
ACSSF,2016e5,us,000,0003,0010907,860,  ,   ,01745,86000US01745,ZCTA5 01745,482
ACSSF,2016e5,us,000,0003,0010908,860,  ,   ,01746,86000US01746,ZCTA5 01746,14324
ACSSF,2016e5,us,000,0003,0010909,860,  ,   ,01747,86000US01747,ZCTA5 01747,5942
ACSSF,2016e5,us,000,0003,0010910,860,  ,   ,01748,86000US01748,ZCTA5 01748,16257
ACSSF,2016e5,us,000,0003,0010911,860,  ,   ,01749,86000US01749,ZCTA5 01749,19680
ACSSF,2016e5,us,000,0003,0010912,860,  ,   ,01752,86000US01752,ZCTA5 01752,39545
ACSSF,2016e5,us,000,0003,0010913,860,  ,   ,01754,86000US01754,ZCTA5 01754,10526
ACSSF,2016e5,us,000,0003,0010914,860,  ,   ,01756,86000US01756,ZCTA5 01756,5963
ACSSF,2016e5,us,000,0003,0010915,860,  ,   ,01757,86000US01757,ZCTA5 01757,28600
ACSSF,2016e5,us,000,0003,0010916,860,  ,   ,01760,86000US01760,ZCTA5 01760,35133
ACSSF,2016e5,us,000,0003,0010917,860,  ,   ,01770,86000US01770,ZCTA5 01770,4255
ACSSF,2016e5,us,000,0003,0010918,860,  ,   ,01772,86000US01772,ZCTA5 01772,9486
ACSSF,2016e5,us,000,0003,0010919,860,  ,   ,01773,86000US01773,ZCTA5 01773,4793
ACSSF,2016e5,us,000,0003,0010920,860,  ,   ,01775,86000US01775,ZCTA5 01775,7027
ACSSF,2016e5,us,000,0003,0010921,860,  ,   ,01776,86000US01776,ZCTA5 01776,18594
ACSSF,2016e5,us,000,0003,0010922,860,  ,   ,01778,86000US01778,ZCTA5 01778,13697
ACSSF,2016e5,us,000,0003,0010923,860,  ,   ,01801,86000US01801,ZCTA5 01801,39775
ACSSF,2016e5,us,000,0003,0010924,860,  ,   ,01803,86000US01803,ZCTA5 01803,25698
ACSSF,2016e5,us,000,0003,0010925,860,  ,   ,01810,86000US01810,ZCTA5 01810,34963
ACSSF,2016e5,us,000,0003,0010926,860,  ,   ,01821,86000US01821,ZCTA5 01821,31780
ACSSF,2016e5,us,000,0003,0010927,860,  ,   ,01824,86000US01824,ZCTA5 01824,25803
ACSSF,2016e5,us,000,0003,0010928,860,  ,   ,01826,86000US01826,ZCTA5 01826,30855
ACSSF,2016e5,us,000,0003,0010929,860,  ,   ,01827,86000US01827,ZCTA5 01827,3310
ACSSF,2016e5,us,000,0003,0010930,860,  ,   ,01830,86000US01830,ZCTA5 01830,25882
ACSSF,2016e5,us,000,0003,0010931,860,  ,   ,01832,86000US01832,ZCTA5 01832,23305
ACSSF,2016e5,us,000,0003,0010932,860,  ,   ,01833,86000US01833,ZCTA5 01833,8514
ACSSF,2016e5,us,000,0003,0010933,860,  ,   ,01834,86000US01834,ZCTA5 01834,6681
ACSSF,2016e5,us,000,0003,0010934,860,  ,   ,01835,86000US01835,ZCTA5 01835,13153
ACSSF,2016e5,us,000,0003,0010935,860,  ,   ,01840,86000US01840,ZCTA5 01840,5524
ACSSF,2016e5,us,000,0003,0010936,860,  ,   ,01841,86000US01841,ZCTA5 01841,47836
ACSSF,2016e5,us,000,0003,0010937,860,  ,   ,01843,86000US01843,ZCTA5 01843,25963
ACSSF,2016e5,us,000,0003,0010938,860,  ,   ,01844,86000US01844,ZCTA5 01844,49057
ACSSF,2016e5,us,000,0003,0010939,860,  ,   ,01845,86000US01845,ZCTA5 01845,29705
ACSSF,2016e5,us,000,0003,0010940,860,  ,   ,01850,86000US01850,ZCTA5 01850,16394
ACSSF,2016e5,us,000,0003,0010941,860,  ,   ,01851,86000US01851,ZCTA5 01851,30026
ACSSF,2016e5,us,000,0003,0010942,860,  ,   ,01852,86000US01852,ZCTA5 01852,34332
ACSSF,2016e5,us,000,0003,0010943,860,  ,   ,01854,86000US01854,ZCTA5 01854,29204
