FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Married-couple family:,With own children under 18 years:,Under 6 years only,Under 6 years and 6 to 17 years,6 to 17 years only,No own children under 18 years,Other family:,"Male householder, no wife present:",With own children under 18 years:,Under 6 years only,Under 6 years and 6 to 17 years,6 to 17 years only,No own children under 18 years,"Female householder, no husband present:",With own children under 18 years:,Under 6 years only,Under 6 years and 6 to 17 years,6 to 17 years only,No own children under 18 years
ACSSF,2010e5,wv,000,0034,0000050,050,54,075,05000US54075,"Pocahontas County, West Virginia",2703,2274,757,131,121,505,1517,429,159,73,17,0,56,86,270,193,67,18,108,77
ACSSF,2010e5,wv,000,0034,0000051,050,54,077,05000US54077,"Preston County, West Virginia",9003,7359,2605,691,336,1578,4754,1644,434,214,89,20,105,220,1210,640,157,146,337,570
ACSSF,2010e5,wv,000,0034,0000052,050,54,079,05000US54079,"Putnam County, West Virginia",15929,13121,5418,1092,1000,3326,7703,2808,783,350,20,37,293,433,2025,1178,248,298,632,847
ACSSF,2010e5,wv,000,0034,0000053,050,54,081,05000US54081,"Raleigh County, West Virginia",21014,16081,5693,1226,1011,3456,10388,4933,1305,530,103,88,339,775,3628,1746,437,294,1015,1882
ACSSF,2010e5,wv,000,0034,0000054,050,54,083,05000US54083,"Randolph County, West Virginia",7691,6295,2034,278,390,1366,4261,1396,393,171,78,5,88,222,1003,575,84,164,327,428
ACSSF,2010e5,wv,000,0034,0000055,050,54,085,05000US54085,"Ritchie County, West Virginia",2924,2254,693,123,183,387,1561,670,230,93,48,2,43,137,440,243,39,27,177,197
ACSSF,2010e5,wv,000,0034,0000056,050,54,087,05000US54087,"Roane County, West Virginia",4008,3273,1056,256,150,650,2217,735,139,33,0,0,33,106,596,222,62,116,44,374
ACSSF,2010e5,wv,000,0034,0000057,050,54,089,05000US54089,"Summers County, West Virginia",3196,2443,716,162,122,432,1727,753,266,116,19,0,97,150,487,183,0,14,169,304
ACSSF,2010e5,wv,000,0034,0000058,050,54,091,05000US54091,"Taylor County, West Virginia",4588,3537,1323,301,261,761,2214,1051,250,49,0,15,34,201,801,475,43,88,344,326
ACSSF,2010e5,wv,000,0034,0000059,050,54,093,05000US54093,"Tucker County, West Virginia",2072,1673,550,99,71,380,1123,399,134,58,22,0,36,76,265,90,50,27,13,175
ACSSF,2010e5,wv,000,0034,0000060,050,54,095,05000US54095,"Tyler County, West Virginia",2585,2074,664,128,121,415,1410,511,178,96,55,3,38,82,333,144,12,6,126,189
ACSSF,2010e5,wv,000,0034,0000061,050,54,097,05000US54097,"Upshur County, West Virginia",6196,5107,1856,368,353,1135,3251,1089,349,130,44,31,55,219,740,349,36,177,136,391
ACSSF,2010e5,wv,000,0034,0000062,050,54,099,05000US54099,"Wayne County, West Virginia",11756,9259,3340,778,661,1901,5919,2497,637,302,66,47,189,335,1860,921,199,91,631,939
ACSSF,2010e5,wv,000,0034,0000063,050,54,101,05000US54101,"Webster County, West Virginia",2927,2365,884,149,178,557,1481,562,216,123,57,0,66,93,346,182,119,10,53,164
ACSSF,2010e5,wv,000,0034,0000064,050,54,103,05000US54103,"Wetzel County, West Virginia",4725,3845,1275,247,225,803,2570,880,198,104,31,13,60,94,682,349,80,74,195,333
ACSSF,2010e5,wv,000,0034,0000065,050,54,105,05000US54105,"Wirt County, West Virginia",1697,1447,441,112,102,227,1006,250,64,31,14,0,17,33,186,129,17,12,100,57
ACSSF,2010e5,wv,000,0034,0000066,050,54,107,05000US54107,"Wood County, West Virginia",23934,18641,6666,1238,1217,4211,11975,5293,1400,788,253,107,428,612,3893,2168,650,278,1240,1725
ACSSF,2010e5,wv,000,0034,0000067,050,54,109,05000US54109,"Wyoming County, West Virginia",6565,5288,1843,346,288,1209,3445,1277,319,133,0,0,133,186,958,499,157,40,302,459
ACSSF,2010e5,wv,000,0034,0000068,060,54,001,06000US5400192328,"North district, Barbour County, West Virginia",1704,1323,309,56,72,181,1014,381,138,55,9,32,14,83,243,153,31,51,71,90
ACSSF,2010e5,wv,000,0034,0000069,060,54,001,06000US5400192892,"South district, Barbour County, West Virginia",1523,1184,405,57,73,275,779,339,117,37,12,3,22,80,222,86,3,5,78,136
