FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Male:,No schooling completed,Nursery to 4th grade,5th and 6th grade,7th and 8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma","High school graduate, GED, or alternative","Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Female:,No schooling completed,Nursery to 4th grade,5th and 6th grade,7th and 8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma","High school graduate, GED, or alternative","Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
ACSSF,2010e5,wv,000,0040,0000063,050,54,101,05000US54101,"Webster County, West Virginia",6637,3276,4,73,71,291,255,274,192,16,1351,136,269,82,194,25,43,0,3361,38,0,39,253,146,226,146,26,1680,108,243,187,141,115,13,0
ACSSF,2010e5,wv,000,0040,0000064,050,54,103,05000US54103,"Wetzel County, West Virginia",11893,5652,69,45,40,230,216,273,165,74,2801,257,463,321,417,147,67,67,6241,54,0,0,160,171,357,152,76,2816,437,722,498,486,274,32,6
ACSSF,2010e5,wv,000,0040,0000065,050,54,105,05000US54105,"Wirt County, West Virginia",4159,2043,27,12,19,59,18,79,26,38,1191,51,199,159,78,68,19,0,2116,0,0,20,82,99,144,26,16,994,110,231,100,217,77,0,0
ACSSF,2010e5,wv,000,0040,0000066,050,54,107,05000US54107,"Wood County, West Virginia",61144,28777,224,25,172,814,589,1071,584,412,10480,2089,4639,1946,3585,1319,553,275,32367,224,54,182,1049,633,1009,803,357,11429,2550,5231,2911,3768,1723,259,185
ACSSF,2010e5,wv,000,0040,0000067,050,54,109,05000US54109,"Wyoming County, West Virginia",16967,8324,24,131,159,793,355,309,536,58,4192,236,748,255,310,156,46,16,8643,14,34,250,931,298,382,299,57,3582,381,776,581,626,330,85,17
ACSSF,2010e5,wv,000,0040,0000068,060,54,001,06000US5400192328,"North district, Barbour County, West Virginia",4578,2226,0,23,75,110,6,36,95,5,1199,93,234,84,130,79,24,33,2352,0,15,17,41,54,63,64,0,1348,130,219,111,197,79,0,14
ACSSF,2010e5,wv,000,0040,0000069,060,54,001,06000US5400192892,"South district, Barbour County, West Virginia",3955,1916,84,0,62,159,89,105,104,31,847,45,106,114,109,34,27,0,2039,52,0,28,141,47,34,75,51,950,132,145,101,234,35,0,14
ACSSF,2010e5,wv,000,0040,0000070,060,54,001,06000US5400193588,"West district, Barbour County, West Virginia",2676,1328,0,0,12,153,41,27,51,28,548,77,136,0,185,27,14,29,1348,0,0,29,60,69,43,19,0,593,45,159,101,90,95,12,33
ACSSF,2010e5,wv,000,0040,0000071,060,54,003,06000US5400390006,"Adam Stephens district, Berkeley County, West Virginia",9996,4498,42,0,16,137,200,268,134,27,1826,250,568,105,556,220,80,69,5498,83,12,26,204,153,300,145,97,2228,426,681,267,576,242,0,58
ACSSF,2010e5,wv,000,0040,0000072,060,54,003,06000US5400392322,"Norborne district, Berkeley County, West Virginia",6285,3026,22,70,0,15,38,37,31,16,925,294,515,161,547,236,78,41,3259,58,35,0,30,69,8,0,41,931,226,557,319,571,359,38,17
ACSSF,2010e5,wv,000,0040,0000073,060,54,003,06000US5400392526,"Potomac district, Berkeley County, West Virginia",10438,5059,16,45,8,236,160,295,123,68,1874,296,689,285,622,284,29,29,5379,21,0,31,238,227,242,121,100,1969,332,442,516,713,380,34,13
ACSSF,2010e5,wv,000,0040,0000074,060,54,003,06000US5400392754,"Shenandoah district, Berkeley County, West Virginia",12890,6244,60,0,58,202,223,222,203,98,2797,421,684,209,661,304,68,34,6646,23,34,57,95,232,235,136,59,2860,460,841,510,718,368,12,6
ACSSF,2010e5,wv,000,0040,0000075,060,54,003,06000US5400393171,"Tuscarora district, Berkeley County, West Virginia",13506,6973,62,38,120,216,272,280,168,228,2707,563,905,288,721,273,114,18,6533,86,0,39,119,107,273,114,12,2493,426,852,358,1171,446,21,16
ACSSF,2010e5,wv,000,0040,0000076,060,54,003,06000US5400393388,"Valley district, Berkeley County, West Virginia",14403,7293,27,31,117,93,143,233,252,69,3176,369,1002,464,781,427,54,55,7110,15,0,19,116,187,297,149,128,2877,545,925,587,649,508,93,15
ACSSF,2010e5,wv,000,0040,0000077,060,54,005,06000US5400590762,"District 1, Boone County, West Virginia",5781,2826,0,16,84,186,107,156,95,23,1463,59,363,104,96,58,16,0,2955,2,0,29,194,192,233,198,32,1244,126,310,104,181,110,0,0
ACSSF,2010e5,wv,000,0040,0000078,060,54,005,06000US5400590796,"District 2, Boone County, West Virginia",4701,2268,27,20,60,223,216,163,98,0,1015,146,142,70,76,12,0,0,2433,24,0,41,192,122,193,158,31,1208,91,153,79,101,31,9,0
ACSSF,2010e5,wv,000,0040,0000079,060,54,005,06000US5400590832,"District 3, Boone County, West Virginia",6903,3362,44,27,28,334,186,225,116,22,1589,168,255,88,150,119,11,0,3541,40,0,113,158,211,226,89,23,1285,186,499,262,245,182,12,10
ACSSF,2010e5,wv,000,0040,0000080,060,54,007,06000US5400790968,"Eastern district, Braxton County, West Virginia",2620,1574,0,0,29,138,114,140,41,61,674,39,109,157,43,24,5,0,1046,4,0,7,54,6,38,11,1,500,50,79,87,137,68,0,4
ACSSF,2010e5,wv,000,0040,0000081,060,54,007,06000US5400792346,"Northern district, Braxton County, West Virginia",2442,1221,41,24,16,153,70,82,76,17,527,11,139,38,18,5,4,0,1221,24,17,33,76,48,32,31,17,557,95,81,34,149,27,0,0
ACSSF,2010e5,wv,000,0040,0000082,060,54,007,06000US5400792922,"Southern district, Braxton County, West Virginia",2676,1207,0,0,7,96,63,50,18,34,543,51,129,139,77,0,0,0,1469,13,0,23,188,0,28,21,112,696,51,78,105,100,42,12,0
ACSSF,2010e5,wv,000,0040,0000083,060,54,007,06000US5400793597,"Western district, Braxton County, West Virginia",2642,1236,36,19,24,149,55,47,65,0,575,31,138,11,55,8,22,1,1406,0,0,0,120,74,44,21,3,738,48,115,62,83,83,13,2
ACSSF,2010e5,wv,000,0040,0000084,060,54,009,06000US5400991104,"Follansbee district, Brooke County, West Virginia",6640,3067,17,16,27,66,70,46,65,9,1505,234,374,178,260,135,32,33,3573,73,0,31,155,26,112,58,20,1586,262,230,400,393,175,28,24
ACSSF,2010e5,wv,000,0040,0000085,060,54,009,06000US5400993552,"Weirton district, Brooke County, West Virginia",5474,2608,0,0,0,74,93,76,66,13,1332,122,338,171,239,47,37,0,2866,15,0,9,75,39,124,100,10,1302,173,310,310,248,126,25,0
ACSSF,2010e5,wv,000,0040,0000086,060,54,009,06000US5400993564,"Wellsburg district, Brooke County, West Virginia",5268,2529,10,9,0,51,106,53,56,6,1100,137,474,178,221,79,4,45,2739,20,0,14,57,15,62,114,42,1188,195,345,128,353,188,10,8
ACSSF,2010e5,wv,000,0040,0000087,060,54,011,06000US5401190764,"District 1, Cabell County, West Virginia",13200,6124,26,3,35,262,190,142,51,88,2295,343,749,314,823,391,297,115,7076,38,0,29,262,235,207,136,111,2066,481,1234,596,950,508,165,58
ACSSF,2010e5,wv,000,0040,0000088,060,54,011,06000US5401190798,"District 2, Cabell County, West Virginia",9944,4655,15,57,46,92,19,113,128,85,1427,175,906,156,880,330,123,103,5289,79,74,23,150,126,151,157,64,1539,315,776,332,942,419,106,36
ACSSF,2010e5,wv,000,0040,0000089,060,54,011,06000US5401190834,"District 3, Cabell County, West Virginia",10605,5079,43,0,19,96,66,233,268,64,2067,395,517,329,539,232,163,48,5526,80,0,18,190,214,202,188,61,1871,561,875,514,388,292,57,15
ACSSF,2010e5,wv,000,0040,0000090,060,54,011,06000US5401190870,"District 4, Cabell County, West Virginia",17007,8233,41,24,24,241,185,211,181,109,2755,350,1128,554,1210,755,359,106,8774,88,61,25,168,83,298,290,125,2706,481,1464,739,1313,769,152,12
ACSSF,2010e5,wv,000,0040,0000091,060,54,011,06000US5401190882,"District 5, Cabell County, West Virginia",13889,6750,32,0,18,360,205,151,224,27,2975,342,962,371,758,215,75,35,7139,43,24,41,256,176,360,168,73,2953,417,941,560,801,276,50,0
ACSSF,2010e5,wv,000,0040,0000092,060,54,013,06000US5401390766,"District 1, Calhoun County, West Virginia",944,546,31,13,0,44,39,0,2,10,223,15,137,0,0,32,0,0,398,10,0,0,21,31,10,18,0,160,26,0,61,17,44,0,0
ACSSF,2010e5,wv,000,0040,0000093,060,54,013,06000US5401390800,"District 2, Calhoun County, West Virginia",1085,507,0,0,0,55,0,80,0,0,232,24,16,0,95,5,0,0,578,0,0,0,52,9,32,45,0,168,95,49,95,33,0,0,0
ACSSF,2010e5,wv,000,0040,0000094,060,54,013,06000US5401390836,"District 3, Calhoun County, West Virginia",944,442,0,0,6,49,48,19,11,0,165,28,49,9,31,27,0,0,502,15,1,1,16,11,57,24,8,208,3,88,10,46,14,0,0
ACSSF,2010e5,wv,000,0040,0000095,060,54,013,06000US5401390873,"District 4, Calhoun County, West Virginia",1307,599,20,0,26,70,0,70,13,9,324,27,0,12,13,5,0,10,708,0,7,3,88,26,6,71,22,293,5,90,69,28,0,0,0
