FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Median household income in the past 12 months (in 2010 inflation-adjusted dollars)
ACSSF,2010e5,wv,000,0053,0000104,060,54,019,06000US5401992280,"New Haven district, Fayette County, West Virginia",35399
ACSSF,2010e5,wv,000,0053,0000105,060,54,019,06000US5401992472,"Plateau district, Fayette County, West Virginia",28757
ACSSF,2010e5,wv,000,0053,0000106,060,54,019,06000US5401993396,"Valley district, Fayette County, West Virginia",31392
ACSSF,2010e5,wv,000,0053,0000107,060,54,021,06000US5402190408,"Center district, Gilmer County, West Virginia",25482
ACSSF,2010e5,wv,000,0053,0000108,060,54,021,06000US5402190534,"City district, Gilmer County, West Virginia",30951
ACSSF,2010e5,wv,000,0053,0000109,060,54,021,06000US5402190758,"De Kalb-Troy district, Gilmer County, West Virginia",32552
ACSSF,2010e5,wv,000,0053,0000110,060,54,021,06000US5402191236,"Glenville district, Gilmer County, West Virginia",29375
ACSSF,2010e5,wv,000,0053,0000111,060,54,023,06000US5402391296,"Grant district, Grant County, West Virginia",34750
ACSSF,2010e5,wv,000,0053,0000112,060,54,023,06000US5402392208,"Milroy district, Grant County, West Virginia",34260
ACSSF,2010e5,wv,000,0053,0000113,060,54,023,06000US5402393216,"Union district, Grant County, West Virginia",41204
ACSSF,2010e5,wv,000,0053,0000114,060,54,025,06000US5402590449,"Central district, Greenbrier County, West Virginia",39284
ACSSF,2010e5,wv,000,0053,0000115,060,54,025,06000US5402590972,"Eastern district, Greenbrier County, West Virginia",31720
ACSSF,2010e5,wv,000,0053,0000116,060,54,025,06000US5402593601,"Western district, Greenbrier County, West Virginia",29478
ACSSF,2010e5,wv,000,0053,0000117,060,54,027,06000US5402790204,"Bloomery district, Hampshire County, West Virginia",40192
ACSSF,2010e5,wv,000,0053,0000118,060,54,027,06000US5402790360,"Capon district, Hampshire County, West Virginia",27148
ACSSF,2010e5,wv,000,0053,0000119,060,54,027,06000US5402791248,"Gore district, Hampshire County, West Virginia",32254
ACSSF,2010e5,wv,000,0053,0000120,060,54,027,06000US5402792184,"Mill Creek district, Hampshire County, West Virginia",35759
ACSSF,2010e5,wv,000,0053,0000121,060,54,027,06000US5402792676,"Romney district, Hampshire County, West Virginia",22923
ACSSF,2010e5,wv,000,0053,0000122,060,54,027,06000US5402792820,"Sherman district, Hampshire County, West Virginia",34321
ACSSF,2010e5,wv,000,0053,0000123,060,54,027,06000US5402792988,"Springfield district, Hampshire County, West Virginia",35884
ACSSF,2010e5,wv,000,0053,0000124,060,54,029,06000US5402990312,"Butler district, Hancock County, West Virginia",42197
ACSSF,2010e5,wv,000,0053,0000125,060,54,029,06000US5402990540,"Clay district, Hancock County, West Virginia",38300
ACSSF,2010e5,wv,000,0053,0000126,060,54,029,06000US5402991308,"Grant district, Hancock County, West Virginia",32378
ACSSF,2010e5,wv,000,0053,0000127,060,54,031,06000US5403190372,"Capon district, Hardy County, West Virginia",33207
ACSSF,2010e5,wv,000,0053,0000128,060,54,031,06000US5403191968,"Lost River district, Hardy County, West Virginia",26889
ACSSF,2010e5,wv,000,0053,0000129,060,54,031,06000US5403192232,"Moorefield district, Hardy County, West Virginia",25131
ACSSF,2010e5,wv,000,0053,0000130,060,54,031,06000US5403192382,"Old Fields district, Hardy County, West Virginia",37064
ACSSF,2010e5,wv,000,0053,0000131,060,54,031,06000US5403192928,"South Fork district, Hardy County, West Virginia",40969
ACSSF,2010e5,wv,000,0053,0000132,060,54,033,06000US5403390975,"Eastern district, Harrison County, West Virginia",55881
ACSSF,2010e5,wv,000,0053,0000133,060,54,033,06000US5403392352,"Northern district, Harrison County, West Virginia",34730
ACSSF,2010e5,wv,000,0053,0000134,060,54,033,06000US5403392368,"North Urban district, Harrison County, West Virginia",26415
ACSSF,2010e5,wv,000,0053,0000135,060,54,033,06000US5403392923,"Southern district, Harrison County, West Virginia",42144
ACSSF,2010e5,wv,000,0053,0000136,060,54,033,06000US5403392932,"South Urban district, Harrison County, West Virginia",37945
ACSSF,2010e5,wv,000,0053,0000137,060,54,033,06000US5403392952,"Southwest district, Harrison County, West Virginia",39241
ACSSF,2010e5,wv,000,0053,0000138,060,54,035,06000US5403590976,"Eastern district, Jackson County, West Virginia",43823
ACSSF,2010e5,wv,000,0053,0000139,060,54,035,06000US5403592353,"Northern district, Jackson County, West Virginia",36288
ACSSF,2010e5,wv,000,0053,0000140,060,54,035,06000US5403593605,"Western district, Jackson County, West Virginia",45315
ACSSF,2010e5,wv,000,0053,0000141,060,54,037,06000US5403790504,"Charles Town district, Jefferson County, West Virginia",48734
ACSSF,2010e5,wv,000,0053,0000142,060,54,037,06000US5403791548,"Harpers Ferry district, Jefferson County, West Virginia",72779
ACSSF,2010e5,wv,000,0053,0000143,060,54,037,06000US5403791740,"Kabletown district, Jefferson County, West Virginia",75167
