FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,"1, detached","1, attached",2,3 or 4,5 to 9,10 to 19,20 to 49,50 or more,Mobile home,"Boat, RV, van, etc."
ACSSF,2013e5,wv,000,0104,0000152,060,54,041,06000US5404191480,"Hackers Creek-Skin Creek district, Lewis County, West Virginia",2872,2072,41,5,35,74,6,39,113,487,0
ACSSF,2013e5,wv,000,0104,0000153,060,54,043,06000US5404390770,"District 1, Lincoln County, West Virginia",3141,2146,0,0,0,0,15,0,0,980,0
ACSSF,2013e5,wv,000,0104,0000154,060,54,043,06000US5404390806,"District 2, Lincoln County, West Virginia",3315,2322,8,33,47,0,0,0,0,905,0
ACSSF,2013e5,wv,000,0104,0000155,060,54,043,06000US5404390842,"District 3, Lincoln County, West Virginia",3376,2133,8,47,42,30,50,47,9,1010,0
ACSSF,2013e5,wv,000,0104,0000156,060,54,045,06000US5404590453,"Central district, Logan County, West Virginia",5339,3981,98,69,58,196,56,18,11,852,0
ACSSF,2013e5,wv,000,0104,0000157,060,54,045,06000US5404590979,"Eastern district, Logan County, West Virginia",6254,4061,55,33,59,330,70,11,38,1597,0
ACSSF,2013e5,wv,000,0104,0000158,060,54,045,06000US5404593608,"Western district, Logan County, West Virginia",5125,3504,22,31,54,63,54,0,0,1397,0
ACSSF,2013e5,wv,000,0104,0000159,060,54,047,06000US5404790168,"Big Creek district, McDowell County, West Virginia",3017,2270,56,17,3,4,0,0,5,662,0
ACSSF,2013e5,wv,000,0104,0000160,060,54,047,06000US5404790240,"Browns Creek district, McDowell County, West Virginia",2706,1833,8,49,77,35,37,17,117,533,0
ACSSF,2013e5,wv,000,0104,0000161,060,54,047,06000US5404792345,"North Elkin district, McDowell County, West Virginia",2613,2047,81,63,9,12,3,4,2,392,0
ACSSF,2013e5,wv,000,0104,0000162,060,54,047,06000US5404792712,"Sandy River district, McDowell County, West Virginia",2940,1717,0,20,4,3,2,0,0,1194,0
ACSSF,2013e5,wv,000,0104,0000163,060,54,049,06000US5404992154,"Middletown district, Marion County, West Virginia",8497,6297,107,624,375,309,84,127,196,378,0
ACSSF,2013e5,wv,000,0104,0000164,060,54,049,06000US5404992418,"Palatine district, Marion County, West Virginia",9986,7688,65,118,464,360,93,125,27,1046,0
ACSSF,2013e5,wv,000,0104,0000165,060,54,049,06000US5404993594,"West Augusta district, Marion County, West Virginia",7887,6371,37,96,131,55,5,13,0,1179,0
ACSSF,2013e5,wv,000,0104,0000166,060,54,051,06000US5405190780,"District 1, Marshall County, West Virginia",5064,4000,154,118,240,112,0,31,3,406,0
ACSSF,2013e5,wv,000,0104,0000167,060,54,051,06000US5405190816,"District 2, Marshall County, West Virginia",5113,3976,86,249,103,46,17,27,78,531,0
ACSSF,2013e5,wv,000,0104,0000168,060,54,051,06000US5405190852,"District 3, Marshall County, West Virginia",5682,4524,70,38,47,306,18,21,38,620,0
ACSSF,2013e5,wv,000,0104,0000169,060,54,053,06000US5405390048,"Arbuckle district, Mason County, West Virginia",662,483,0,0,0,0,0,0,0,179,0
ACSSF,2013e5,wv,000,0104,0000170,060,54,053,06000US5405390612,"Clendenin district, Mason County, West Virginia",1823,1103,40,22,5,0,0,0,0,653,0
ACSSF,2013e5,wv,000,0104,0000171,060,54,053,06000US5405390648,"Cologne district, Mason County, West Virginia",716,433,0,0,0,0,0,0,0,283,0
