FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total
ACSSF,2010e5,wv,000,0095,0000166,060,54,047,06000US5404792345,"North Elkin district, McDowell County, West Virginia",2943
ACSSF,2010e5,wv,000,0095,0000167,060,54,047,06000US5404792712,"Sandy River district, McDowell County, West Virginia",2945
ACSSF,2010e5,wv,000,0095,0000168,060,54,049,06000US5404992154,"Middletown district, Marion County, West Virginia",8618
ACSSF,2010e5,wv,000,0095,0000169,060,54,049,06000US5404992418,"Palatine district, Marion County, West Virginia",9940
ACSSF,2010e5,wv,000,0095,0000170,060,54,049,06000US5404993594,"West Augusta district, Marion County, West Virginia",8026
ACSSF,2010e5,wv,000,0095,0000171,060,54,051,06000US5405190780,"District 1, Marshall County, West Virginia",5242
ACSSF,2010e5,wv,000,0095,0000172,060,54,051,06000US5405190816,"District 2, Marshall County, West Virginia",4785
ACSSF,2010e5,wv,000,0095,0000173,060,54,051,06000US5405190852,"District 3, Marshall County, West Virginia",5928
ACSSF,2010e5,wv,000,0095,0000174,060,54,053,06000US5405390048,"Arbuckle district, Mason County, West Virginia",543
ACSSF,2010e5,wv,000,0095,0000175,060,54,053,06000US5405390612,"Clendenin district, Mason County, West Virginia",1843
ACSSF,2010e5,wv,000,0095,0000176,060,54,053,06000US5405390648,"Cologne district, Mason County, West Virginia",618
ACSSF,2010e5,wv,000,0095,0000177,060,54,053,06000US5405390660,"Cooper district, Mason County, West Virginia",765
ACSSF,2010e5,wv,000,0095,0000178,060,54,053,06000US5405391260,"Graham district, Mason County, West Virginia",1449
ACSSF,2010e5,wv,000,0095,0000179,060,54,053,06000US5405391512,"Hannan district, Mason County, West Virginia",1525
ACSSF,2010e5,wv,000,0095,0000180,060,54,053,06000US5405391860,"Lewis district, Mason County, West Virginia",2767
ACSSF,2010e5,wv,000,0095,0000181,060,54,053,06000US5405392652,"Robinson district, Mason County, West Virginia",1299
ACSSF,2010e5,wv,000,0095,0000182,060,54,053,06000US5405393264,"Union district, Mason County, West Virginia",702
ACSSF,2010e5,wv,000,0095,0000183,060,54,053,06000US5405393432,"Waggener district, Mason County, West Virginia",1382
ACSSF,2010e5,wv,000,0095,0000184,060,54,055,06000US5405590900,"District I, Mercer County, West Virginia",9748
ACSSF,2010e5,wv,000,0095,0000185,060,54,055,06000US5405590912,"District II, Mercer County, West Virginia",11143
ACSSF,2010e5,wv,000,0095,0000186,060,54,055,06000US5405590924,"District III, Mercer County, West Virginia",9280
ACSSF,2010e5,wv,000,0095,0000187,060,54,057,06000US5405790784,"District 1, Mineral County, West Virginia",4283
ACSSF,2010e5,wv,000,0095,0000188,060,54,057,06000US5405790820,"District 2, Mineral County, West Virginia",4459
ACSSF,2010e5,wv,000,0095,0000189,060,54,057,06000US5405790856,"District 3, Mineral County, West Virginia",4232
ACSSF,2010e5,wv,000,0095,0000190,060,54,059,06000US5405990141,"Beech Ben Mate district, Mingo County, West Virginia",1682
ACSSF,2010e5,wv,000,0095,0000191,060,54,059,06000US5405991770,"Kermit Harvey district, Mingo County, West Virginia",1814
ACSSF,2010e5,wv,000,0095,0000192,060,54,059,06000US5405991848,"Lee district, Mingo County, West Virginia",1743
ACSSF,2010e5,wv,000,0095,0000193,060,54,059,06000US5405992064,"Magnolia district, Mingo County, West Virginia",1485
ACSSF,2010e5,wv,000,0095,0000194,060,54,059,06000US5405993012,"Stafford district, Mingo County, West Virginia",1907
ACSSF,2010e5,wv,000,0095,0000195,060,54,059,06000US5405993162,"Tug Hardee district, Mingo County, West Virginia",1718
ACSSF,2010e5,wv,000,0095,0000196,060,54,059,06000US5405993696,"Williamson district, Mingo County, West Virginia",2480
ACSSF,2010e5,wv,000,0095,0000197,060,54,061,06000US5406190456,"Central district, Monongalia County, West Virginia",12048
ACSSF,2010e5,wv,000,0095,0000198,060,54,061,06000US5406190983,"Eastern district, Monongalia County, West Virginia",17952
ACSSF,2010e5,wv,000,0095,0000199,060,54,061,06000US5406193612,"Western district, Monongalia County, West Virginia",12125
ACSSF,2010e5,wv,000,0095,0000200,060,54,063,06000US5406390457,"Central district, Monroe County, West Virginia",2689
ACSSF,2010e5,wv,000,0095,0000201,060,54,063,06000US5406390984,"Eastern district, Monroe County, West Virginia",2643
ACSSF,2010e5,wv,000,0095,0000202,060,54,063,06000US5406393613,"Western district, Monroe County, West Virginia",2249
ACSSF,2010e5,wv,000,0095,0000203,060,54,065,06000US5406590786,"District 1, Morgan County, West Virginia",3243
ACSSF,2010e5,wv,000,0095,0000204,060,54,065,06000US5406590822,"District 2, Morgan County, West Virginia",3289
ACSSF,2010e5,wv,000,0095,0000205,060,54,065,06000US5406590858,"District 3, Morgan County, West Virginia",3077
ACSSF,2010e5,wv,000,0095,0000206,060,54,067,06000US5406790132,"Beaver district, Nicholas County, West Virginia",3989
ACSSF,2010e5,wv,000,0095,0000207,060,54,067,06000US5406791344,"Grant district, Nicholas County, West Virginia",611
ACSSF,2010e5,wv,000,0095,0000208,060,54,067,06000US5406791500,"Hamilton district, Nicholas County, West Virginia",1322
ACSSF,2010e5,wv,000,0095,0000209,060,54,067,06000US5406791716,"Jefferson district, Nicholas County, West Virginia",883
ACSSF,2010e5,wv,000,0095,0000210,060,54,067,06000US5406791752,"Kentucky district, Nicholas County, West Virginia",1934
ACSSF,2010e5,wv,000,0095,0000211,060,54,067,06000US5406793072,"Summersville district, Nicholas County, West Virginia",2568
ACSSF,2010e5,wv,000,0095,0000212,060,54,067,06000US5406793660,"Wilderness district, Nicholas County, West Virginia",1725
ACSSF,2010e5,wv,000,0095,0000213,060,54,069,06000US5406990788,"District 1, Ohio County, West Virginia",6808
ACSSF,2010e5,wv,000,0095,0000214,060,54,069,06000US5406990824,"District 2, Ohio County, West Virginia",7176
ACSSF,2010e5,wv,000,0095,0000215,060,54,069,06000US5406990862,"District 3, Ohio County, West Virginia",7390
ACSSF,2010e5,wv,000,0095,0000216,060,54,071,06000US5407190462,"Central district, Pendleton County, West Virginia",1556
ACSSF,2010e5,wv,000,0095,0000217,060,54,071,06000US5407190987,"Eastern district, Pendleton County, West Virginia",1837
ACSSF,2010e5,wv,000,0095,0000218,060,54,071,06000US5407193615,"Western district, Pendleton County, West Virginia",1752
ACSSF,2010e5,wv,000,0095,0000219,060,54,073,06000US5407390892,"District A, Pleasants County, West Virginia",843
ACSSF,2010e5,wv,000,0095,0000220,060,54,073,06000US5407390894,"District B, Pleasants County, West Virginia",724
ACSSF,2010e5,wv,000,0095,0000221,060,54,073,06000US5407390896,"District C, Pleasants County, West Virginia",953
ACSSF,2010e5,wv,000,0095,0000222,060,54,073,06000US5407390898,"District D, Pleasants County, West Virginia",855
ACSSF,2010e5,wv,000,0095,0000223,060,54,075,06000US5407590996,"Edray district, Pocahontas County, West Virginia",3971
ACSSF,2010e5,wv,000,0095,0000224,060,54,075,06000US5407591416,"Greenbank district, Pocahontas County, West Virginia",2388
ACSSF,2010e5,wv,000,0095,0000225,060,54,075,06000US5407591656,"Huntersville district, Pocahontas County, West Virginia",1048
ACSSF,2010e5,wv,000,0095,0000226,060,54,075,06000US5407591944,"Little Levels district, Pocahontas County, West Virginia",1245
ACSSF,2010e5,wv,000,0095,0000227,060,54,077,06000US5407791096,"Fifth district, Preston County, West Virginia",2771
ACSSF,2010e5,wv,000,0095,0000228,060,54,077,06000US5407791100,"First district, Preston County, West Virginia",2979
ACSSF,2010e5,wv,000,0095,0000229,060,54,077,06000US5407791134,"Fourth district, Preston County, West Virginia",3134
ACSSF,2010e5,wv,000,0095,0000230,060,54,077,06000US5407792742,"Second district, Preston County, West Virginia",3074
ACSSF,2010e5,wv,000,0095,0000231,060,54,077,06000US5407793102,"Third district, Preston County, West Virginia",2899
ACSSF,2010e5,wv,000,0095,0000232,060,54,079,06000US5407990292,"Buffalo-Union district, Putnam County, West Virginia",4480
ACSSF,2010e5,wv,000,0095,0000233,060,54,079,06000US5407990720,"Curry district, Putnam County, West Virginia",4157
ACSSF,2010e5,wv,000,0095,0000234,060,54,079,06000US5407992508,"Pocatalico district, Putnam County, West Virginia",3879
ACSSF,2010e5,wv,000,0095,0000235,060,54,079,06000US5407992736,"Scott district, Putnam County, West Virginia",4845
ACSSF,2010e5,wv,000,0095,0000236,060,54,079,06000US5407993090,"Teays district, Putnam County, West Virginia",5864
ACSSF,2010e5,wv,000,0095,0000237,060,54,081,06000US5408190792,"District 1, Raleigh County, West Virginia",11366
ACSSF,2010e5,wv,000,0095,0000238,060,54,081,06000US5408190828,"District 2, Raleigh County, West Virginia",11736
ACSSF,2010e5,wv,000,0095,0000239,060,54,081,06000US5408190864,"District 3, Raleigh County, West Virginia",12868
ACSSF,2010e5,wv,000,0095,0000240,060,54,083,06000US5408390156,"Beverly district, Randolph County, West Virginia",2190
