FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Family households:,Married-couple family,Other family:,"Male householder, no wife present","Female householder, no husband present",Nonfamily households:,Householder living alone,Householder not living alone
ACSSF,2013e5,wv,000,0036,0000094,060,54,013,06000US5401390836,"District 3, Calhoun County, West Virginia",556,373,253,120,37,83,183,161,22
ACSSF,2013e5,wv,000,0036,0000095,060,54,013,06000US5401390873,"District 4, Calhoun County, West Virginia",749,520,439,81,14,67,229,205,24
ACSSF,2013e5,wv,000,0036,0000096,060,54,013,06000US5401390885,"District 5, Calhoun County, West Virginia",619,441,368,73,16,57,178,169,9
ACSSF,2013e5,wv,000,0036,0000097,060,54,015,06000US5401590891,"District A, Clay County, West Virginia",1286,940,818,122,22,100,346,317,29
ACSSF,2013e5,wv,000,0036,0000098,060,54,015,06000US5401590893,"District B, Clay County, West Virginia",1116,716,581,135,28,107,400,336,64
ACSSF,2013e5,wv,000,0036,0000099,060,54,015,06000US5401590895,"District C, Clay County, West Virginia",1033,778,685,93,34,59,255,222,33
ACSSF,2013e5,wv,000,0036,0000100,060,54,017,06000US5401790138,"Beech district, Doddridge County, West Virginia",693,502,401,101,48,53,191,183,8
ACSSF,2013e5,wv,000,0036,0000101,060,54,017,06000US5401792094,"Maple district, Doddridge County, West Virginia",596,433,292,141,26,115,163,122,41
ACSSF,2013e5,wv,000,0036,0000102,060,54,017,06000US5401792374,"Oak district, Doddridge County, West Virginia",666,463,400,63,25,38,203,196,7
ACSSF,2013e5,wv,000,0036,0000103,060,54,017,06000US5401792466,"Pine district, Doddridge County, West Virginia",823,532,372,160,49,111,291,239,52
ACSSF,2013e5,wv,000,0036,0000104,060,54,019,06000US5401992280,"New Haven district, Fayette County, West Virginia",6015,4008,3066,942,267,675,2007,1633,374
ACSSF,2013e5,wv,000,0036,0000105,060,54,019,06000US5401992472,"Plateau district, Fayette County, West Virginia",6324,4159,2863,1296,248,1048,2165,1862,303
ACSSF,2013e5,wv,000,0036,0000106,060,54,019,06000US5401993396,"Valley district, Fayette County, West Virginia",4911,3341,2269,1072,351,721,1570,1446,124
ACSSF,2013e5,wv,000,0036,0000107,060,54,021,06000US5402190408,"Center district, Gilmer County, West Virginia",571,421,404,17,0,17,150,131,19
ACSSF,2013e5,wv,000,0036,0000108,060,54,021,06000US5402190534,"City district, Gilmer County, West Virginia",661,314,189,125,16,109,347,231,116
ACSSF,2013e5,wv,000,0036,0000109,060,54,021,06000US5402190758,"De Kalb-Troy district, Gilmer County, West Virginia",752,462,370,92,63,29,290,251,39
ACSSF,2013e5,wv,000,0036,0000110,060,54,021,06000US5402191236,"Glenville district, Gilmer County, West Virginia",606,418,341,77,27,50,188,153,35
ACSSF,2013e5,wv,000,0036,0000111,060,54,023,06000US5402391296,"Grant district, Grant County, West Virginia",1586,1131,1002,129,48,81,455,385,70
ACSSF,2013e5,wv,000,0036,0000112,060,54,023,06000US5402392208,"Milroy district, Grant County, West Virginia",1680,1009,760,249,93,156,671,570,101
ACSSF,2013e5,wv,000,0036,0000113,060,54,023,06000US5402393216,"Union district, Grant County, West Virginia",1183,882,738,144,33,111,301,234,67
ACSSF,2013e5,wv,000,0036,0000114,060,54,025,06000US5402590449,"Central district, Greenbrier County, West Virginia",5703,3528,2718,810,181,629,2175,1828,347
ACSSF,2013e5,wv,000,0036,0000115,060,54,025,06000US5402590972,"Eastern district, Greenbrier County, West Virginia",5138,3122,2080,1042,254,788,2016,1746,270
ACSSF,2013e5,wv,000,0036,0000116,060,54,025,06000US5402593601,"Western district, Greenbrier County, West Virginia",4568,3355,2589,766,322,444,1213,1075,138
ACSSF,2013e5,wv,000,0036,0000117,060,54,027,06000US5402790204,"Bloomery district, Hampshire County, West Virginia",1456,694,616,78,58,20,762,725,37
ACSSF,2013e5,wv,000,0036,0000118,060,54,027,06000US5402790360,"Capon district, Hampshire County, West Virginia",1388,482,363,119,11,108,906,854,52
ACSSF,2013e5,wv,000,0036,0000119,060,54,027,06000US5402791248,"Gore district, Hampshire County, West Virginia",2047,898,694,204,73,131,1149,1120,29
ACSSF,2013e5,wv,000,0036,0000120,060,54,027,06000US5402792184,"Mill Creek district, Hampshire County, West Virginia",503,219,194,25,0,25,284,265,19
ACSSF,2013e5,wv,000,0036,0000121,060,54,027,06000US5402792676,"Romney district, Hampshire County, West Virginia",1642,742,516,226,70,156,900,846,54
ACSSF,2013e5,wv,000,0036,0000122,060,54,027,06000US5402792820,"Sherman district, Hampshire County, West Virginia",2149,906,644,262,23,239,1243,1171,72
ACSSF,2013e5,wv,000,0036,0000123,060,54,027,06000US5402792988,"Springfield district, Hampshire County, West Virginia",1385,716,521,195,33,162,669,655,14
ACSSF,2013e5,wv,000,0036,0000124,060,54,029,06000US5402990312,"Butler district, Hancock County, West Virginia",4332,2734,2052,682,201,481,1598,1444,154
ACSSF,2013e5,wv,000,0036,0000125,060,54,029,06000US5402990540,"Clay district, Hancock County, West Virginia",4251,2690,1749,941,262,679,1561,1347,214
ACSSF,2013e5,wv,000,0036,0000126,060,54,029,06000US5402991308,"Grant district, Hancock County, West Virginia",4307,3118,2471,647,214,433,1189,1070,119
ACSSF,2013e5,wv,000,0036,0000127,060,54,031,06000US5403190372,"Capon district, Hardy County, West Virginia",1213,721,601,120,32,88,492,428,64
ACSSF,2013e5,wv,000,0036,0000128,060,54,031,06000US5403191968,"Lost River district, Hardy County, West Virginia",903,530,422,108,79,29,373,335,38
ACSSF,2013e5,wv,000,0036,0000129,060,54,031,06000US5403192232,"Moorefield district, Hardy County, West Virginia",798,465,334,131,17,114,333,320,13
ACSSF,2013e5,wv,000,0036,0000130,060,54,031,06000US5403192382,"Old Fields district, Hardy County, West Virginia",1126,625,459,166,48,118,501,494,7
ACSSF,2013e5,wv,000,0036,0000131,060,54,031,06000US5403192928,"South Fork district, Hardy County, West Virginia",980,753,568,185,114,71,227,190,37
ACSSF,2013e5,wv,000,0036,0000132,060,54,033,06000US5403390975,"Eastern district, Harrison County, West Virginia",5083,3620,2682,938,236,702,1463,1389,74
ACSSF,2013e5,wv,000,0036,0000133,060,54,033,06000US5403392352,"Northern district, Harrison County, West Virginia",4417,3137,2353,784,191,593,1280,1131,149
ACSSF,2013e5,wv,000,0036,0000134,060,54,033,06000US5403392368,"North Urban district, Harrison County, West Virginia",4414,2590,1833,757,224,533,1824,1548,276
ACSSF,2013e5,wv,000,0036,0000135,060,54,033,06000US5403392923,"Southern district, Harrison County, West Virginia",5045,3482,2781,701,142,559,1563,1379,184
ACSSF,2013e5,wv,000,0036,0000136,060,54,033,06000US5403392932,"South Urban district, Harrison County, West Virginia",4507,2720,1957,763,129,634,1787,1543,244
ACSSF,2013e5,wv,000,0036,0000137,060,54,033,06000US5403392952,"Southwest district, Harrison County, West Virginia",4133,2971,2357,614,120,494,1162,1040,122
ACSSF,2013e5,wv,000,0036,0000138,060,54,035,06000US5403590976,"Eastern district, Jackson County, West Virginia",4004,2705,2050,655,118,537,1299,1107,192
ACSSF,2013e5,wv,000,0036,0000139,060,54,035,06000US5403592353,"Northern district, Jackson County, West Virginia",3449,2215,1737,478,118,360,1234,1045,189
ACSSF,2013e5,wv,000,0036,0000140,060,54,035,06000US5403593605,"Western district, Jackson County, West Virginia",4006,2890,2345,545,170,375,1116,976,140
ACSSF,2013e5,wv,000,0036,0000141,060,54,037,06000US5403790504,"Charles Town district, Jefferson County, West Virginia",4281,2835,2069,766,197,569,1446,1193,253
ACSSF,2013e5,wv,000,0036,0000142,060,54,037,06000US5403791548,"Harpers Ferry district, Jefferson County, West Virginia",4299,2841,2390,451,175,276,1458,1143,315
