"","CBSA","year","total_population","less_than_18","18_to_29","30_to_44","45_to_59","above_59","white_alone","AA_alone","hispanic_or_latino","household_size_1","household_size_2","household_size_3_to_4","household_size_more_than_4","household_with_kids","family_household_without_kids","non_family_household_without_kids","level","NAME","FIPS","county_name","LSAD"
"122",47900,"2013",873481,204322,165809,186483,183953,132914,185930,560653,134192,84246,87379,94661,37155,109816,91655,101970,"county_level",NA,"24033","Prince George's County, MD","County or equivalent"
"123",47900,"2017",905161,203800,163332,188786,189806,159437,170009,572465,157427,86830,86602,94345,38917,103070,100106,103518,"county_level",NA,"24033","Prince George's County, MD","County or equivalent"
"124",47900,"2018",906202,203610,160422,187653,190372,164145,162673,570494,162372,88010,88397,93417,39025,101722,102361,104766,"county_level",NA,"24033","Prince George's County, MD","County or equivalent"
"125",47900,"2000",801515,214522,142542,206294,147495,90662,216774,501431,56813,69004,82673,97043,37930,103461,96063,87126,"county_level",NA,"24033","Prince George's County, MD","County or equivalent"
"126",47900,"1990",729268,178430,170863,195159,111996,72820,314559,369622,30013,55368,75398,94858,32065,90965,92835,73889,"county_level",NA,"24033","Prince George's County, MD","County or equivalent"
"127",47900,"1980",665071,194215,169673,152150,92367,56666,401675,249539,13767,45003,62523,84119,33781,98536,68387,58503,"county_level",NA,"24033","Prince George's County, MD","County or equivalent"
"128",47900,"1970",660567,246074,157074,127666,87663,42090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"county_level",NA,"24033","Prince George's County, MD","County or equivalent"
"129",47900,"2009",206405,33433,52496,56886,37129,26461,147230,16725,34484,39015,28478,18464,4346,18125,21138,51040,"county_level",NA,"51013","Arlington County, VA","County or equivalent"
"130",47900,"2013",214861,34472,53048,60489,38258,28594,153109,17966,32809,38256,30962,20580,4656,19391,24192,50871,"county_level",NA,"51013","Arlington County, VA","County or equivalent"
"131",47900,"2017",229534,39702,49680,66185,41266,32701,164102,20278,35687,40110,33829,23238,5133,22849,25026,54435,"county_level",NA,"51013","Arlington County, VA","County or equivalent"
"132",47900,"2018",231803,40777,49492,66174,41391,33969,165609,20777,36180,40872,34483,24475,4886,23638,25032,56046,"county_level",NA,"51013","Arlington County, VA","County or equivalent"
"133",47900,"2000",189453,30944,45310,55348,34896,22955,130794,17856,35212,35236,27258,18034,5946,16985,22918,46571,"county_level",NA,"51013","Arlington County, VA","County or equivalent"
"134",47900,"1990",170936,25765,43951,52470,23432,25318,130745,17947,23023,30808,26078,17192,4667,14566,23256,40923,"county_level",NA,"51013","Arlington County, VA","County or equivalent"
"135",47900,"1980",152599,24945,41974,36844,23230,25606,133417,14047,8781,28928,24004,14963,3829,13766,22288,35670,"county_level",NA,"51013","Arlington County, VA","County or equivalent"
"136",47900,"1970",174284,41870,45363,29708,35094,22249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"county_level",NA,"51013","Arlington County, VA","County or equivalent"
"137",47900,"2009",14359,3149,1866,2817,3410,3117,12979,861,506,1420,2092,1621,354,1488,2179,1820,"county_level",NA,"51043","Clarke County, VA","County or equivalent"
"138",47900,"2013",14191,3142,1459,2450,3698,3442,12860,753,514,1090,2270,1702,518,1759,2348,1473,"county_level",NA,"51043","Clarke County, VA","County or equivalent"
