"","CBSA","year","total_population","less_than_18","18_to_29","30_to_44","45_to_59","above_59","white_alone","AA_alone","hispanic_or_latino","household_size_1","household_size_2","household_size_3_to_4","household_size_more_than_4","NAME","level","FIPS","county_name","LSAD","msa_name"
"114",47900,"1970",855842,522809,86519,103205,93455,49854,NA,NA,NA,NA,NA,NA,NA,NA,"county_level","24031","Montgomery County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"115",47900,"2017",1039198,243654,147327,215965,222791,209461,563929,187943,197242,92107,112316,124082,40737,NA,"county_level","24031","Montgomery County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"116",47900,"2013",989474,235741,142546,209922,218638,182627,560930,170317,173135,91422,111229,118067,39845,NA,"county_level","24031","Montgomery County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"117",47900,"2009",946172,234412,135730,204619,211568,159843,569819,154422,142509,87724,107965,111182,37228,NA,"county_level","24031","Montgomery County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"118",47900,"2017",1039198,243654,147327,215965,222791,209461,563929,187943,197242,92107,112316,124082,40737,NA,"county_level","24031","Montgomery County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"119",47900,"2013",989474,235741,142546,209922,218638,182627,560930,170317,173135,91422,111229,118067,39845,NA,"county_level","24031","Montgomery County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"120",47900,"2009",946172,234412,135730,204619,211568,159843,569819,154422,142509,87724,107965,111182,37228,NA,"county_level","24031","Montgomery County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"121",47900,"2000",915141,1054084,142542,206294,147495,84910,216774,501431,56813,69004,82673,66534,37930,NA,"county_level","24033","Prince George's County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"122",47900,"1990",729268,729268,170863,195159,111996,72820,314559,369622,30013,55368,75398,94858,32065,NA,"county_level","24033","Prince George's County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"123",47900,"1980",665071,1006724,134516,196895,232209,132395,411275,249539,13767,45003,62523,84119,33781,NA,"county_level","24033","Prince George's County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"124",47900,"1970",1075060,660567,157074,127666,87663,42090,NA,NA,NA,NA,NA,NA,NA,NA,"county_level","24033","Prince George's County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"125",47900,"2013",873481,204322,165809,186483,183953,132914,185930,560653,134192,84246,87379,94661,37155,NA,"county_level","24033","Prince George's County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"126",47900,"2009",834986,211901,148413,188627,175210,110835,194919,533021,103186,83048,87414,92871,34604,NA,"county_level","24033","Prince George's County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"127",47900,"2017",905161,203800,163332,188786,189806,159437,170009,572465,157427,86830,86602,94345,38917,NA,"county_level","24033","Prince George's County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"128",47900,"2013",873481,204322,165809,186483,183953,132914,185930,560653,134192,84246,87379,94661,37155,NA,"county_level","24033","Prince George's County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"129",47900,"2009",834986,211901,148413,188627,175210,110835,194919,533021,103186,83048,87414,92871,34604,NA,"county_level","24033","Prince George's County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"130",47900,"2017",905161,203800,163332,188786,189806,159437,170009,572465,157427,86830,86602,94345,38917,NA,"county_level","24033","Prince George's County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"131",47900,"2000",259877,231060,45310,55348,34896,20370,130794,17856,35212,35236,27258,12716,5946,NA,"county_level","51013","Arlington County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"132",47900,"1990",170936,170936,43951,52470,23432,25318,130745,17947,23023,30808,26078,17192,4667,NA,"county_level","51013","Arlington County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"133",47900,"1980",152599,232498,29552,57295,51214,54830,141116,14047,8781,28928,24004,14963,3829,NA,"county_level","51013","Arlington County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"134",47900,"1970",306698,174284,45363,29708,35094,22249,NA,NA,NA,NA,NA,NA,NA,NA,"county_level","51013","Arlington County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
