"ZCTA","NAME","LSAD","STATE","COUNTY","new_constructions","existing_constructions","new_existing_constructions_ratio","share_single_family_new_constructions","total_single_family_households_since_2000","total_single_family_households","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","brks"
"22305","Alexandria","city",51,"510",855,5650,0.15,0.12,106,2991,15.027,3617283.37846518,3611064.03983924,0.998280660380947,"0.19"
"22305","Arlington","County",51,"013",855,5650,0.15,0.12,106,2991,25.974,3617283.37846518,6216.89935925975,0.00171866528242463,"0.19"
"22307","Alexandria","city",51,"510",55,4425,0.01,0.89,49,3158,15.027,9868731.58894229,12.5467864274979,1.27136768432899e-06,"0.09"
"22307","Prince George's","County",24,"033",55,4425,0.01,0.89,49,3158,482.691,9868731.58894229,4.11272048950195e-06,4.16742562348151e-13,"0.09"
"22307","Fairfax","County",51,"059",55,4425,0.01,0.89,49,3158,390.969,9868731.58894229,9868717.89954834,0.99999861285173,"0.09"
"22310","Alexandria","city",51,"510",1003,10319,0.1,0.77,768,8985,15.027,18630002.7871316,4174.58271391317,0.000224078480374502,"0.19"
"22310","Fairfax","County",51,"059",1003,10319,0.1,0.77,768,8985,390.969,18630002.7871316,18625827.4419587,0.999775880593226,"0.19"
"22311","Alexandria","city",51,"510",521,7361,0.07,0.16,84,1455,15.027,4042901.72216398,3168455.2758562,0.783708210982747,"0.09"
"22311","Fairfax","County",51,"059",521,7361,0.07,0.16,84,1455,390.969,4042901.72216398,874444.494734727,0.216291306301326,"0.09"
"22312","Alexandria","city",51,"510",1217,9947,0.12,0.41,503,5459,15.027,13940364.732087,1175814.49771864,0.08434603543853,"0.19"
"22312","Fairfax","County",51,"059",1217,9947,0.12,0.41,503,5459,390.969,13940364.732087,12764550.1412928,0.915653957884777,"0.19"
"22314","District of Columbia",NA,11,"001",3976,12594,0.32,0.17,691,7100,61.048,10647991.7229401,0.492189675569534,4.62237094445855e-08,"0.37"
"22314","Fairfax","County",51,"059",3976,12594,0.32,0.17,691,7100,390.969,10647991.7229401,31804.8814632325,0.0029869370948807,"0.37"
"22314","Prince George's","County",24,"033",3976,12594,0.32,0.17,691,7100,482.691,10647991.7229401,7.29063764672022e-08,6.84696028736877e-15,"0.37"
"22314","Alexandria","city",51,"510",3976,12594,0.32,0.17,691,7100,15.027,10647991.7229401,10615982.5080188,0.996993873046278,"0.37"
"22314","Arlington","County",51,"013",3976,12594,0.32,0.17,691,7100,25.974,10647991.7229401,209.688625340583,1.96927862827718e-05,"0.37"
"22030","Fairfax","city",51,"600",5947,13295,0.45,0.51,3028,12474,6.239,49108581.3197197,12176599.4205434,0.247952579637113,"6.1"
"22030","Fairfax","County",51,"059",5947,13295,0.45,0.51,3028,12474,390.969,49108581.3197197,36931977.2419747,0.752047325528107,"6.1"
"22031","Fairfax","County",51,"059",2395,9550,0.25,0.37,888,6533,390.969,17814974.8609017,14558218.2713385,0.817189941889236,"0.37"
"22031","Fairfax","city",51,"600",2395,9550,0.25,0.37,888,6533,6.239,17814974.8609017,3256761.35860163,0.182810325809059,"0.37"
"22032","Fairfax","County",51,"059",533,9176,0.06,0.75,401,9394,390.969,19413074.8728606,18592422.3361789,0.957726813394774,"0.09"
"22032","Fairfax","city",51,"600",533,9176,0.06,0.75,401,9394,6.239,19413074.8728606,820652.424844883,0.0422731808443264,"0.09"
