"GEO_ID","STATE","COUNTY","NAME","LSAD","CENSUSAREA","ZCTA5CE10","AFFGEOID10","GEOID10","ALAND10","AWATER10","zcta_area","intersected_area","percent_intersected_area"
"0500000US11001","11","001","District of Columbia",NA,61.048,"20427","8600000US20427","20427",16368,0,16250.542772098,16250.542772098,1
"0500000US11001","11","001","District of Columbia",NA,61.048,"20006","8600000US20006","20006",879526,0,918103.72786768,918103.72786768,1
"0500000US11001","11","001","District of Columbia",NA,61.048,"20032","8600000US20032","20032",13610561,195978,13737595.2372783,13737612.5314543,1.00000125889398
"0500000US24033","24","033","Prince George's","County",482.691,"20782","8600000US20782","20782",10999559,90332,11157365.1532679,11157365.1532679,1
"0500000US51047","51","047","Culpeper","County",379.234,"22736","8600000US22736","22736",74610837,1142727,75741457.6700986,75508410.398812,0.996923121386155
"0500000US24033","24","033","Prince George's","County",482.691,"20762","8600000US20762","20762",15260554,6924,15297787.215171,15297787.215171,1
"0500000US24031","24","031","Montgomery","County",491.254,"20861","8600000US20861","20861",9943908,18520,9899572.08003107,9882424.55760419,0.998267852156816
"0500000US24033","24","033","Prince George's","County",482.691,"20720","8600000US20720","20720",28925474,203737,29123689.011935,29116863.8162057,0.99976564796697
"0500000US24031","24","031","Montgomery","County",491.254,"20814","8600000US20814","20814",13193941,52881,13206170.6888918,13206170.6888918,1
"0500000US11001","11","001","District of Columbia",NA,61.048,"20020","8600000US20020","20020",11944740,342579,12317651.746292,12317671.4594909,1.00000160040236
"0500000US11001","11","001","District of Columbia",NA,61.048,"20011","8600000US20011","20011",12622333,106750,12660480.799926,12660466.3018154,0.999998854853074
"0500000US11001","11","001","District of Columbia",NA,61.048,"20019","8600000US20019","20019",16230019,537698,16827648.5828605,16827435.0886489,0.999987312891012
"0500000US24031","24","031","Montgomery","County",491.254,"20854","8600000US20854","20854",87457161,7157204,94509865.7631376,94509716.6838907,0.999998422606511
"0500000US24031","24","031","Montgomery","County",491.254,"20882","8600000US20882","20882",99941219,426640,100399626.13006,100372677.239232,0.999731583753175
"0500000US24017","24","017","Charles","County",457.749,"20640","8600000US20640","20640",107949450,18435559,118423934.563096,118165369.568426,0.997816615402754
"0500000US24009","24","009","Calvert","County",213.152,"20639","8600000US20639","20639",108467930,4920694,113424461.256558,113378885.896997,0.999598187559753
"0500000US24021","24","021","Frederick","County",660.221,"21727","8600000US21727","21727",82865972,531563,83598387.6422963,83583671.2427225,0.999823963117127
"0500000US24021","24","021","Frederick","County",660.221,"21777","8600000US21777","21777",5656707,2131267,7826135.61542499,7826137.82356572,1.00000028214956
