"STATE","COUNTY","ZCTA","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","NAME","LSAD"
"24","021","21757",660.221,97693855.9456051,44944747.3481213,0.460057051828787,"Frederick","County"
"24","021","20176",660.221,148765692.3985,0,0,"Frederick","County"
"24","021","21787",660.221,149700629.956347,17690677.1840658,0.118173698996621,"Frederick","County"
"24","021","21790",660.221,10134575.0836089,10134575.0836089,1,"Frederick","County"
"24","021","21788",660.221,174337298.505415,174337298.505415,1,"Frederick","County"
"24","021","21755",660.221,90883870.8421615,90869849.9344863,0.999845727217103,"Frederick","County"
"24","021","21703",660.221,86319293.5032442,86319293.5032442,1,"Frederick","County"
"24","021","21798",660.221,43033473.5053231,43033473.5053231,1,"Frederick","County"
"24","021","20180",660.221,111169793.923558,2.29178325086832,2.06151614569348e-08,"Frederick","County"
"24","021","21754",660.221,61539273.884357,61532450.0535177,0.999889114212623,"Frederick","County"
"24","021","21702",660.221,104886473.461421,104886473.461421,1,"Frederick","County"
"24","031","20896",491.254,650561.16475445,650561.16475445,1,"Montgomery","County"
"24","031","20777",491.254,19644349.7401282,357170.052646848,0.0181818211023419,"Montgomery","County"
"24","031","20812",491.254,876482.654953003,876482.689589024,1.00000003951706,"Montgomery","County"
"24","031","20868",491.254,5203895.03634545,5203895.03634545,1,"Montgomery","County"
"24","031","20860",491.254,9907308.87969363,9907308.87969363,1,"Montgomery","County"
"24","031","20902",491.254,19760898.065731,19760898.065731,1,"Montgomery","County"
"24","031","20707",491.254,29389852.2616729,1922579.24055386,0.0654164309311987,"Montgomery","County"
"24","031","20839",491.254,12748897.0177481,12748897.0177481,1,"Montgomery","County"
"24","031","20817",491.254,36217630.3860575,36217630.3860575,1,"Montgomery","County"
"24","031","20876",491.254,30336821.1588094,30336821.1588094,1,"Montgomery","County"
"24","031","20861",491.254,9899572.0799509,9882424.5575065,0.998267852155032,"Montgomery","County"
"24","031","20814",491.254,13206170.6888839,13206170.6888839,1,"Montgomery","County"
"24","031","20011",491.254,12660480.7999454,1.53183937072754e-05,1.20993775428667e-12,"Montgomery","County"
"24","031","20854",491.254,94509865.763139,94509716.683898,0.999998422606574,"Montgomery","County"
"24","031","20882",491.254,100399626.129996,100372677.239197,0.999731583753471,"Montgomery","County"
"24","031","22102",491.254,27337777.4810894,0,0,"Montgomery","County"
"24","031","20877",491.254,14983548.7681346,14983548.7681346,1,"Montgomery","County"
"24","031","20015",491.254,8925388.95455337,11.4889633655548,1.28722271085941e-06,"Montgomery","County"
"24","031","20850",491.254,36728390.1645798,36728390.1645798,1,"Montgomery","County"
"24","031","20759",491.254,17214245.612834,70114.6499021649,0.004073059690161,"Montgomery","County"
"24","031","20906",491.254,31436186.5011489,31436186.5011489,1,"Montgomery","County"
"24","031","20910",491.254,11894977.8716655,11894979.9570951,1.00000017532018,"Montgomery","County"
"24","031","20912",491.254,7053714.0166749,6437356.80953336,0.912619478804432,"Montgomery","County"
"24","031","20874",491.254,58459166.0035546,58459163.908223,0.999999964157347,"Montgomery","County"
"24","031","20832",491.254,26114576.2806139,26114576.2806139,1,"Montgomery","County"
"24","031","20833",491.254,52390690.5084374,47461298.3304338,0.905910914130636,"Montgomery","County"
"24","031","20837",491.254,118529174.142168,118529159.75714,0.999999878637232,"Montgomery","County"
"24","031","20841",491.254,69665244.3398016,69665244.3398016,1,"Montgomery","County"
"24","031","20842",491.254,144607550.591817,105801260.974307,0.731644098398098,"Montgomery","County"
"24","031","20851",491.254,6086656.01204705,6086656.01204705,1,"Montgomery","County"
"24","031","20879",491.254,19980480.4733474,19980480.4733474,1,"Montgomery","County"
"24","031","20901",491.254,13975368.8919389,13975368.8919389,1,"Montgomery","County"
"24","031","20903",491.254,9296222.28550817,8118113.43925023,0.873270151027425,"Montgomery","County"
"24","031","20853",491.254,23738254.9755324,23738254.9755324,1,"Montgomery","County"
"24","031","20855",491.254,34561750.5600028,34561750.5600028,1,"Montgomery","County"
"24","031","20866",491.254,18970552.5146591,18899859.6398902,0.996273546871431,"Montgomery","County"
"24","031","20871",491.254,53356061.8743873,50702602.3669164,0.950268827678517,"Montgomery","County"
"24","031","20872",491.254,54048798.5348558,54045586.4677548,0.99994057098052,"Montgomery","County"
"24","031","20904",491.254,35606543.836366,35276315.7463671,0.990725634829471,"Montgomery","County"
"24","031","20905",491.254,33858458.7586198,33835165.5212567,0.999312040824743,"Montgomery","County"
"24","031","21770",491.254,28622554.3571894,122342.361385003,0.00427433414426455,"Montgomery","County"
"24","031","21771",491.254,220778674.345171,8211322.76617968,0.0371925539934254,"Montgomery","County"
"24","031","21797",491.254,112666324.114287,29275.6802740323,0.000259844106073217,"Montgomery","County"
"24","031","20147",491.254,52295060.5249333,4.20785450935364,8.04637085628271e-08,"Montgomery","County"
"24","031","20176",491.254,148765692.3985,7.02276736497879,4.72069013477036e-08,"Montgomery","County"
"24","031","20165",491.254,25850254.1350423,0.807036161422729,3.12196606349306e-08,"Montgomery","County"
"24","031","22101",491.254,35439944.8821993,5020.36671924591,0.00014165842345222,"Montgomery","County"
"24","031","20016",491.254,11927452.3369294,0.00125785984078428,1.05459221739225e-10,"Montgomery","County"
"24","031","20878",491.254,57765090.7877636,57765090.7877636,1,"Montgomery","County"
"24","031","20815",491.254,14101992.6560829,14102936.473664,1.00006692795864,"Montgomery","County"
"24","031","20783",491.254,14547634.7671438,5220.01231973642,0.000358822063056323,"Montgomery","County"
"24","031","21036",491.254,17570219.4871966,15983.0511471629,0.000909667130727068,"Montgomery","County"
"24","031","20705",491.254,41345615.7018464,461452.76584816,0.0111608633228687,"Montgomery","County"
"24","031","20899",491.254,191068.137811244,191068.137811244,1,"Montgomery","County"
"24","031","21737",491.254,13322732.5144584,11467.1195021868,0.000860718286563372,"Montgomery","County"
"24","031","22066",491.254,70599497.7739723,206973.153294683,0.00293165192133968,"Montgomery","County"
"24","031","20012",491.254,5803079.64819336,15.5933281779289,2.68707809012815e-06,"Montgomery","County"
"24","031","21029",491.254,41724562.4786412,9085.81029105559,0.000217756873920646,"Montgomery","County"
"24","031","20816",491.254,10625517.4215522,10619779.3284448,0.999459970476757,"Montgomery","County"
"24","031","20838",491.254,7012613.16269064,7012613.16269064,1,"Montgomery","County"
"24","031","20852",491.254,21577225.4165254,21577225.4165254,1,"Montgomery","County"
"24","031","20886",491.254,12408205.5991739,12408205.5991739,1,"Montgomery","County"
"24","031","20723",491.254,35085276.6334101,5042.80127269961,0.00014372984216113,"Montgomery","County"
"24","031","20895",491.254,10611844.9100863,10611844.9100863,1,"Montgomery","County"
"24","031","21754",491.254,61539273.884357,6823.80454349518,0.000110885360076206,"Montgomery","County"
"24","031","20862",491.254,3066795.38869667,3060117.18760082,0.99782241713273,"Montgomery","County"
"24","031","20880",491.254,606894.016048491,606894.016048491,1,"Montgomery","County"
"24","031","20818",491.254,3645859.43826887,3645859.56255531,1.00000003408975,"Montgomery","County"
"24","033","22309",482.691,21639107.815757,12481.7743296623,0.000576815570953134,"Prince George's","County"
"24","033","20712",482.691,1912759.04030633,1912847.50499773,1.00004624978345,"Prince George's","County"
"24","033","20646",482.691,215582725.379325,0,0,"Prince George's","County"
"24","033","20613",482.691,199585354.825032,184139041.535729,0.922607982420134,"Prince George's","County"
"24","033","20623",482.691,5034275.22545433,5034275.22545433,1,"Prince George's","County"
"24","033","20742",482.691,1906351.04848319,1906351.04848319,1,"Prince George's","County"
"24","033","20737",482.691,10831073.0458471,10831073.0458471,1,"Prince George's","County"
"24","033","20616",482.691,29082435.0115622,53.6231812909245,1.84383395921303e-06,"Prince George's","County"
"24","033","20707",482.691,29389852.2616729,27359475.4047924,0.930915717479525,"Prince George's","County"
"24","033","20710",482.691,2866204.86688462,2866204.86688462,1,"Prince George's","County"
"24","033","20776",482.691,62008433.5807024,11644.5562918019,0.00018778987984992,"Prince George's","County"
"24","033","20706",482.691,27012480.3387637,27012480.3387637,1,"Prince George's","County"
"24","033","20747",482.691,19839597.2241334,19839597.2241334,1,"Prince George's","County"
"24","033","20032",482.691,13737595.2373034,5.41497349739075,3.94171862240256e-07,"Prince George's","County"
"24","033","20782",482.691,11157365.1533222,11157365.1533222,1,"Prince George's","County"
"24","033","20762",482.691,15297787.2151462,15297787.2151462,1,"Prince George's","County"
"24","033","20720",482.691,29123689.0119808,29116863.81626,0.999765647967263,"Prince George's","County"
"24","033","20020",482.691,12317651.7462729,24.5028921206197,1.9892502747558e-06,"Prince George's","County"
"24","033","20011",482.691,12660480.7999454,1.18751108522015,9.37966814992739e-08,"Prince George's","County"
"24","033","20019",482.691,16827648.5829098,58.3081265687943,3.46501926763624e-06,"Prince George's","County"
"24","033","20639",482.691,113424461.25664,45579.0318587217,0.000401844816838868,"Prince George's","County"
"24","033","21054",482.691,46168538.3259425,30733.7746503567,0.000665686542497429,"Prince George's","County"
"24","033","20601",482.691,116051534.846758,10905350.6750794,0.0939698961282974,"Prince George's","County"
"24","033","20637",482.691,83539558.9947183,42597.8390376056,0.000509912184720759,"Prince George's","County"
"24","033","20608",482.691,50903057.1472981,50846665.6609534,0.998892178790333,"Prince George's","County"
"24","033","20695",482.691,32925359.2217402,0,0,"Prince George's","County"
"24","033","20708",482.691,36947101.6187005,36917742.8968161,0.999205384980197,"Prince George's","County"
"24","033","20711",482.691,89466414.7564436,17833.4192593824,0.000199330880844289,"Prince George's","County"
"24","033","20715",482.691,37839684.600201,37775503.5440526,0.998303869156772,"Prince George's","County"
"24","033","20716",482.691,30068705.9940185,30043571.4514885,0.999164096302149,"Prince George's","County"
"24","033","20721",482.691,43679265.6820967,43679265.6820967,1,"Prince George's","County"
"24","033","20722",482.691,3902682.20794247,3902682.20794247,1,"Prince George's","County"
"24","033","20724",482.691,20702294.5286894,38373.0393385962,0.00185356455466415,"Prince George's","County"
"24","033","20735",482.691,67401459.5561864,67401459.5561864,1,"Prince George's","County"
"24","033","20736",482.691,67797705.7077903,16992.4290432632,0.000250634278341231,"Prince George's","County"
"24","033","20743",482.691,25125227.7243896,25125239.9834898,1.00000048791996,"Prince George's","County"
"24","033","20745",482.691,17026104.0343928,16999847.0066171,0.998457836994143,"Prince George's","County"
"24","033","20746",482.691,20426906.8270561,20426906.8270673,1.00000000000055,"Prince George's","County"
"24","033","20748",482.691,23563930.1042737,23563927.6845258,0.999999897311361,"Prince George's","County"
"24","033","20603",482.691,44414836.5369154,31004.0368739069,0.000698055859062722,"Prince George's","County"
"24","033","21113",482.691,37347669.6383746,45207.3312422968,0.00121044583718408,"Prince George's","County"
"24","033","21114",482.691,14449012.249812,2526.91422070563,0.000174884910955661,"Prince George's","County"
"24","033","20769",482.691,20055143.0878855,20055143.0878855,1,"Prince George's","County"
"24","033","20770",482.691,21484671.5211565,21484671.5211565,1,"Prince George's","County"
"24","033","20774",482.691,90390513.6207807,90373288.1188755,0.999809432414805,"Prince George's","County"
"24","033","20912",482.691,7053714.0166749,616382.175776064,0.0873840609810582,"Prince George's","County"
"24","033","20901",482.691,13975368.8919389,0,0,"Prince George's","County"
"24","033","20903",482.691,9296222.28550817,1178124.26270465,0.126731507328651,"Prince George's","County"
"24","033","20866",482.691,18970552.5146591,8064.49782957882,0.00042510611239958,"Prince George's","County"
"24","033","20904",482.691,35606543.836366,330283.177094102,0.00927591227646122,"Prince George's","County"
"24","033","22308",482.691,12678609.9893131,23503.0211405752,0.00185375377587812,"Prince George's","County"
"24","033","22314",482.691,10647991.7229401,7.29063764672022e-08,6.84696028736877e-15,"Prince George's","County"
"24","033","20784",482.691,11012159.5845405,11012159.5845405,1,"Prince George's","County"
"24","033","20017",482.691,5705564.79410224,1.18287188403161,2.07318981856859e-07,"Prince George's","County"
"24","033","20754",482.691,45775021.8882263,32822.1137473863,0.000717031087992301,"Prince George's","County"
"24","033","20772",482.691,188817915.9938,188794910.960395,0.999878162867737,"Prince George's","County"
"24","033","20744",482.691,68526809.0033345,68526809.0033345,1,"Prince George's","County"
"24","033","20783",482.691,14547634.7671438,14542399.4103602,0.999640123163156,"Prince George's","County"
"24","033","21035",482.691,73910128.3889087,46529.1238283888,0.000629536503895062,"Prince George's","County"
"24","033","20705",482.691,41345615.7018464,40884107.8489031,0.988837804320746,"Prince George's","County"
"24","033","20785",482.691,25631917.3837118,25631917.3837118,1,"Prince George's","County"
"24","033","22307",482.691,9868731.58894229,4.11272048950195e-06,4.16742562348151e-13,"Prince George's","County"
"24","033","20781",482.691,6499646.20647645,6499646.4412961,1.00000003612807,"Prince George's","County"
"24","033","20678",482.691,129035832.94957,9352.29001271725,7.24782395628995e-05,"Prince George's","County"
