estimate_year,index,MA_009,MA_017,MA_021,MA_023,MA_025,NH_015,NH_017
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2013-2017,"B25127_54_1,_detached__or_attached",781,1673,718,516,1554,446,452
2013-2017,B25127_55_2_to_4,848,2160,853,544,2772,453,179
2013-2017,B25127_56_5_to_19,1562,2963,2229,738,1772,374,318
2013-2017,B25127_57_20_to_49,1581,2701,1229,567,1291,621,323
2013-2017,B25127_58_50_or_more,1722,5906,3398,952,4901,396,352
2013-2017,"B25127_59_mobile_home,_boat,_rv,_van,_etc.",130,65,40,24,35,155,97
2013-2017,B25127_60_built_1980_to_1999,14913,34573,14672,7193,21975,8209,3835
2013-2017,"B25127_61_1,_detached__or_attached",2559,4537,1819,1969,2372,2472,653
2013-2017,B25127_62_2_to_4,3610,6296,2422,1373,5069,1227,988
2013-2017,B25127_63_5_to_19,3832,9523,4120,2080,4186,2273,1084
2013-2017,B25127_64_20_to_49,1891,5206,2640,630,3092,1374,726
2013-2017,B25127_65_50_or_more,2975,8821,3627,942,7116,412,97
2013-2017,"B25127_66_mobile_home,_boat,_rv,_van,_etc.",46,190,44,199,140,451,287
2013-2017,B25127_67_built_1960_to_1979,20306,52094,23199,12190,37254,8088,3777
2013-2017,"B25127_68_1,_detached__or_attached",2372,6150,2538,2766,3106,1736,485
2013-2017,B25127_69_2_to_4,5529,12573,4945,2666,10013,1259,1065
2013-2017,B25127_70_5_to_19,5965,14155,6367,4119,8598,2296,876
2013-2017,B25127_71_20_to_49,2458,7323,3598,638,4752,1946,587
2013-2017,B25127_72_50_or_more,3731,11540,5662,1883,10675,500,324
2013-2017,"B25127_73_mobile_home,_boat,_rv,_van,_etc.",251,353,89,118,110,351,440
2013-2017,B25127_74_built_1940_to_1959,12893,31580,11502,6078,26205,3146,1901
2013-2017,"B25127_75_1,_detached__or_attached",3192,6542,3487,2420,2213,1324,605
2013-2017,B25127_76_2_to_4,5551,12802,3583,1894,10611,985,837
2013-2017,B25127_77_5_to_19,2181,6156,2385,1102,7484,465,321
2013-2017,B25127_78_20_to_49,789,3133,1047,227,3136,207,78
2013-2017,B25127_79_50_or_more,1138,2939,1000,406,2741,101,37
2013-2017,"B25127_80_mobile_home,_boat,_rv,_van,_etc.",42,8,0,29,20,64,23
2013-2017,B25127_81_built_1939_or_earlier,49361,81495,20282,14294,89154,5465,4998
2013-2017,"B25127_82_1,_detached__or_attached",6109,11800,4032,3115,6065,1430,819
2013-2017,B25127_83_2_to_4,26811,46751,9911,8309,47492,2093,2523
2013-2017,B25127_84_5_to_19,9316,13036,3771,2019,22201,1295,1088
2013-2017,B25127_85_20_to_49,3582,4880,1117,317,7098,265,190
2013-2017,B25127_86_50_or_more,3468,4906,1387,508,6185,382,356
2013-2017,"B25127_87_mobile_home,_boat,_rv,_van,_etc.",75,122,64,26,113,0,22
2013-2017,B03002_1_total,775860,1582857,694389,509114,780685,302479,126552
2013-2017,B03002_2_not_hispanic_or_latino,623671,1461686,665489,490450,606978,294425,123760
2013-2017,B03002_3_white_alone,558478,1160650,532276,416813,355132,281776,115654
2013-2017,B03002_4_black_or_african_american_alone,23782,76708,43719,44804,157381,1983,1041
2013-2017,B03002_5_american_indian_and_alaska_native_alone,619,1711,610,502,1531,314,59
2013-2017,B03002_6_asian_alone,26448,176740,71819,6218,67210,5808,4041
2013-2017,B03002_7_native_hawaiian_and_other_pacific_islander_alone,158,305,202,116,142,0,0
2013-2017,B03002_8_some_other_race_alone,2169,8720,3189,11729,7338,182,85
2013-2017,B03002_9_two_or_more_races,12017,36852,13674,10268,18244,4362,2880
2013-2017,B03002_10_two_races_including_some_other_race,593,3694,1363,1901,1561,74,209
2013-2017,"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",11424,33158,12311,8367,16683,4288,2671
2013-2017,B03002_12_hispanic_or_latino,152189,121171,28900,18664,173707,8054,2792
2013-2017,B03002_13_white_alone,67219,72870,18901,10570,76154,5743,2177
2013-2017,B03002_14_black_or_african_american_alone,7592,4965,2051,2086,18128,231,56
2013-2017,B03002_15_american_indian_and_alaska_native_alone,1098,787,124,224,1189,70,0
2013-2017,B03002_16_asian_alone,116,453,91,102,546,0,113
2013-2017,B03002_17_native_hawaiian_and_other_pacific_islander_alone,78,169,12,44,34,0,0
2013-2017,B03002_18_some_other_race_alone,66929,32470,5964,4094,47982,1446,312
2013-2017,B03002_19_two_or_more_races,9157,9457,1757,1544,29674,564,134
2013-2017,B03002_20_two_races_including_some_other_race,3004,2366,729,604,3276,393,81
2013-2017,"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",6153,7091,1028,940,26398,171,53
2013-2017,B11005_1_total,291659,593784,262324,184195,303676,119955,48543
2013-2017,B11005_2_households_with_one_or_more_people_under_18_years,93002,183864,82759,61466,73083,36904,13922
2013-2017,B11005_3_family_households,92468,182948,82450,60870,72565,36503,13676
2013-2017,B11005_4_married-couple_family,60378,140728,65406,42498,36177,27242,9480
2013-2017,B11005_5_other_family,32090,42220,17044,18372,36388,9261,4196
2013-2017,"B11005_6_male_householder,_no_wife_present",7105,9618,3568,3967,6480,3013,1560
2013-2017,"B11005_7_female_householder,_no_husband_present",24985,32602,13476,14405,29908,6248,2636
2013-2017,B11005_8_nonfamily_households,534,916,309,596,518,401,246
2013-2017,B11005_9_male_householder,390,634,235,449,279,291,153
2013-2017,B11005_10_female_householder,144,282,74,147,239,110,93
