estimate_year,index,IL_031,IL_037,IL_043,IL_063,IL_089,IL_093,IL_097,IL_111,IL_197,IN_073,IN_089,IN_111,IN_127,WI_059
2009-2013,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2009-2013,B25127_28_20_to_49,3188,0,198,0,15,0,28,19,0,0,0,0,0,0
2009-2013,B25127_29_50_or_more,6814,0,169,0,37,0,15,0,9,0,0,0,0,0
2009-2013,"B25127_30_mobile_home,_boat,_rv,_van,_etc.",166,0,15,3,15,0,33,0,91,0,22,0,18,63
2009-2013,B25127_31_built_1939_or_earlier,279897,4110,15197,1889,16207,1461,14325,6068,9680,1242,17847,898,3700,6763
2009-2013,"B25127_32_1,_detached__or_attached",172763,3994,14860,1843,15280,1442,13374,5877,9019,1227,16811,894,3603,5989
2009-2013,B25127_33_2_to_4,67634,114,195,46,878,19,839,136,567,15,989,4,75,725
2009-2013,B25127_34_5_to_19,19486,0,35,0,35,0,36,23,41,0,47,0,22,21
2009-2013,B25127_35_20_to_49,8794,0,88,0,0,0,11,10,0,0,0,0,0,28
2009-2013,B25127_36_50_or_more,11152,0,9,0,0,0,56,8,9,0,0,0,0,0
2009-2013,"B25127_37_mobile_home,_boat,_rv,_van,_etc.",68,2,10,0,14,0,9,14,44,0,0,0,0,0
2009-2013,B25127_38_renter_occupied,805398,15060,85913,4307,41981,6228,58063,19250,38154,2427,55342,1260,13872,20351
2009-2013,B25127_39_built_2000_or_later,61257,2297,8203,1069,5571,2562,7958,2906,6272,334,4474,11,1287,2373
2009-2013,"B25127_40_1,_detached__or_attached",5706,1121,2067,550,2352,1553,3330,1808,3282,167,1222,11,379,711
2009-2013,B25127_41_2_to_4,11303,179,348,129,543,194,463,123,617,77,691,0,161,326
2009-2013,B25127_42_5_to_19,11040,579,2042,301,1403,620,1551,563,1181,66,1448,0,518,557
2009-2013,B25127_43_20_to_49,5423,347,1241,0,374,101,700,210,323,21,468,0,49,359
2009-2013,B25127_44_50_or_more,27101,68,2505,41,740,94,1754,191,809,0,483,0,60,352
