index,12011,12086,12099,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,2012-2016
B25034_6_built_1980_to_1989,150095,151848,190062,2012-2016
B25034_7_built_1970_to_1979,215383,192592,133082,2012-2016
B25034_8_built_1960_to_1969,126753,136045,54786,2012-2016
B25034_9_built_1950_to_1959,74439,146818,34124,2012-2016
B25034_10_built_1940_to_1949,9305,58023,8675,2012-2016
B25034_11_built_1939_or_earlier,6438,38396,11225,2012-2016
B25127_1_total,672988,853624,538549,2012-2016
B25127_2_owner_occupied,422354,449174,369536,2012-2016
B25127_3_built_2010_or_later,3104,4138,5300,2012-2016
"B25127_4_1,_detached__or_attached",2533,3407,4971,2012-2016
B25127_5_2_to_4,30,81,15,2012-2016
B25127_6_5_to_19,110,157,100,2012-2016
B25127_7_20_to_49,55,52,23,2012-2016
B25127_8_50_or_more,144,364,83,2012-2016
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",232,77,108,2012-2016
B25127_10_built_2000_to_2009,46103,53471,63442,2012-2016
"B25127_11_1,_detached__or_attached",36782,37532,55803,2012-2016
B25127_12_2_to_4,1021,996,1187,2012-2016
B25127_13_5_to_19,1720,2510,1428,2012-2016
B25127_14_20_to_49,1170,1864,983,2012-2016
B25127_15_50_or_more,3188,9902,2197,2012-2016
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",2222,667,1844,2012-2016
B25127_17_built_1980_to_1999,156670,134428,174637,2012-2016
"B25127_18_1,_detached__or_attached",116337,98186,131781,2012-2016
B25127_19_2_to_4,3699,3500,12005,2012-2016
B25127_20_5_to_19,10168,8364,11926,2012-2016
B25127_21_20_to_49,11612,5636,8286,2012-2016
B25127_22_50_or_more,11481,15428,6528,2012-2016
"B25127_23_mobile_home,_boat,_rv,_van,_etc.",3373,3314,4111,2012-2016
B25127_24_built_1960_to_1979,168256,139196,97266,2012-2016
"B25127_25_1,_detached__or_attached",103423,96054,60279,2012-2016
B25127_26_2_to_4,3643,2643,6615,2012-2016
B25127_27_5_to_19,9648,5587,7763,2012-2016
B25127_28_20_to_49,19723,8403,10149,2012-2016
B25127_29_50_or_more,26403,23942,7882,2012-2016
"B25127_30_mobile_home,_boat,_rv,_van,_etc.",5416,2567,4578,2012-2016
B25127_31_built_1940_to_1959,45516,104349,23912,2012-2016
"B25127_32_1,_detached__or_attached",40783,98091,21430,2012-2016
B25127_33_2_to_4,923,1440,558,2012-2016
B25127_34_5_to_19,759,1290,529,2012-2016
B25127_35_20_to_49,1236,1390,523,2012-2016
B25127_36_50_or_more,1464,1640,522,2012-2016
"B25127_37_mobile_home,_boat,_rv,_van,_etc.",351,498,350,2012-2016
B25127_38_built_1939_or_earlier,2705,13592,4979,2012-2016
"B25127_39_1,_detached__or_attached",2041,12239,4252,2012-2016
B25127_40_2_to_4,64,367,184,2012-2016
B25127_41_5_to_19,157,335,105,2012-2016
B25127_42_20_to_49,190,297,143,2012-2016
B25127_43_50_or_more,216,235,145,2012-2016
"B25127_44_mobile_home,_boat,_rv,_van,_etc.",37,119,150,2012-2016
B25127_45_renter_occupied,250634,404450,169013,2012-2016
B25127_46_built_2010_or_later,6013,9498,3914,2012-2016
"B25127_47_1,_detached__or_attached",929,1203,817,2012-2016
B25127_48_2_to_4,545,648,640,2012-2016
B25127_49_5_to_19,1694,2390,821,2012-2016
B25127_50_20_to_49,959,1300,838,2012-2016
B25127_51_50_or_more,1743,3957,735,2012-2016
"B25127_52_mobile_home,_boat,_rv,_van,_etc.",143,0,63,2012-2016
B25127_53_built_2000_to_2009,29070,54016,28860,2012-2016
"B25127_54_1,_detached__or_attached",8298,13592,10056,2012-2016
B25127_55_2_to_4,2645,3604,3056,2012-2016
B25127_56_5_to_19,7327,9179,7232,2012-2016
B25127_57_20_to_49,4186,5552,3324,2012-2016
