index,25009,25017,25021,25023,25025,33015,33017,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2009-2013
B25127_43_20_to_49,1629,3471,1613,534,1425,577,291,2009-2013
B25127_44_50_or_more,2167,7548,3258,770,6113,267,212,2009-2013
"B25127_45_mobile_home,_boat,_rv,_van,_etc.",22,15,27,32,25,129,27,2009-2013
B25127_46_built_1980_to_1999,13542,29036,13403,5530,20031,8006,3642,2009-2013
"B25127_47_1,_detached__or_attached",2276,4289,1491,1281,2397,1942,446,2009-2013
B25127_48_2_to_4,3205,5726,2364,1216,5293,1399,745,2009-2013
B25127_49_5_to_19,3023,7308,3532,1437,3616,2253,1156,2009-2013
B25127_50_20_to_49,1987,4021,1947,635,2562,1561,847,2009-2013
B25127_51_50_or_more,3001,7538,4016,893,6137,420,213,2009-2013
"B25127_52_mobile_home,_boat,_rv,_van,_etc.",50,154,53,68,26,431,235,2009-2013
B25127_53_built_1960_to_1979,19852,49941,22736,12256,34291,7787,3681,2009-2013
"B25127_54_1,_detached__or_attached",2801,5512,2094,3112,2614,1776,551,2009-2013
B25127_55_2_to_4,5170,11231,4368,2597,9161,1343,909,2009-2013
B25127_56_5_to_19,5243,13512,6728,3437,7867,1917,945,2009-2013
B25127_57_20_to_49,2779,7494,3422,1020,3986,1760,582,2009-2013
B25127_58_50_or_more,3660,11993,6074,1957,10538,481,353,2009-2013
"B25127_59_mobile_home,_boat,_rv,_van,_etc.",199,199,50,133,125,510,341,2009-2013
B25127_60_built_1940_to_1959,14122,31015,12876,6168,25427,3335,1801,2009-2013
"B25127_61_1,_detached__or_attached",3396,6350,3699,2792,1712,1276,501,2009-2013
B25127_62_2_to_4,5662,13527,4412,1833,10709,1235,721,2009-2013
B25127_63_5_to_19,3243,6356,2698,857,7628,466,494,2009-2013
B25127_64_20_to_49,789,2170,1047,352,3006,178,22,2009-2013
B25127_65_50_or_more,1013,2612,1020,334,2303,123,63,2009-2013
"B25127_66_mobile_home,_boat,_rv,_van,_etc.",19,0,0,0,69,57,0,2009-2013
B25127_67_built_1939_or_earlier,49908,87691,21839,13758,92418,5339,5275,2009-2013
"B25127_68_1,_detached__or_attached",6224,13622,3434,2518,5649,1503,933,2009-2013
B25127_69_2_to_4,28178,49674,11263,7919,48358,1996,2718,2009-2013
B25127_70_5_to_19,8725,13903,4223,2533,22440,1194,1154,2009-2013
B25127_71_20_to_49,3484,5095,1480,415,8654,314,206,2009-2013
B25127_72_50_or_more,3232,5397,1439,373,7276,332,264,2009-2013
"B25127_73_mobile_home,_boat,_rv,_van,_etc.",65,0,0,0,41,0,0,2009-2013
B03002_1_total,750808,1522533,677296,497386,735701,296718,123836,2009-2013
B03002_2_not_hispanic_or_latino,622498,1418452,653675,480944,585551,290060,121465,2009-2013
B03002_3_white_alone,565188,1161079,539542,418092,350757,278612,114465,2009-2013
B03002_4_black_or_african_american_alone,21276,66499,39035,40798,147741,2129,1004,2009-2013
B03002_5_american_indian_and_alaska_native_alone,646,1344,439,608,1196,419,108,2009-2013
B03002_6_asian_alone,24207,147125,61133,6125,60959,5273,3149,2009-2013
B03002_7_native_hawaiian_and_other_pacific_islander_alone,138,548,26,66,120,39,0,2009-2013
B03002_8_some_other_race_alone,2542,8820,2558,6299,8859,171,180,2009-2013
B03002_9_two_or_more_races,8501,33037,10942,8956,15919,3417,2559,2009-2013
B03002_10_two_races_including_some_other_race,619,3976,1211,1397,2295,69,102,2009-2013
"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",7882,29061,9731,7559,13624,3348,2457,2009-2013
B03002_12_hispanic_or_latino,128310,104081,23621,16442,150150,6658,2371,2009-2013
B03002_13_white_alone,43432,58965,14980,9191,60411,5082,1639,2009-2013
B03002_14_black_or_african_american_alone,7042,4568,1886,1791,15228,286,64,2009-2013
B03002_15_american_indian_and_alaska_native_alone,424,709,135,228,1394,71,83,2009-2013
B03002_16_asian_alone,275,668,273,141,345,49,52,2009-2013
B03002_17_native_hawaiian_and_other_pacific_islander_alone,47,52,6,10,166,0,0,2009-2013
B03002_18_some_other_race_alone,69355,29571,5527,4090,45662,947,457,2009-2013
B03002_19_two_or_more_races,7735,9548,814,991,26944,223,76,2009-2013
B03002_20_two_races_including_some_other_race,3184,3191,451,553,3980,96,47,2009-2013
"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",4551,6357,363,438,22964,127,29,2009-2013
B11005_1_total,286008,581120,257451,179617,288240,116262,46968,2009-2013
B11005_2_households_with_one_or_more_people_under_18_years,94518,182056,83124,62803,71612,37433,14458,2009-2013
B11005_3_family_households,93907,181340,82759,62319,71265,36999,14243,2009-2013
B11005_4_married-couple_family,61495,140199,65089,44878,33562,28651,9708,2009-2013
B11005_5_other_family,32412,41141,17670,17441,37703,8348,4535,2009-2013
"B11005_6_male_householder,_no_wife_present",6709,8417,3705,4070,6078,2302,1494,2009-2013
"B11005_7_female_householder,_no_husband_present",25703,32724,13965,13371,31625,6046,3041,2009-2013
B11005_8_nonfamily_households,611,716,365,484,347,434,215,2009-2013
B11005_9_male_householder,526,479,157,335,196,370,174,2009-2013
B11005_10_female_householder,85,237,208,149,151,64,41,2009-2013
B11005_11_households_with_no_people_under_18_years,191490,399064,174327,116814,216628,78829,32510,2009-2013
B11005_12_family_households,96043,189721,86616,65642,70334,44026,16269,2009-2013
B11005_13_married-couple_family,75737,154851,70705,53306,46636,38380,13931,2009-2013
B11005_14_other_family,20306,34870,15911,12336,23698,5646,2338,2009-2013
"B11005_15_male_householder,_no_wife_present",6345,10534,4469,3450,6837,1971,598,2009-2013
"B11005_16_female_householder,_no_husband_present",13961,24336,11442,8886,16861,3675,1740,2009-2013
B11005_17_nonfamily_households,95447,209343,87711,51172,146294,34803,16241,2009-2013
B11005_18_male_householder,40190,92988,34819,21230,66497,16087,6976,2009-2013
B11005_19_female_householder,55257,116355,52892,29942,79797,18716,9265,2009-2013
B11016_1_total,286008,581120,257451,179617,288240,116262,46968,2009-2013
B11016_2_family_households,189950,371061,169375,127961,141599,81025,30512,2009-2013
B11016_3_2-person_household,75710,149692,66767,50521,59261,35222,13856,2009-2013
B11016_4_3-person_household,45663,89393,39474,29234,36739,18920,7132,2009-2013
B11016_5_4-person_household,43204,84802,39284,28753,26552,17561,6618,2009-2013
B11016_6_5-person_household,17344,33478,17143,13145,11514,6846,2041,2009-2013
B11016_7_6-person_household,5427,8738,5038,4419,4582,1889,547,2009-2013
B11016_8_7-or-more_person_household,2602,4958,1669,1889,2951,587,318,2009-2013
B11016_9_nonfamily_households,96058,210059,88076,51656,146641,35237,16456,2009-2013
B11016_10_1-person_household,80080,161966,71762,42608,106769,27050,11666,2009-2013
B11016_11_2-person_household,13609,37717,13525,7784,29534,7087,3969,2009-2013
B11016_12_3-person_household,1619,7040,2061,876,6413,827,553,2009-2013
B11016_13_4-person_household,656,2527,558,321,3013,226,214,2009-2013
B11016_14_5-person_household,69,573,140,29,563,47,13,2009-2013
B11016_15_6-person_household,25,166,30,38,274,0,41,2009-2013
B11016_16_7-or-more_person_household,0,70,0,0,75,0,0,2009-2013
