index,48015,48039,48071,48157,48167,48201,48291,48339,48473,estimate_year
B25034_3_built_2000_to_2009,2522,34132,4688,78718,31726,348503,5332,67240,4509,2009-2013
B25034_4_built_1990_to_1999,1722,20642,2978,42715,17867,199888,6934,42700,3094,2009-2013
B25034_5_built_1980_to_1989,2189,17625,1497,36042,20331,267081,5178,28049,2822,2009-2013
B25034_6_built_1970_to_1979,2260,21136,1685,27155,23263,364195,4618,27271,2358,2009-2013
B25034_7_built_1960_to_1969,1089,10963,857,5148,15508,179858,2503,7697,1340,2009-2013
B25034_8_built_1950_to_1959,914,8761,946,3292,9899,135057,2224,2220,565,2009-2013
B25034_9_built_1940_to_1949,595,3371,264,1041,5268,56625,894,1168,559,2009-2013
B25034_10_built_1939_or_earlier,1442,2001,338,1701,8478,47902,950,1124,423,2009-2013
B25127_1_total,10615,107717,12147,191406,110032,1434694,24844,163462,13601,2009-2013
B25127_2_owner_occupied,8077,79652,10065,150628,75613,810622,19400,119126,9231,2009-2013
B25127_3_built_2000_or_later,1798,25746,3804,66755,20978,200414,4418,48192,2800,2009-2013
"B25127_4_1,_detached__or_attached",1439,23686,3388,65761,19952,192274,2363,44049,2117,2009-2013
B25127_5_2_to_4,0,0,0,29,76,605,0,105,0,2009-2013
B25127_6_5_to_19,0,0,0,48,71,553,0,82,0,2009-2013
B25127_7_20_to_49,0,0,0,9,16,289,0,21,0,2009-2013
B25127_8_50_or_more,0,18,0,30,13,1464,0,26,0,2009-2013
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",359,2042,416,878,850,5229,2055,3909,683,2009-2013
B25127_10_built_1980_to_1999,2684,25848,3386,58209,22610,233950,7933,46234,3596,2009-2013
"B25127_11_1,_detached__or_attached",1951,21617,2454,55137,20299,213434,4163,36300,2241,2009-2013
B25127_12_2_to_4,0,111,0,124,31,1182,0,322,0,2009-2013
B25127_13_5_to_19,0,23,0,57,112,3629,0,162,0,2009-2013
B25127_14_20_to_49,0,0,0,0,120,609,0,19,0,2009-2013
B25127_15_50_or_more,0,0,0,0,128,2481,0,17,0,2009-2013
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",733,4097,932,2891,1920,12615,3770,9414,1355,2009-2013
B25127_17_built_1960_to_1979,1943,19508,1754,21861,20760,240719,4638,21941,2037,2009-2013
"B25127_18_1,_detached__or_attached",1638,17600,1620,20969,19563,223910,3982,18679,1815,2009-2013
B25127_19_2_to_4,19,62,0,16,159,1740,13,185,17,2009-2013
B25127_20_5_to_19,18,9,0,51,55,5370,0,68,0,2009-2013
B25127_21_20_to_49,0,0,0,0,58,1330,0,71,0,2009-2013
B25127_22_50_or_more,0,0,0,11,90,3194,0,287,0,2009-2013
"B25127_23_mobile_home,_boat,_rv,_van,_etc.",268,1837,134,814,835,5175,643,2651,205,2009-2013
B25127_24_built_1940_to_1959,845,7437,849,2959,7853,110939,1814,2203,629,2009-2013
"B25127_25_1,_detached__or_attached",838,7337,849,2959,7716,109421,1757,2099,629,2009-2013
B25127_26_2_to_4,0,37,0,0,65,615,17,0,0,2009-2013
B25127_27_5_to_19,0,0,0,0,0,199,0,0,0,2009-2013
B25127_28_20_to_49,0,0,0,0,0,78,0,0,0,2009-2013
B25127_29_50_or_more,0,0,0,0,11,397,0,0,0,2009-2013
"B25127_30_mobile_home,_boat,_rv,_van,_etc.",7,63,0,0,61,229,40,104,0,2009-2013
B25127_31_built_1939_or_earlier,807,1113,272,844,3412,24600,597,556,169,2009-2013
"B25127_32_1,_detached__or_attached",791,1113,262,844,3288,23498,597,545,169,2009-2013
B25127_33_2_to_4,0,0,0,0,77,516,0,0,0,2009-2013
B25127_34_5_to_19,0,0,0,0,35,60,0,0,0,2009-2013
B25127_35_20_to_49,0,0,0,0,12,137,0,0,0,2009-2013
B25127_36_50_or_more,0,0,0,0,0,214,0,0,0,2009-2013
"B25127_37_mobile_home,_boat,_rv,_van,_etc.",16,0,10,0,0,175,0,11,0,2009-2013
B25127_38_renter_occupied,2538,28065,2082,40778,34419,624072,5444,44336,4370,2009-2013
B25127_39_built_2000_or_later,387,7884,653,14643,7846,133457,516,16210,1256,2009-2013
"B25127_40_1,_detached__or_attached",211,2009,311,6035,2190,27929,173,5000,337,2009-2013
B25127_41_2_to_4,16,633,0,476,591,8857,66,1235,297,2009-2013
B25127_42_5_to_19,15,2592,48,4493,2392,39979,61,3998,283,2009-2013
B25127_43_20_to_49,5,771,0,1353,993,17774,0,2493,22,2009-2013
B25127_44_50_or_more,0,1252,17,1924,1070,36101,10,2424,0,2009-2013
"B25127_45_mobile_home,_boat,_rv,_van,_etc.",140,627,277,362,610,2817,206,1060,317,2009-2013
B25127_46_built_1980_to_1999,702,8572,649,16275,9624,188061,2709,17917,1559,2009-2013
"B25127_47_1,_detached__or_attached",196,1959,186,8360,2128,36542,824,5312,344,2009-2013
B25127_48_2_to_4,116,792,52,614,1171,16523,443,1026,216,2009-2013
B25127_49_5_to_19,142,2713,79,3737,3061,70596,260,3629,125,2009-2013
B25127_50_20_to_49,33,760,28,1348,1017,22747,75,1541,13,2009-2013
B25127_51_50_or_more,4,893,0,1117,1536,33627,82,1686,26,2009-2013
"B25127_52_mobile_home,_boat,_rv,_van,_etc.",211,1455,304,1099,711,8026,1025,4723,835,2009-2013
B25127_53_built_1960_to_1979,856,8007,543,8199,9998,227822,1295,9046,1176,2009-2013
"B25127_54_1,_detached__or_attached",365,3259,233,5396,4066,53304,679,4279,415,2009-2013
B25127_55_2_to_4,234,555,26,305,1545,19192,58,551,346,2009-2013
B25127_56_5_to_19,97,2409,120,1604,2082,87345,106,1676,254,2009-2013
B25127_57_20_to_49,21,427,0,336,887,27111,41,416,32,2009-2013
B25127_58_50_or_more,11,658,29,190,1055,36527,49,678,29,2009-2013
"B25127_59_mobile_home,_boat,_rv,_van,_etc.",128,699,135,368,363,4343,362,1446,100,2009-2013
B25127_60_built_1940_to_1959,331,2865,194,1040,4276,58245,739,716,257,2009-2013
"B25127_61_1,_detached__or_attached",302,1983,179,1001,3126,36877,676,544,257,2009-2013
B25127_62_2_to_4,15,273,9,14,589,5697,32,49,0,2009-2013
B25127_63_5_to_19,14,258,0,0,325,8391,7,38,0,2009-2013
B25127_64_20_to_49,0,83,0,25,59,2435,14,57,0,2009-2013
B25127_65_50_or_more,0,34,3,0,165,4573,0,28,0,2009-2013
"B25127_66_mobile_home,_boat,_rv,_van,_etc.",0,234,3,0,12,272,10,0,0,2009-2013
B25127_67_built_1939_or_earlier,262,737,43,621,2675,16487,185,447,122,2009-2013
"B25127_68_1,_detached__or_attached",262,580,30,410,1368,7995,169,411,122,2009-2013
B25127_69_2_to_4,0,41,13,32,671,3414,0,0,0,2009-2013
B25127_70_5_to_19,0,54,0,159,421,2182,0,0,0,2009-2013
B25127_71_20_to_49,0,0,0,0,141,727,0,0,0,2009-2013
B25127_72_50_or_more,0,22,0,20,56,1892,16,0,0,2009-2013
"B25127_73_mobile_home,_boat,_rv,_van,_etc.",0,40,0,0,18,277,0,36,0,2009-2013
B03002_1_total,28573,319493,35570,608939,296669,4182285,76013,472162,43836,2009-2013
B03002_2_not_hispanic_or_latino,21626,229589,28560,463699,228904,2464345,61817,372158,31087,2009-2013
B03002_3_white_alone,18538,166966,24839,218313,174298,1361568,52098,333001,19280,2009-2013
B03002_4_black_or_african_american_alone,2697,39274,2750,128020,39571,774120,8288,19308,10535,2009-2013
B03002_5_american_indian_and_alaska_native_alone,25,1101,49,777,696,7690,147,619,86,2009-2013
B03002_6_asian_alone,0,18079,402,105924,9279,262251,402,10724,241,2009-2013
B03002_7_native_hawaiian_and_other_pacific_islander_alone,0,31,20,30,56,2350,17,294,0,2009-2013
B03002_8_some_other_race_alone,14,248,0,1116,604,8415,34,559,14,2009-2013
B03002_9_two_or_more_races,352,3890,500,9519,4400,47951,831,7653,931,2009-2013
B03002_10_two_races_including_some_other_race,9,339,16,1362,148,3767,13,135,60,2009-2013
"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",343,3551,484,8157,4252,44184,818,7518,871,2009-2013
B03002_12_hispanic_or_latino,6947,89904,7010,145240,67765,1717940,14196,100004,12749,2009-2013
B03002_13_white_alone,5777,71863,4610,106388,58303,1273050,8779,78303,10539,2009-2013
B03002_14_black_or_african_american_alone,10,976,87,1906,665,16465,61,939,201,2009-2013
B03002_15_american_indian_and_alaska_native_alone,0,161,86,619,293,12047,152,1097,120,2009-2013
