B15002_31_associate's_degree,21068,16259,11186,3889,8945,20050,18852,12155,16271,10048,7781,5162,12376,3249,2215,10930,5525,9396,1947,23720,7161,25719,35043,11425,61852,40720,26868,12082,3546,64862,13037,8519,50815,7072,23266,2008-2012
B15002_32_bachelor's_degree,94699,54966,50248,13093,26645,67613,55622,52764,34802,29342,31628,11128,37036,7557,2276,20473,8360,17205,3014,81240,13855,52638,59453,18259,163521,104378,190305,20546,7284,157691,27649,23640,90090,10082,78847,2008-2012
B15002_33_master's_degree,40963,25048,21143,6079,15641,32518,25360,24180,13655,10985,18821,4430,17097,2885,1208,9635,3895,8267,1518,46236,7947,34957,26294,12693,83137,73122,113427,13682,5651,69811,18100,15553,67917,8744,56298,2008-2012
B15002_34_professional_school_degree,8581,5518,4425,1298,2735,4866,4463,4266,1707,1800,3475,664,3418,363,148,1413,656,1116,125,9013,1201,7847,4550,1462,16900,16037,38649,1578,784,13976,2446,2019,8760,857,12913,2008-2012
B15002_35_doctorate_degree,3321,2887,2124,914,2464,3822,1987,2578,667,876,1977,250,1842,263,133,1009,342,803,124,3687,372,4470,2360,831,7031,4876,19017,649,267,5227,849,1348,4087,666,6263,2008-2012
B19001_1_total,334527,277453,243156,47422,130292,280141,233661,179712,222970,162065,115132,55179,184743,41638,26256,133302,59299,112242,21980,332968,76149,329956,473281,107734,911995,442869,738131,125180,35088,776311,163675,98401,496349,70274,344875,2008-2012
"B19001_2_less_than_$10,000",14427,25335,19172,1040,7650,10780,8880,4658,9678,13110,2812,1435,10403,1445,1434,8503,3036,5397,1110,17077,2857,21815,76326,5180,108525,13651,72833,5595,924,54960,10360,3778,15564,3622,16304,2008-2012
"B19001_3_$10,000_to_$14,999",10711,15907,13246,936,4619,8230,7175,3598,9917,8168,2303,1403,6542,1409,1522,6461,2320,5194,808,10797,2555,15881,42378,4094,63301,10567,39952,5541,770,35641,6523,3224,12207,3255,11928,2008-2012
"B19001_4_$15,000_to_$19,999",10700,14089,12368,1274,4884,9326,8674,4657,11532,7899,2724,1541,7454,1764,1470,7028,3303,4671,927,11490,3320,15879,36355,3840,54536,12616,32641,4808,984,37709,5639,4274,14103,3765,13103,2008-2012
"B19001_5_$20,000_to_$24,999",11622,13507,11761,944,4761,10009,7612,4336,10893,8066,2597,1745,7202,1567,1658,6695,2932,5532,1090,11824,2474,15158,31421,4211,50699,12081,29545,4857,922,40155,6571,3156,15433,3621,12413,2008-2012
"B19001_6_$25,000_to_$29,999",10954,13081,11324,1352,4658,9723,8713,4831,11483,8202,3297,1646,7669,1407,1264,7108,3123,5574,1085,12201,2609,14516,27569,4245,47399,12501,26789,4930,1104,37945,6197,2836,13982,3172,12599,2008-2012
"B19001_7_$30,000_to_$34,999",11420,13501,10574,1288,5083,9320,8150,4925,10103,7286,3476,1685,7800,1489,1516,6727,2691,5371,979,10783,2993,14111,25699,4269,46395,12126,26466,4962,1212,37320,5651,3349,15370,3440,11844,2008-2012
"B19001_8_$35,000_to_$39,999",9954,11588,9418,1173,4866,9531,7551,4523,9663,6645,3241,1505,7774,1274,1719,6391,2922,5118,1052,10186,3031,13007,23062,3697,40569,12129,22149,4523,962,33362,5875,2804,13963,2731,11867,2008-2012
"B19001_9_$40,000_to_$44,999",11403,11106,9382,1003,4163,9420,7164,5025,10263,6949,3217,1874,6978,1653,1253,6242,2527,5150,1109,10816,3388,13744,22075,4220,43139,12795,23650,4628,1031,36722,6030,3389,16232,3219,11863,2008-2012
"B19001_10_$45,000_to_$49,999",8857,10134,8769,1173,4021,8689,6661,5326,8891,5748,3211,1651,6275,1603,1304,5532,2526,4653,961,10057,2691,11522,19155,3676,34370,11726,18989,4232,1058,30907,4727,2469,15461,3000,9506,2008-2012
"B19001_11_$50,000_to_$59,999",21888,19098,17627,2812,9297,19575,14572,10370,17375,11564,6422,3655,12953,3316,2423,11621,5260,9900,2132,20784,6080,24540,34713,7843,66680,25003,42965,9172,2005,62588,10430,5801,30409,5918,21671,2008-2012
"B19001_12_$60,000_to_$74,999",28998,24018,22989,3537,12112,28015,19496,15280,22862,14483,9785,5696,17756,4416,3105,13994,6689,12547,2714,27540,7934,31822,37913,11135,82204,35976,56700,12344,2642,79827,15406,8184,47027,7484,29149,2008-2012
"B19001_13_$75,000_to_$99,999",42400,29813,28102,5858,16386,39610,29223,24142,31040,18733,15254,9234,23533,6696,3497,17648,9036,15803,3594,38894,11243,42746,42034,15847,92693,56223,71268,17295,4865,101352,24012,12874,71945,9797,38765,2008-2012
"B19001_14_$100,000_to_$124,999",36345,21535,21170,5665,13041,33341,26330,20497,21661,14710,12744,7142,17894,4846,1892,11203,5506,10445,2012,31859,8779,31611,23567,11702,63027,51830,57614,14010,4680,69633,17561,10955,61947,6245,31553,2008-2012
"B19001_15_$125,000_to_$149,999",26764,14304,14097,4413,9142,24048,19068,16293,13799,9518,10001,5689,12364,3086,1205,6820,3298,6638,913,24162,5456,20950,12681,8245,39763,41095,38532,10279,3359,43138,13024,8072,45826,4162,22664,2008-2012
"B19001_16_$150,000_to_$199,999",34517,16587,16067,6217,11681,26913,24195,21472,13959,11796,14558,4952,14398,3361,660,6072,2726,5736,956,28660,5651,22728,11520,8501,41211,54818,52921,10442,4118,43689,14733,11302,54709,3727,31316,2008-2012
"B19001_17_$200,000_or_more",43567,23850,17090,8737,13928,23611,30197,29779,9851,9188,19490,4326,17748,2306,334,5257,1404,4513,538,55838,5088,19926,6813,7029,37484,67732,125117,7562,4452,31363,10936,11934,52171,3116,58330,2008-2012
B19013_1_median_household_income_in_the_past_12_months_(in_2012_inflation-adjusted_dollars),84255,55027,58722,105880,73759,79442,84746,97979,61038,57540,98571,85507,69347,73056,49951,54645,57773,59551,58474,82614,71345,62234,34300,71508,45215,97049,68370,70712,95259,56780,73496,86020,87778,58934,81093,2008-2012
B25001_1_total,352985,312940,269862,49587,143311,295165,258480,189821,278113,175830,123357,62060,199758,45033,34253,142377,80326,120254,38455,360692,87302,361393,512420,118256,998773,467418,846819,137168,38135,836722,176730,103816,568570,83558,370133,2008-2012
B25003_1_total,334527,277453,243156,47422,130292,280141,233661,179712,222970,162065,115132,55179,184743,41638,26256,133302,59299,112242,21980,332968,76149,329956,473281,107734,911995,442869,738131,125180,35088,776311,163675,98401,496349,70274,344875,2008-2012
B25003_2_owner_occupied,221504,128117,80736,40156,86612,186569,176642,136374,182194,89213,90457,46802,113247,31423,20889,90269,47513,82989,18256,232128,59687,211821,94130,75060,271482,360215,166483,87281,29222,345415,113099,68924,397764,48770,214097,2008-2012
B25003_3_renter_occupied,113023,149336,162420,7266,43680,93572,57019,43338,40776,72852,24675,8377,71496,10215,5367,43033,11786,29253,3724,100840,16462,118135,379151,32674,640513,82654,571648,37899,5866,430896,50576,29477,98585,21504,130778,2008-2012
B25024_1_total,352985,312940,269862,49587,143311,295165,258480,189821,278113,175830,123357,62060,199758,45033,34253,142377,80326,120254,38455,360692,87302,361393,512420,118256,998773,467418,846819,137168,38135,836722,176730,103816,568570,83558,370133,2008-2012
"B25024_2_1,_detached",191054,106730,27307,37232,69335,156587,171440,126347,210075,73676,73011,49831,103553,30455,24002,70153,66236,70690,34156,209176,64958,193118,30572,74307,56726,354902,5907,85685,30215,163274,58899,61460,456331,57729,168877,2008-2012
"B25024_3_1,_attached",17381,17142,16419,4645,30091,35150,20141,14511,25573,8746,18848,3191,9370,4581,5789,34737,4270,24688,1359,23040,3130,19944,23188,5416,84200,12747,5853,8965,1868,71932,45400,7770,25967,2330,19762,2008-2012
B25024_4_2,49774,47097,62431,1848,7774,20852,8878,7055,9657,38819,6719,1750,32222,2171,709,6386,1599,5375,605,31785,6197,34935,46696,8306,175641,35102,8686,9855,1506,179485,41546,6813,21056,5835,32108,2008-2012
B25024_5_3_or_4,19067,51561,39871,1566,5957,18027,9714,5964,6821,17367,5103,1488,16191,1644,782,8129,2226,4853,390,30018,4546,40732,47346,8057,178763,10461,18591,9294,1332,92820,7381,8068,13166,4568,30697,2008-2012
B25024_6_5_to_9,10956,19698,29664,1665,5993,16675,10586,6437,6159,11037,5400,2553,7754,2227,607,5883,1338,4291,228,17371,3142,20293,19668,7967,112526,7448,47215,8842,1579,49281,2875,7662,14494,4253,19155,2008-2012
B25024_7_10_to_19,14847,16017,22383,1630,10770,23732,12624,12030,5958,8726,7064,1393,6500,1959,188,6615,703,2309,42,12962,2087,15176,27810,4197,57243,8604,96881,5309,497,28737,2506,3585,14940,1722,14906,2008-2012
B25024_8_20_to_49,15982,19696,27465,395,4301,10417,7442,8519,3447,6626,2902,327,10178,667,311,2481,473,1688,56,12874,1381,15209,113329,2092,129495,11941,198516,2236,564,79894,3977,2917,8050,779,27338,2008-2012
B25024_9_50_or_more,32494,34532,43811,500,8721,11434,14399,8321,4437,10047,4112,924,13265,757,420,4868,471,3174,130,22162,1248,19759,202638,3428,202695,25355,463409,3514,280,169591,13571,4376,9019,1249,56887,2008-2012
B25024_10_mobile_home,1250,370,422,103,369,2236,3240,605,5963,678,176,585,636,572,1445,3117,3002,3176,1471,1237,545,2175,662,4469,1170,745,542,3454,294,1148,494,1165,5526,5014,348,2008-2012
"B25024_11_boat,_rv,_van,_etc.",180,97,89,3,0,55,16,32,23,108,22,18,89,0,0,8,8,10,18,67,68,52,511,17,314,113,1219,14,0,560,81,0,21,79,55,2008-2012
B25077_1_median_value_(dollars),461400,376900,360400,419000,293100,340000,399000,446800,275400,361000,407300,295600,373700,281600,147100,203000,198400,218100,206700,447500,272000,263900,380900,299400,562600,467500,827300,288800,385600,462800,449400,449600,395200,237500,533300,2008-2012
B25034_1_total,352985,312940,269862,49587,143311,295165,258480,189821,278113,175830,123357,62060,199758,45033,34253,142377,80326,120254,38455,360692,87302,361393,512420,118256,998773,467418,846819,137168,38135,836722,176730,103816,568570,83558,370133,2008-2012
B25034_2_built_2010_or_later,446,500,670,70,169,689,339,455,701,145,260,57,219,43,43,222,88,392,27,875,49,492,1012,180,2130,526,1916,416,47,759,313,247,640,168,296,2008-2012
B25034_3_built_2000_to_2009,21103,23476,31634,4719,13279,26139,26366,15817,37128,8577,11764,6128,10837,4760,3377,15398,12430,14869,6232,23184,6450,19507,28179,11308,51304,15242,53344,15674,2752,39055,15829,7170,43369,7055,17495,2008-2012
B25034_4_built_1990_to_1999,18218,14530,14429,7144,12991,30827,30575,21594,34953,8059,22548,5217,7792,5406,3385,13291,14510,13302,6458,24083,7702,26139,19644,10774,27118,12993,30416,15097,3631,22085,19945,10343,49704,6694,17375,2008-2012
B25034_5_built_1980_to_1989,25588,17218,16947,10209,16714,45194,38835,23310,50253,10175,23352,9492,9246,4833,6349,15531,17358,12870,9585,41533,12957,45823,18164,16390,27472,19788,51420,19226,5341,28467,25530,11117,57603,10234,28219,2008-2012
B25034_6_built_1970_to_1979,32254,27385,22051,7399,16824,35250,37020,28537,57928,14984,14106,11509,20066,6308,4104,18768,13811,13015,6817,49821,11800,48728,40164,18340,52460,26424,67678,17551,5696,49839,29263,19187,101652,10564,32435,2008-2012
B25034_7_built_1960_to_1969,56195,40731,27298,4908,19761,48059,36910,30664,41979,26696,16278,9219,29061,5297,2321,16719,6186,10106,3027,52457,9291,44727,70614,16511,101534,59451,106301,14279,5846,112625,24950,22793,118096,9082,51322,2008-2012
B25034_8_built_1950_to_1959,81950,53468,29505,4213,22113,57025,35121,30081,30504,38378,14800,7767,51071,4496,1845,17974,4615,14170,1686,61682,10788,54270,83415,15490,115843,167076,83313,13511,5286,178903,16246,15495,108877,10691,72265,2008-2012
B25034_9_built_1940_to_1949,44730,44464,26001,1874,11366,19796,14470,12700,10443,31158,6795,3717,28086,2069,1548,8274,2532,7012,1330,28579,5344,25552,53399,6443,98865,66847,63803,6795,3201,141859,8016,4424,31625,5735,33740,2008-2012
B25034_10_built_1939_or_earlier,72501,91168,101327,9051,30094,32186,38844,26663,14224,37658,13454,8954,43380,11821,11281,36200,8796,34518,3293,78478,22921,96155,197829,22820,522047,99071,388628,34619,6335,263130,36638,13040,57004,23335,116986,2008-2012
B25127_1_total,334527,277453,243156,47422,130292,280141,233661,179712,222970,162065,115132,55179,184743,41638,26256,133302,59299,112242,21980,332968,76149,329956,473281,107734,911995,442869,738131,125180,35088,776311,163675,98401,496349,70274,344875,2008-2012
B25127_2_owner_occupied,221504,128117,80736,40156,86612,186569,176642,136374,182194,89213,90457,46802,113247,31423,20889,90269,47513,82989,18256,232128,59687,211821,94130,75060,271482,360215,166483,87281,29222,345415,113099,68924,397764,48770,214097,2008-2012
B25127_3_built_2000_or_later,10893,6743,9195,4006,8509,16051,18582,11370,25492,4733,8880,4716,4422,4050,2439,11757,8435,11813,3231,14298,5287,12809,3441,7368,15625,9766,10005,10995,2028,11034,10905,3469,25602,4839,8564,2008-2012
"B25127_4_1,_detached__or_attached",8524,4398,1917,3906,7749,14057,16430,8865,24290,3173,7865,4377,3183,3420,2194,11051,8260,11130,3191,12573,5180,11485,1157,6674,2418,7376,347,9812,1926,3878,8498,2641,23188,4356,6913,2008-2012
B25127_5_2_to_4,671,1675,1647,65,41,179,251,96,121,182,148,50,1016,8,0,12,17,82,0,493,22,274,1845,131,5276,575,386,216,40,4812,2347,202,829,74,453,2008-2012
B25127_6_5_to_19,250,338,1052,32,270,590,883,398,189,448,348,163,73,452,0,66,23,75,0,673,20,414,180,133,3622,1039,773,630,27,483,38,224,974,65,124,2008-2012
B25127_7_20_to_49,366,139,959,3,270,483,151,964,63,296,423,0,85,41,0,26,0,5,0,215,0,89,136,88,2058,363,1560,0,16,807,7,95,130,0,229,2008-2012
B25127_8_50_or_more,1006,183,3605,0,101,496,544,955,0,618,61,53,65,13,0,0,0,106,18,288,0,71,123,0,2191,342,6876,11,0,999,3,238,230,15,837,2008-2012
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",76,10,15,0,78,246,323,92,829,16,35,73,0,116,245,602,135,415,22,56,65,476,0,342,60,71,63,326,19,55,12,69,251,329,8,2008-2012
B25127_10_built_1980_to_1999,26752,11002,8100,15197,21443,50740,53741,33536,62645,10859,35156,11983,8096,8515,5046,20173,20234,19922,8022,43354,16079,46693,6851,19483,15707,22892,15011,25078,7018,16564,32755,13932,67088,10560,30222,2008-2012
"B25127_11_1,_detached__or_attached",18389,7642,2461,13787,18621,42974,47701,29069,59315,8248,30313,10933,6368,8070,4589,18727,19210,18471,7712,33966,14401,37849,3009,16479,7165,18067,584,21692,6250,6168,26164,11995,62787,8440,23902,2008-2012
B25127_12_2_to_4,2043,1662,2067,170,313,1653,1186,670,662,704,1027,207,854,14,13,49,121,195,92,2136,394,2102,2915,729,5554,1562,322,793,234,6034,5069,750,1471,197,1664,2008-2012
B25127_13_5_to_19,2637,960,1331,1133,1906,4478,2700,2690,949,877,3332,657,433,191,14,166,85,138,4,4368,1126,4354,156,613,1369,1025,805,1242,453,1093,589,628,1282,64,1646,2008-2012
B25127_14_20_to_49,1132,277,811,17,357,465,454,681,41,302,288,52,205,0,0,19,22,30,0,1387,30,1038,225,28,579,578,1734,67,0,683,316,153,250,0,918,2008-2012
B25127_15_50_or_more,2323,458,1381,59,118,453,837,347,227,644,150,17,236,26,0,57,6,31,0,1273,83,788,489,33,830,1479,11445,72,52,2387,387,59,279,20,2004,2008-2012
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",228,3,49,31,128,717,863,79,1451,84,46,117,0,214,430,1155,790,1057,214,224,45,562,57,1601,210,181,121,1212,29,199,230,347,1019,1839,88,2008-2012
B25127_17_built_1960_to_1979,50311,21136,14023,10112,20226,49236,48395,40171,65117,21940,22308,16279,22932,7132,4037,20098,10607,16952,4142,69179,14275,55783,25164,22239,36725,59624,42947,21675,9359,57664,34703,29584,163602,11314,47356,2008-2012
"B25127_18_1,_detached__or_attached",38100,15914,4952,9752,19028,45447,43821,38220,60495,18022,21166,15933,19613,6852,3793,18877,9904,15953,4044,58966,13228,48537,5740,19450,10827,51283,728,19666,8723,22100,26135,25418,154152,10079,32590,2008-2012
B25127_19_2_to_4,4269,3046,5294,108,236,1506,826,487,2188,2725,358,131,2669,74,5,103,45,81,0,3050,253,2892,5314,705,13132,2510,215,467,213,15890,7417,1877,3272,188,3428,2008-2012
B25127_20_5_to_19,701,980,691,213,698,1103,1949,944,367,549,591,77,174,20,0,212,0,11,0,3523,526,2560,241,806,872,1327,886,679,299,916,317,1363,2777,95,2609,2008-2012
B25127_21_20_to_49,925,306,447,8,92,221,340,185,83,222,50,8,282,11,0,42,26,0,0,1314,96,618,1462,28,994,803,2978,112,15,2442,50,266,785,10,1698,2008-2012
B25127_22_50_or_more,5986,878,2602,11,99,169,650,146,120,279,86,0,159,0,0,18,0,8,0,1894,42,711,12372,149,10854,3610,38078,113,0,16123,767,381,736,13,7003,2008-2012
"B25127_23_mobile_home,_boat,_rv,_van,_etc.",330,12,37,20,73,790,809,189,1864,143,57,130,35,175,239,846,632,899,98,432,130,465,35,1101,46,91,62,638,109,193,17,279,1880,929,28,2008-2012
B25127_24_built_1940_to_1959,85063,42437,16903,4626,20830,52241,34523,33422,21817,34766,15667,8294,50700,4573,2211,17747,4045,14424,1249,63242,11635,55072,30343,14801,61046,195049,24735,13846,6837,143758,13685,13832,106368,9953,65041,2008-2012
"B25127_25_1,_detached__or_attached",75691,34647,8041,4573,20307,50084,33431,32918,20992,28529,15194,8177,45867,4493,2198,17529,3948,14182,1228,58281,11057,52455,14125,14181,26309,185137,680,13376,6626,80785,11181,13307,103759,9678,48393,2008-2012
B25127_26_2_to_4,6343,6490,6631,40,357,1762,540,329,687,5397,398,110,4148,62,13,92,83,173,21,2563,459,1791,6461,482,20497,4733,170,314,172,30872,2018,182,1920,167,5212,2008-2012
B25127_27_5_to_19,588,549,833,0,115,162,192,80,51,311,26,0,332,14,0,66,0,0,0,1241,50,405,537,60,1242,1430,1014,73,0,3123,45,86,253,9,2552,2008-2012
B25127_28_20_to_49,983,209,587,0,30,81,49,22,0,140,13,0,70,0,0,0,0,10,0,508,0,191,1601,7,2540,1372,3410,27,23,6806,72,80,166,0,2513,2008-2012
B25127_29_50_or_more,1346,429,805,13,11,58,169,32,39,219,20,0,219,0,0,31,0,0,0,551,0,166,7607,21,10343,2190,19446,21,16,22051,369,170,101,21,6361,2008-2012
"B25127_30_mobile_home,_boat,_rv,_van,_etc.",112,113,6,0,10,94,142,41,48,170,16,7,64,4,0,29,14,59,0,98,69,64,12,50,115,187,15,35,0,121,0,7,169,78,10,2008-2012
B25127_31_built_1939_or_earlier,48485,46799,32515,6215,15604,18301,21401,17875,7123,16915,8446,5530,27097,7153,7156,20494,4192,19878,1612,42055,12411,41464,28331,11169,142379,72884,73785,15687,3980,116395,21051,8107,35104,12104,62914,2008-2012
"B25127_32_1,_detached__or_attached",41922,38377,13934,5805,14830,16597,20322,16971,6871,12509,7670,5282,23450,6812,7006,19854,3973,19259,1541,34562,10746,32577,14170,9979,61262,66986,4473,14179,3792,75797,16904,7320,33279,11001,48497,2008-2012
B25127_33_2_to_4,6002,7606,13797,384,697,1613,867,722,195,4172,761,214,3315,332,150,584,196,513,58,5958,1540,8204,9578,1069,62905,4242,4217,1349,174,29351,3761,673,1567,941,7496,2008-2012
B25127_34_5_to_19,100,436,2672,26,71,9,74,87,23,93,15,34,76,0,0,47,23,60,2,712,81,347,671,41,7430,296,12438,53,14,2429,78,36,129,70,1253,2008-2012
B25127_35_20_to_49,195,146,1311,0,0,24,72,52,0,87,0,0,89,0,0,0,0,20,11,370,14,261,1513,5,3904,551,19582,11,0,2249,96,38,43,46,2253,2008-2012
B25127_36_50_or_more,244,149,801,0,0,49,57,35,34,46,0,0,15,0,0,0,0,7,0,439,12,75,2362,63,6768,682,33015,55,0,6499,168,25,83,46,3379,2008-2012
"B25127_37_mobile_home,_boat,_rv,_van,_etc.",22,85,0,0,6,9,9,8,0,8,0,0,152,9,0,9,0,19,0,14,18,0,37,12,110,127,60,40,0,70,44,15,3,0,36,2008-2012
B25127_38_renter_occupied,113023,149336,162420,7266,43680,93572,57019,43338,40776,72852,24675,8377,71496,10215,5367,43033,11786,29253,3724,100840,16462,118135,379151,32674,640513,82654,571648,37899,5866,430896,50576,29477,98585,21504,130778,2008-2012
B25127_39_built_2000_or_later,8427,13024,18229,493,3795,9125,5372,3956,6487,3048,2384,702,5231,520,231,3164,1575,2463,644,6976,517,5438,22426,3069,30144,3998,35579,3939,581,23442,3910,3406,10413,1641,7472,2008-2012
"B25127_40_1,_detached__or_attached",1520,2697,1165,119,415,1399,1203,530,2977,452,381,244,568,169,124,816,978,808,470,1362,137,1121,850,385,899,756,160,1129,89,1110,1661,561,2531,344,666,2008-2012
B25127_41_2_to_4,1167,5524,4274,18,326,2165,568,419,722,1115,471,198,2063,68,13,429,268,241,40,1674,63,1103,6326,715,10864,950,878,609,164,11426,1753,1101,2092,334,1188,2008-2012
B25127_42_5_to_19,1156,1636,2043,163,1214,2630,1068,999,1698,425,690,110,805,161,13,1319,280,740,32,1121,101,991,2697,999,7464,502,2933,1297,42,3561,159,880,3056,399,784,2008-2012
B25127_43_20_to_49,823,1006,2011,55,616,1259,678,441,215,198,206,17,708,112,57,196,49,130,0,683,91,905,3466,174,4068,303,4106,235,227,2104,62,376,803,102,782,2008-2012
B25127_44_50_or_more,3674,2161,8680,138,1213,1651,1832,1509,875,858,636,133,1061,10,12,332,0,510,93,2116,125,1288,9007,695,6725,1487,27472,645,59,5121,275,488,1733,324,4031,2008-2012
"B25127_45_mobile_home,_boat,_rv,_van,_etc.",87,0,56,0,11,21,23,58,0,0,0,0,26,0,12,72,0,34,9,20,0,30,80,101,124,0,30,24,0,120,0,0,198,138,21,2008-2012
B25127_46_built_1980_to_1999,14918,17733,21009,1680,7085,22325,11384,9064,10729,6514,8211,1741,8065,1307,987,7453,2899,5078,1059,18281,2914,20264,28456,5710,35256,7700,54112,7774,1240,30487,10219,6566,21672,3919,12481,2008-2012
"B25127_47_1,_detached__or_attached",2575,2590,1416,501,1577,3891,2442,1329,4753,766,1949,663,803,461,509,1850,1570,1486,713,2932,879,3166,1086,1046,2058,1423,262,1363,423,2171,3166,1050,6722,1059,2271,2008-2012
B25127_48_2_to_4,3756,6245,6560,293,833,4182,1576,1584,1609,2405,1385,253,3122,194,103,1666,478,890,165,5178,854,5191,5967,1721,11599,2333,1144,1841,472,13751,4567,2099,4992,1178,3099,2008-2012
B25127_49_5_to_19,2621,2928,4239,589,2583,9370,3296,2780,2239,1497,2858,749,1132,393,70,1987,399,856,61,3839,593,5474,3630,1935,8985,1371,6463,2907,192,4214,594,1959,6218,879,2434,2008-2012
B25127_50_20_to_49,1510,1881,2121,116,791,1634,1155,1205,692,466,665,17,1070,61,26,514,92,418,24,2117,291,2656,7143,275,4675,745,6524,508,33,2997,388,531,1854,181,1127,2008-2012
B25127_51_50_or_more,4306,4057,6564,126,1279,3193,2806,2158,1354,1339,1337,46,1885,175,177,1298,175,1270,4,4179,241,3654,10420,432,7739,1811,39667,667,39,7145,1387,802,1791,116,3539,2008-2012
"B25127_52_mobile_home,_boat,_rv,_van,_etc.",150,32,109,55,22,55,109,8,82,41,17,13,53,23,102,138,185,158,92,36,56,123,210,301,200,17,52,488,81,209,117,125,95,506,11,2008-2012
B25127_53_built_1960_to_1979,33703,39291,31197,1903,13552,29226,19440,16283,14961,16814,6004,2722,22796,3506,955,13326,3153,5302,1087,26444,4478,31341,78482,10085,107939,22068,112939,8130,1624,93748,15833,10414,35320,5344,31108,2008-2012
"B25127_54_1,_detached__or_attached",4188,2552,2179,601,2135,3482,3189,2201,7476,1685,1173,747,1628,497,436,2643,1815,1682,683,5347,1316,4394,2428,1620,3790,4763,256,1846,636,5267,2440,1955,16093,1439,3785,2008-2012
B25127_55_2_to_4,13034,12078,11323,625,2338,8513,4050,2713,2346,7420,1761,597,9224,611,97,3138,464,985,192,9054,1044,8959,10480,2734,25133,6567,2123,2027,415,31670,6401,3214,7398,1269,8080,2008-2012
B25127_56_5_to_19,6577,8338,7110,498,5007,11310,6381,6635,2922,3889,1612,912,4505,1707,142,4621,398,1497,30,4717,1079,8042,7159,3487,14720,3246,12097,2761,410,10671,1357,3224,7278,1697,4838,2008-2012
B25127_57_20_to_49,3328,4845,3271,112,1266,2787,1792,2940,1140,1321,458,26,2924,206,23,734,207,363,21,2441,449,3427,15703,769,15545,2203,17253,380,115,10242,1117,741,1945,201,4230,2008-2012
B25127_58_50_or_more,6492,11409,7224,67,2788,3038,3713,1744,741,2423,978,404,4420,476,175,2064,49,572,7,4789,502,6340,42504,953,48580,5225,80952,896,27,35615,4438,1208,2221,284,10148,2008-2012
"B25127_59_mobile_home,_boat,_rv,_van,_etc.",84,69,90,0,18,96,315,50,336,76,22,36,95,9,82,126,220,203,154,96,88,179,208,522,171,64,258,220,21,283,80,72,385,454,27,2008-2012
B25127_60_built_1940_to_1959,35783,44375,33809,1142,9229,20715,10579,7052,5978,29448,4416,1337,22721,1495,675,6873,1642,5449,369,21618,2764,19928,96924,5438,138596,29008,107873,4392,996,155506,8850,5051,19489,3859,34587,2008-2012
"B25127_61_1,_detached__or_attached",6358,4774,2229,552,3616,4552,4439,2523,3355,3823,1501,876,3912,717,371,2765,1049,2587,256,6259,1305,5579,3631,1605,6004,10534,954,2181,595,12755,1442,1758,13545,1577,5769,2008-2012
B25127_62_2_to_4,16537,19985,13249,339,2292,7322,2476,2209,1239,16203,1709,257,9709,451,234,1904,414,1585,91,9169,1067,8299,12923,2142,35376,9908,2840,1152,266,52803,3319,1731,3440,1372,9508,2008-2012
B25127_63_5_to_19,6388,8208,10282,177,1580,5619,2183,1094,891,5778,752,161,3446,239,13,1449,96,806,14,3041,309,2903,9847,1038,21624,2585,15679,782,90,21352,692,899,1276,659,5390,2008-2012
B25127_64_20_to_49,3298,4680,4934,60,355,1930,651,701,209,1808,227,17,2706,67,22,333,23,182,0,1173,27,1331,25404,156,31412,2339,26027,112,35,26950,1071,231,467,47,5654,2008-2012
B25127_65_50_or_more,3009,6701,3067,14,1380,1285,743,494,269,1801,222,26,2905,21,35,413,48,283,8,1954,50,1776,45010,470,44118,3562,62182,136,10,41551,2321,378,634,152,8255,2008-2012
"B25127_66_mobile_home,_boat,_rv,_van,_etc.",193,27,48,0,6,7,87,31,15,35,5,0,43,0,0,9,12,6,0,22,6,40,109,27,62,80,191,29,0,95,5,54,127,52,11,2008-2012
B25127_67_built_1939_or_earlier,20192,34913,58176,2048,10019,12181,10244,6983,2621,17028,3660,1875,12683,3387,2519,12217,2517,10961,565,27521,5789,41164,152863,8372,328578,19880,261145,13664,1425,127713,11764,4040,11691,6741,45130,2008-2012
"B25127_68_1,_detached__or_attached",4089,4731,3168,869,4921,2770,4052,2550,1725,1797,1037,708,2708,1570,1161,5651,1411,4811,363,5792,1852,5538,4374,1794,13509,6530,1987,3003,574,11987,2127,1099,6107,2072,6216,2008-2012
B25127_69_2_to_4,9622,16232,25476,835,3343,6435,3381,2756,483,9141,1919,638,5866,1382,715,4261,672,3982,131,14947,3154,24511,20881,4052,121392,7542,11041,7454,477,49799,6465,1934,3211,3168,17665,2008-2012
B25127_70_5_to_19,3078,7029,16851,313,964,1824,1441,1111,320,3827,458,367,1727,333,483,1591,252,1563,71,3652,517,5764,19041,1907,85620,2086,72176,2067,272,24129,937,600,1602,1218,9029,2008-2012
B25127_71_20_to_49,1936,3401,8855,6,201,616,822,287,60,1145,90,34,1210,66,143,308,23,427,0,1223,206,2522,48093,312,55586,1498,95463,532,78,19566,428,124,294,95,5512,2008-2012
B25127_72_50_or_more,1419,3511,3774,25,590,519,539,279,21,1106,156,128,1134,36,17,406,159,178,0,1882,60,2797,60103,297,52173,2224,79569,608,24,22045,1802,283,471,188,6688,2008-2012
