estimate_year,index,TX_015,TX_039,TX_071,TX_157,TX_167,TX_201,TX_291,TX_339,TX_473
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2013-2017,"B19001_9_$40,000_to_$44,999",348,4077,408,7516,4339,73216,1572,7376,744
2013-2017,"B19001_10_$45,000_to_$49,999",455,4314,585,6466,3679,60928,1055,6203,752
2013-2017,"B19001_11_$50,000_to_$59,999",798,8008,796,15127,8090,122390,2169,13700,1043
2013-2017,"B19001_12_$60,000_to_$74,999",874,11835,997,19600,10503,152567,3036,18049,1459
2013-2017,"B19001_13_$75,000_to_$99,999",1544,16916,1509,27908,13391,177981,2764,23569,1780
2013-2017,"B19001_14_$100,000_to_$124,999",1462,12851,1487,26273,10408,131467,1973,19014,1236
2013-2017,"B19001_15_$125,000_to_$149,999",626,10032,1080,19593,8501,83137,1181,12309,708
2013-2017,"B19001_16_$150,000_to_$199,999",626,10496,1466,25030,10106,92872,836,14852,679
2013-2017,"B19001_17_$200,000_or_more",457,9135,1074,33667,10044,122052,765,22725,840
2013-2017,B19013_1_median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars),62614,76426,74368,93645,65702,57791,48344,74323,53506
2013-2017,B25001_1_total,13132,130392,14915,233699,142115,1714340,30274,203904,16521
2013-2017,B25003_1_total,11021,117088,13320,222331,117455,1562813,25974,186861,14698
2013-2017,B25003_2_owner_occupied,8175,84216,11023,173534,77873,855629,19440,133082,10084
2013-2017,B25003_3_renter_occupied,2846,32872,2297,48797,39582,707184,6534,53779,4614
2013-2017,B25024_1_total,13132,130392,14915,233699,142115,1714340,30274,203904,16521
2013-2017,"B25024_2_1,_detached",9556,92898,11159,196931,101409,986221,17969,139500,9693
2013-2017,"B25024_3_1,_attached",241,1232,160,5110,2320,70418,154,4554,331
2013-2017,B25024_4_2,207,840,25,674,3642,21162,644,822,410
2013-2017,B25024_5_3_or_4,564,2117,23,1156,3318,50695,558,2450,878
2013-2017,B25024_6_5_to_9,259,4927,367,4404,5279,98779,308,4898,535
2013-2017,B25024_7_10_to_19,15,7057,168,8767,7359,189290,586,9288,289
2013-2017,B25024_8_20_to_49,145,3922,119,3881,4562,91798,106,6986,76
2013-2017,B25024_9_50_or_more,50,2649,153,5353,6734,161277,257,7181,187
2013-2017,B25024_10_mobile_home,2095,14267,2701,7234,6960,43517,9404,27731,4021
2013-2017,"B25024_11_boat,_rv,_van,_etc.",0,483,40,189,532,1183,288,494,101
2013-2017,B25077_1_median_value_(dollars),175200,164300,171500,233300,171600,154100,93200,206400,157600
2013-2017,B25034_1_total,13132,130392,14915,233699,142115,1714340,30274,203904,16521
2013-2017,B25034_2_built_2014_or_later,270,3023,609,10838,2731,29571,448,7976,468
2013-2017,B25034_3_built_2010_to_2013,402,8229,1116,26175,7071,72857,1372,15782,1084
2013-2017,B25034_4_built_2000_to_2009,2705,33323,4848,78669,32392,346071,6151,67852,4086
2013-2017,B25034_5_built_1990_to_1999,2228,22373,2821,44476,20033,221755,6062,43668,3429
2013-2017,B25034_6_built_1980_to_1989,2125,18358,1587,36937,20515,278598,4764,28895,2367
2013-2017,B25034_7_built_1970_to_1979,1491,19464,1658,26489,22638,348184,4715,27151,2065
2013-2017,B25034_8_built_1960_to_1969,1042,11384,843,4592,14998,178575,3032,7409,1267
2013-2017,B25034_9_built_1950_to_1959,762,8786,716,2885,10256,134720,1892,3061,478
2013-2017,B25034_10_built_1940_to_1949,635,3714,276,1138,3987,55775,661,1109,655
2013-2017,B25034_11_built_1939_or_earlier,1472,1738,441,1500,7494,48234,1177,1001,622
2013-2017,B25127_1_total,11021,117088,13320,222331,117455,1562813,25974,186861,14698
2013-2017,B25127_2_owner_occupied,8175,84216,11023,173534,77873,855629,19440,133082,10084
2013-2017,B25127_3_built_2010_or_later,587,6720,1462,29034,6734,54294,1046,15393,1229
2013-2017,"B25127_4_1,_detached__or_attached",425,6102,1238,28887,6573,52737,650,14597,925
2013-2017,B25127_5_2_to_4,0,0,0,0,9,121,0,0,0
2013-2017,B25127_6_5_to_19,0,0,0,17,0,183,0,0,0
2013-2017,B25127_7_20_to_49,0,0,0,0,0,4,0,0,0
2013-2017,B25127_8_50_or_more,0,0,0,0,8,116,0,0,0
2013-2017,"B25127_9_mobile_home,_boat,_rv,_van,_etc.",162,618,224,130,144,1133,396,796,304
2013-2017,B25127_10_built_2000_to_2009,1773,24812,3934,62215,19158,195636,4645,46854,2729
2013-2017,"B25127_11_1,_detached__or_attached",1514,22445,3553,61308,18021,187657,2363,42090,1989
2013-2017,B25127_12_2_to_4,0,0,0,32,43,380,17,30,4
2013-2017,B25127_13_5_to_19,0,22,0,43,7,386,0,216,0
2013-2017,B25127_14_20_to_49,0,0,0,0,8,347,0,21,0
2013-2017,B25127_15_50_or_more,0,57,0,65,78,2052,0,51,0
2013-2017,"B25127_16_mobile_home,_boat,_rv,_van,_etc.",259,2288,381,767,1001,4814,2265,4446,736
2013-2017,B25127_17_built_1980_to_1999,2715,25658,2932,57828,22355,236243,6482,45464,3565
2013-2017,"B25127_18_1,_detached__or_attached",1857,21297,2263,55032,20028,215904,3127,36247,2179
2013-2017,B25127_19_2_to_4,0,67,0,122,83,1143,0,0,0
2013-2017,B25127_20_5_to_19,0,34,0,34,335,3480,7,129,0
2013-2017,B25127_21_20_to_49,0,0,0,12,23,778,0,52,0
2013-2017,B25127_22_50_or_more,0,24,0,0,157,2656,0,10,0
2013-2017,"B25127_23_mobile_home,_boat,_rv,_van,_etc.",858,4236,669,2628,1729,12282,3348,9026,1386
2013-2017,B25127_24_built_1960_to_1979,1537,18915,1629,21129,19674,236958,5204,22278,1561
2013-2017,"B25127_25_1,_detached__or_attached",1487,17296,1399,20556,18569,221047,4701,19871,1273
2013-2017,B25127_26_2_to_4,0,36,0,5,56,1599,12,155,40
2013-2017,B25127_27_5_to_19,15,15,0,11,53,5568,0,10,13
2013-2017,B25127_28_20_to_49,0,0,0,0,13,1204,0,214,0
2013-2017,B25127_29_50_or_more,0,0,0,0,138,2981,0,96,0
