index,34001,34005,34007,34009,34011,34015,34033,10001,10003,42011,42017,42029,42045,42091,42101,24009,24017,24021,24031,24033,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2012-2016
FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2012-2016
STATE,nj,nj,nj,nj,nj,nj,nj,de,de,pa,pa,pa,pa,pa,pa,md,md,md,md,md,2012-2016
B15002_7_9th_grade,1468,1523,2767,514,1933,731,275,715,2260,2708,1391,1512,1318,2025,8772,405,414,839,3678,6314,2012-2016
B15002_8_10th_grade,1731,1949,3399,673,2053,1478,573,1394,3768,3712,3158,2152,2794,2863,15822,417,637,1172,2179,4576,2012-2016
B15002_9_11th_grade,2596,2015,3232,536,2824,1629,576,1742,3585,3673,2835,2011,3140,3251,19069,461,961,1106,2575,4773,2012-2016
"B15002_10_12th_grade,_no_diploma",2284,2228,3288,585,1678,1586,465,1108,2871,2514,2778,1594,2797,3678,13373,482,740,1116,4521,6217,2012-2016
B15002_11_high_school_graduate_(includes_equivalency),28909,44830,51208,11315,22605,32627,8966,18150,52542,52701,63912,36667,55381,66550,164896,9560,16382,20569,43826,75925,2012-2016
"B15002_12_some_college,_less_than_1_year",5925,9668,9927,1952,3264,6625,1239,3214,10233,7273,10849,7028,10212,12732,22106,2700,3374,4930,11809,16024,2012-2016
"B15002_13_some_college,_1_or_more_years,_no_degree",12737,19194,22742,4038,5378,11736,2642,8281,22324,13213,25948,16456,19666,29077,55958,5011,8086,10683,32672,44518,2012-2016
B15002_14_associate's_degree,5012,11174,10136,1980,2606,7169,1612,4063,10693,9731,14040,9018,11115,15483,21296,1654,3248,5442,14537,14248,2012-2016
B15002_15_bachelor's_degree,15420,34502,31739,6872,4399,18783,2551,6904,36829,20443,51036,50045,37786,73669,74990,4491,7463,18460,84493,47754,2012-2016
B15002_16_master's_degree,4688,13548,10761,2276,1150,5883,986,2851,16580,7186,22145,22442,16740,33835,28499,2639,3941,8766,60857,24091,2012-2016
B15002_17_professional_school_degree,1973,3987,5008,828,586,1682,108,756,4222,1999,5838,6497,6265,14062,12695,516,554,1699,26493,4320,2012-2016
B15002_18_doctorate_degree,792,2067,2312,330,209,1254,141,840,4831,1189,4623,5524,4551,8879,7790,450,482,2307,25295,4939,2012-2016
B15002_19_female,98765,162734,183782,36847,51033,104061,23478,59697,196168,144019,229654,178001,201709,298985,560607,31200,54187,84418,374114,319167,2012-2016
B15002_20_no_schooling_completed,1636,1115,2938,208,1531,793,167,707,1683,1704,1528,1007,1708,1620,11845,201,319,864,6296,4802,2012-2016
B15002_21_nursery_to_4th_grade,523,261,1419,10,522,177,249,216,702,891,302,770,621,602,3986,7,63,160,2916,4030,2012-2016
B15002_22_5th_and_6th_grade,1303,789,1837,125,1385,527,208,351,1383,1582,755,1272,774,1234,6322,30,265,656,5319,6651,2012-2016
B15002_23_7th_and_8th_grade,1948,1506,3022,425,1241,916,428,1010,1648,3630,1531,1744,1637,2584,10656,186,435,771,3954,4131,2012-2016
B15002_24_9th_grade,1676,981,2050,434,1415,1055,487,1044,2111,3023,1303,1531,1290,1633,8613,218,175,724,3449,4474,2012-2016
B15002_25_10th_grade,1625,2075,3346,635,1342,1493,629,1438,3263,3107,2865,1681,2649,3045,17133,243,701,1054,2613,3845,2012-2016
B15002_26_11th_grade,2742,1909,3624,707,1680,1628,560,1436,3431,3376,3166,1817,3183,3275,21414,525,679,889,2643,4722,2012-2016
"B15002_27_12th_grade,_no_diploma",2275,2457,3046,604,1029,1484,277,897,2496,2619,2847,1357,2341,3246,13655,250,677,770,5134,5260,2012-2016
B15002_28_high_school_graduate_(includes_equivalency),33166,46350,56808,12465,18653,35231,8249,19579,55347,53148,69514,40838,63966,73657,181999,9144,16514,20682,54990,78761,2012-2016
"B15002_29_some_college,_less_than_1_year",5966,11214,10722,2701,3032,7014,1401,3897,12981,8586,12163,7805,11397,13595,29825,2825,4463,6288,15018,20834,2012-2016
"B15002_30_some_college,_1_or_more_years,_no_degree",12653,19490,23884,4318,6207,12071,3080,8925,26173,15061,27174,17320,21168,30526,70652,4996,9674,10726,38287,54013,2012-2016
B15002_31_associate's_degree,7639,14925,14539,3088,4377,10125,2463,5563,15149,12439,20569,12169,17299,23509,35695,2916,4832,7072,21584,20688,2012-2016
B15002_32_bachelor's_degree,17617,39622,36499,7365,6215,21293,3714,9299,41114,21972,51518,53868,42706,78493,85389,5547,9293,19953,102480,60106,2012-2016
B15002_33_master's_degree,6171,15539,15690,3131,1944,8111,1300,4429,21935,11010,27719,26972,23634,47136,45393,3389,5172,10834,73928,37776,2012-2016
B15002_34_professional_school_degree,1201,2811,2927,435,295,1378,152,576,3557,1110,3845,4079,4123,8417,11315,509,555,1521,18581,4524,2012-2016
B15002_35_doctorate_degree,624,1690,1431,196,165,765,114,330,3195,761,2855,3771,3213,6413,6715,214,370,1454,16922,4550,2012-2016
B19001_1_total,101083,164623,185722,40073,50718,104762,24255,62140,202524,152451,233517,186721,203610,309884,582594,31479,54105,88995,367764,306711,2012-2016
"B19001_2_less_than_$10,000",6269,5894,13894,2056,4389,4124,1568,3637,12137,9273,7816,6002,11576,11165,81339,1169,2404,3149,12974,12133,2012-2016
"B19001_3_$10,000_to_$14,999",4920,4032,8279,1912,3084,3526,1229,2756,6432,7326,6663,4785,7643,9008,42831,508,1192,2125,7073,6869,2012-2016
"B19001_4_$15,000_to_$19,999",6156,4811,9100,1921,3170,3451,1148,2948,7762,7598,8134,5347,8661,9819,39571,578,1299,1913,6454,8334,2012-2016
"B19001_5_$20,000_to_$24,999",5191,5752,8577,1915,2738,3896,1091,3197,8321,7771,7507,5952,8931,10462,35179,711,1435,2577,8844,9429,2012-2016
"B19001_6_$25,000_to_$29,999",4587,5685,7492,2327,2520,3635,941,2979,8583,7204,7852,5363,9149,10111,32687,760,1362,2678,8971,9786,2012-2016
"B19001_7_$30,000_to_$34,999",5088,5826,7617,1661,2633,3579,1121,3688,9023,7205,7842,5958,8537,11169,33150,949,1583,2769,9944,10923,2012-2016
