index,17031,17037,17043,17063,17089,17093,17097,17111,17197,18073,18089,18111,18127,55059,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2008-2012
FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2008-2012
STATE,il,il,il,il,il,il,il,il,il,in,in,in,in,wi,2008-2012
"B19001_12_$60,000_to_$74,999",191109,4175,33674,1896,17637,4624,22449,11426,24902,1607,19368,722,6482,6696,2008-2012
"B19001_13_$75,000_to_$99,999",235745,5100,49716,2894,23778,6668,32569,18618,35206,2248,23249,807,9588,8638,2008-2012
"B19001_14_$100,000_to_$124,999",157855,3414,37034,2065,17753,5465,25042,13667,27465,1130,13930,345,7339,5589,2008-2012
"B19001_15_$125,000_to_$149,999",95367,1947,26459,1153,12623,3614,18403,8702,18594,459,8508,139,3455,3130,2008-2012
"B19001_16_$150,000_to_$199,999",101113,1415,29439,1009,12394,3486,21961,8928,18816,266,5702,159,3161,2697,2008-2012
"B19001_17_$200,000_or_more",111452,758,33094,489,11455,2144,27950,6128,13040,177,3915,87,1836,1921,2008-2012
B19013_1_median_household_income_in_the_past_12_months_(in_2012_inflation-adjusted_dollars),54648,53575,78538,63840,68674,83835,79085,77325,76352,57801,49315,49816,62457,55117,2008-2012
B25001_1_total,2178739,40932,356370,19919,181587,40002,260020,116015,237175,13165,208913,6023,66208,69222,2008-2012
B25003_1_total,1933670,37959,335532,17987,170069,37817,240744,108950,222092,12117,182028,5338,61312,62301,2008-2012
B25003_2_owner_occupied,1140135,23395,251585,13691,129009,32214,184999,90267,185671,9501,127855,4179,47616,42422,2008-2012
B25003_3_renter_occupied,793535,14564,83947,4296,41060,5603,55745,18683,36421,2616,54173,1159,13696,19879,2008-2012
B25024_1_total,2178739,40932,356370,19919,181587,40002,260020,116015,237175,13165,208913,6023,66208,69222,2008-2012
"B25024_2_1,_detached",869539,24131,212825,13558,125036,30300,175104,90256,176194,10664,147300,5484,49007,46102,2008-2012
"B25024_3_1,_attached",118595,4026,44266,2387,18561,6320,30151,11666,28351,304,12136,51,2261,2451,2008-2012
B25024_4_2,218404,1595,2790,325,8028,268,6591,1809,5010,551,8183,76,1947,5440,2008-2012
B25024_5_3_or_4,252173,1599,10850,853,6757,734,7314,3226,5083,226,10147,41,2762,2723,2008-2012
B25024_6_5_to_9,207272,3134,22929,796,7502,556,8979,3706,5044,331,12467,72,2913,3442,2008-2012
B25024_7_10_to_19,110050,2377,21429,434,5232,1117,11225,2773,6687,97,8355,60,2409,2765,2008-2012
B25024_8_20_to_49,122955,1627,18158,142,3865,380,8052,938,2533,80,3509,36,896,3127,2008-2012
B25024_9_50_or_more,263554,1391,22524,364,5347,250,7857,939,4639,34,3457,0,322,1172,2008-2012
B25024_10_mobile_home,15404,1049,547,1060,1251,68,4714,665,3587,878,3344,203,3676,2000,2008-2012
"B25024_11_boat,_rv,_van,_etc.",793,3,52,0,8,9,33,37,47,0,15,0,15,0,2008-2012
B25077_1_median_value_(dollars),244900,179300,298500,186500,233800,229400,267700,233400,228900,145400,137400,110900,166600,174300,2008-2012
B25034_1_total,2178739,40932,356370,19919,181587,40002,260020,116015,237175,13165,208913,6023,66208,69222,2008-2012
B25034_2_built_2010_or_later,2215,94,332,77,244,150,296,261,384,88,320,0,204,91,2008-2012
B25034_3_built_2000_to_2009,164926,7931,31764,5457,39647,19787,39246,25159,63746,2386,22234,532,9664,9756,2008-2012
B25034_4_built_1990_to_1999,126004,6379,54779,2949,30149,6353,50848,26736,55252,2751,19013,750,12064,10454,2008-2012
B25034_5_built_1980_to_1989,144575,3300,63883,1864,17546,2192,38435,14743,21523,816,14175,346,8073,5181,2008-2012
B25034_6_built_1970_to_1979,255051,5796,86909,2733,23153,4226,41967,16622,33356,2498,27171,1176,14609,8910,2008-2012
B25034_7_built_1960_to_1969,283786,4864,47855,1635,17259,2649,26667,8891,18859,922,28460,595,7966,7041,2008-2012
B25034_8_built_1950_to_1959,343363,3902,39100,1547,17980,1727,28438,9368,18682,1049,37941,675,5785,9408,2008-2012
B25034_9_built_1940_to_1949,173176,1384,10906,821,6722,554,9926,3901,7717,831,21652,425,2282,4512,2008-2012
B25034_10_built_1939_or_earlier,685643,7282,20842,2836,28887,2364,24197,10334,17656,1824,37947,1524,5561,13869,2008-2012
B25127_1_total,1933670,37959,335532,17987,170069,37817,240744,108950,222092,12117,182028,5338,61312,62301,2008-2012
B25127_2_owner_occupied,1140135,23395,251585,13691,129009,32214,184999,90267,185671,9501,127855,4179,47616,42422,2008-2012
B25127_3_built_2000_or_later,90229,5440,21981,4003,32400,16459,28440,21015,55043,1823,17119,499,8115,6636,2008-2012
"B25127_4_1,_detached__or_attached",49885,5308,19960,3848,30689,16207,26126,20403,53176,1795,15916,499,7805,5846,2008-2012
B25127_5_2_to_4,6901,19,130,3,585,33,308,222,467,0,392,0,67,119,2008-2012
B25127_6_5_to_19,9418,23,566,0,515,203,519,246,761,0,496,0,0,454,2008-2012
B25127_7_20_to_49,5874,0,666,0,280,0,442,6,9,0,51,0,0,67,2008-2012
B25127_8_50_or_more,16489,0,619,0,185,0,338,4,140,0,16,0,0,0,2008-2012
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",1662,90,40,152,146,16,707,134,490,28,248,0,243,150,2008-2012
B25127_10_built_1980_to_1999,156700,5165,84235,3243,37379,6981,68209,34124,64680,2513,22226,743,13645,9357,2008-2012
"B25127_11_1,_detached__or_attached",108273,4594,75986,2831,35336,6802,63217,32758,61713,2239,20004,670,11598,8285,2008-2012
B25127_12_2_to_4,11641,27,2668,13,920,177,1182,421,560,24,380,0,303,127,2008-2012
B25127_13_5_to_19,13936,25,2953,11,508,0,1173,595,929,0,794,0,196,368,2008-2012
B25127_14_20_to_49,6911,0,1061,0,181,0,767,22,143,0,123,0,12,12,2008-2012
B25127_15_50_or_more,11126,13,1290,0,54,0,334,6,31,0,14,0,0,12,2008-2012
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",4813,506,277,388,380,2,1536,322,1304,250,911,73,1536,553,2008-2012
B25127_17_built_1960_to_1979,298220,5065,91652,2936,25627,5526,45992,19085,37664,2689,33592,1289,16141,10096,2008-2012
"B25127_18_1,_detached__or_attached",215201,4716,79119,2751,24132,5454,42621,18269,36048,2482,32240,1239,15010,9302,2008-2012
B25127_19_2_to_4,14104,34,1684,14,369,0,839,287,363,44,337,0,156,100,2008-2012
B25127_20_5_to_19,21691,28,3999,38,376,45,943,437,503,0,325,0,10,58,2008-2012
B25127_21_20_to_49,14515,0,3591,0,266,12,519,41,123,0,51,0,0,0,2008-2012
B25127_22_50_or_more,29093,11,3184,14,168,0,192,27,61,11,56,0,0,0,2008-2012
"B25127_23_mobile_home,_boat,_rv,_van,_etc.",3616,276,75,119,316,15,878,24,566,152,583,50,965,636,2008-2012
B25127_24_built_1940_to_1959,311166,3285,38362,1650,17089,1647,27563,9541,18175,1198,36692,712,5863,9393,2008-2012
"B25127_25_1,_detached__or_attached",275273,3276,37624,1630,16531,1646,27032,9495,17822,1198,36256,704,5800,9183,2008-2012
B25127_26_2_to_4,17943,0,162,0,397,1,345,46,177,0,376,0,41,158,2008-2012
B25127_27_5_to_19,7327,0,199,0,87,0,49,0,78,0,24,0,0,0,2008-2012
B25127_28_20_to_49,3561,0,187,0,15,0,99,0,0,0,0,0,0,0,2008-2012
B25127_29_50_or_more,6863,0,190,0,36,0,20,0,11,0,0,0,0,0,2008-2012
"B25127_30_mobile_home,_boat,_rv,_van,_etc.",199,9,0,20,23,0,18,0,87,0,36,8,22,52,2008-2012
B25127_31_built_1939_or_earlier,283820,4440,15355,1859,16514,1601,14795,6502,10109,1278,18226,936,3852,6940,2008-2012
"B25127_32_1,_detached__or_attached",174943,4311,15056,1817,15505,1569,13810,6354,9365,1265,17195,933,3637,6124,2008-2012
B25127_33_2_to_4,68089,120,206,30,981,32,847,83,643,13,964,3,152,794,2008-2012
B25127_34_5_to_19,20609,7,18,12,17,0,53,51,43,0,51,0,22,22,2008-2012
B25127_35_20_to_49,8826,0,75,0,11,0,12,2,0,0,0,0,0,0,2008-2012
B25127_36_50_or_more,11281,0,0,0,0,0,73,0,8,0,16,0,0,0,2008-2012
"B25127_37_mobile_home,_boat,_rv,_van,_etc.",72,2,0,0,0,0,0,12,50,0,0,0,41,0,2008-2012
B25127_38_renter_occupied,793535,14564,83947,4296,41060,5603,55745,18683,36421,2616,54173,1159,13696,19879,2008-2012
B25127_39_built_2000_or_later,56298,2268,7616,939,5271,2208,7569,2687,5441,387,4090,0,1193,2356,2008-2012
"B25127_40_1,_detached__or_attached",5360,973,1579,430,2191,1215,3002,1603,2709,175,1171,0,424,575,2008-2012
B25127_41_2_to_4,10639,158,346,165,599,208,520,117,561,139,656,0,120,387,2008-2012
B25127_42_5_to_19,9903,701,2072,253,1407,560,1490,552,1109,34,1404,0,497,533,2008-2012
B25127_43_20_to_49,5092,375,1067,0,374,130,692,247,343,24,397,0,51,450,2008-2012
B25127_44_50_or_more,24623,50,2552,29,634,95,1680,157,666,0,309,0,29,303,2008-2012
"B25127_45_mobile_home,_boat,_rv,_van,_etc.",681,11,0,62,66,0,185,11,53,15,153,0,72,108,2008-2012
B25127_46_built_1980_to_1999,93049,3927,28598,1080,8367,1203,16270,5416,8132,828,8749,226,5025,4871,2008-2012
"B25127_47_1,_detached__or_attached",10347,820,5489,325,2549,589,4192,2388,3518,199,1513,88,887,787,2008-2012
B25127_48_2_to_4,17800,506,2482,133,1295,169,1762,919,751,255,1200,39,1358,875,2008-2012
B25127_49_5_to_19,25675,1828,12635,294,2809,327,5592,1581,2252,162,3946,28,2241,1834,2008-2012
B25127_50_20_to_49,7799,383,3282,43,556,41,1755,235,642,24,845,23,283,884,2008-2012
B25127_51_50_or_more,30106,308,4624,144,1089,76,2593,245,744,23,809,0,119,407,2008-2012
"B25127_52_mobile_home,_boat,_rv,_van,_etc.",1322,82,86,141,69,1,376,48,225,165,436,48,137,84,2008-2012
B25127_53_built_1960_to_1979,192060,4678,34551,955,11940,1174,17715,4885,10997,550,16624,402,4918,5029,2008-2012
"B25127_54_1,_detached__or_attached",27189,886,6620,382,3117,731,5291,2237,3590,270,5206,284,1634,1058,2008-2012
B25127_55_2_to_4,36358,667,2990,245,2203,76,2882,804,2003,57,2627,49,1374,974,2008-2012
B25127_56_5_to_19,59969,1823,14487,267,4084,219,5427,1343,3112,97,6179,45,1213,1792,2008-2012
B25127_57_20_to_49,21377,480,4886,7,1009,98,2069,162,592,3,1159,13,467,717,2008-2012
B25127_58_50_or_more,45763,822,5518,33,1482,41,1623,291,1607,0,1029,0,95,309,2008-2012
"B25127_59_mobile_home,_boat,_rv,_van,_etc.",1404,0,50,21,45,9,423,48,93,123,424,11,135,179,2008-2012
B25127_60_built_1940_to_1959,154998,1642,8935,591,6124,507,7729,2793,5981,536,13914,305,1397,3067,2008-2012
"B25127_61_1,_detached__or_attached",32891,665,4337,409,3476,264,4650,1752,3346,415,8744,272,917,1724,2008-2012
B25127_62_2_to_4,51375,471,916,114,1285,137,1238,494,940,52,2479,12,191,858,2008-2012
B25127_63_5_to_19,39232,248,2040,68,756,69,1192,385,964,39,2068,17,212,197,2008-2012
B25127_64_20_to_49,12933,131,741,0,170,37,356,70,175,0,214,0,19,201,2008-2012
