index,17011,17031,17037,17043,17063,17089,17091,17093,17097,17099,17111,17155,17197,18073,18089,18091,18111,18127,55059,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2007-2011
FILETYPE,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2007-2011
STATE,il,il,il,il,il,il,il,il,il,il,il,il,il,in,in,in,in,in,wi,2007-2011
B15002_32_bachelor's_degree,1364,372358,5368,87262,2218,33227,4080,7850,57577,4314,21387,201,44070,1265,22408,4060,264,9578,8710,2007-2011
B15002_33_master's_degree,523,177891,2516,39597,893,14406,2389,3711,27727,1577,8596,120,19757,412,9401,2059,77,3520,3409,2007-2011
B15002_34_professional_school_degree,107,39484,347,7082,9,1639,216,298,4615,229,1090,12,2968,52,1456,330,8,723,531,2007-2011
B15002_35_doctorate_degree,43,19562,363,3388,4,1095,125,198,2293,79,352,3,1168,28,650,199,0,285,139,2007-2011
B19001_1_total,14404,1934771,38011,335651,18297,169528,41086,36856,239947,45000,108361,2482,221722,12175,183198,42255,5370,61399,62215,2007-2011
"B19001_2_less_than_$10,000",744,155944,3098,10554,780,6226,2818,689,9017,2598,3771,80,6843,462,15885,2885,330,3051,3629,2007-2011
"B19001_3_$10,000_to_$14,999",790,95215,2018,8192,647,5186,2227,481,6320,2629,2306,158,5971,490,10789,2561,315,2618,2959,2007-2011
"B19001_4_$15,000_to_$19,999",1061,103073,2029,9490,704,5819,2587,866,7797,2655,3727,139,7040,598,10836,2769,267,2780,3253,2007-2011
"B19001_5_$20,000_to_$24,999",888,98102,1966,11484,529,7070,2327,831,8202,2363,3633,126,7893,471,10141,2654,288,2648,3502,2007-2011
"B19001_6_$25,000_to_$29,999",678,94439,1502,12711,1070,7400,2029,930,8182,2291,3519,146,7727,659,9764,2657,310,2814,3038,2007-2011
"B19001_7_$30,000_to_$34,999",845,93177,1918,12552,777,7157,2170,1035,8376,2512,3995,106,7686,576,9898,2525,367,2967,3382,2007-2011
"B19001_8_$35,000_to_$39,999",782,87972,1522,12394,716,6436,2197,1076,9217,2266,3346,127,8508,652,8506,2153,268,2725,3144,2007-2011
"B19001_9_$40,000_to_$44,999",814,86602,1731,13533,829,7464,2392,1249,8610,2097,4045,173,7965,683,8992,2077,350,2865,2869,2007-2011
"B19001_10_$45,000_to_$49,999",979,77035,1587,11742,773,6468,2014,1615,8240,1804,4029,107,7214,748,7603,2083,330,2394,2748,2007-2011
"B19001_11_$50,000_to_$59,999",1301,151264,3522,24957,1663,14040,3123,2801,16813,4313,8558,254,16998,1253,16018,3276,430,4812,5121,2007-2011
"B19001_12_$60,000_to_$74,999",1599,193866,4080,34484,2042,17759,4548,4795,22741,5534,12019,299,24990,1588,19750,5217,630,6756,6713,2007-2011
"B19001_13_$75,000_to_$99,999",1929,238954,5127,49399,3057,25374,5809,6558,33556,6530,19001,339,36053,2147,24021,5347,910,9698,8547,2007-2011
"B19001_14_$100,000_to_$124,999",1068,155700,3625,36649,2120,17603,3234,5638,25876,3440,13364,290,28047,1156,13346,2855,304,6901,5662,2007-2011
"B19001_15_$125,000_to_$149,999",420,96333,1920,25706,1250,12116,1521,3710,17517,1855,8790,64,17886,331,8279,1317,103,3573,3231,2007-2011
"B19001_16_$150,000_to_$199,999",259,98215,1367,29651,887,12099,1399,2870,21960,1298,8263,40,18757,235,5609,1132,78,2893,2559,2007-2011
"B19001_17_$200,000_or_more",247,108880,999,32153,453,11311,691,1712,27523,815,5995,34,12144,126,3761,747,90,1904,1858,2007-2011
B19013_1_median_household_income_in_the_past_12_months_(in_2011_inflation-adjusted_dollars),48046,54598,54436,77598,64592,69496,49266,82649,79666,52469,76909,52409,76453,55509,49443,46934,48108,62394,54846,2007-2011
B25001_1_total,15699,2177518,40772,356175,19807,180761,45114,39432,259358,49902,115558,3066,236217,13080,208488,48409,6025,65941,69086,2007-2011
B25003_1_total,14404,1934771,38011,335651,18297,169528,41086,36856,239947,45000,108361,2482,221722,12175,183198,42255,5370,61399,62215,2007-2011
B25003_2_owner_occupied,10908,1156652,23863,254592,13839,129816,28700,31770,186237,34414,90852,1942,187321,9478,129462,31712,4284,47484,42605,2007-2011
B25003_3_renter_occupied,3496,778119,14148,81059,4458,39712,12386,5086,53710,10586,17509,540,34401,2697,53736,10543,1086,13915,19610,2007-2011
B25024_1_total,15699,2177518,40772,356175,19807,180761,45114,39432,259358,49902,115558,3066,236217,13080,208488,48409,6025,65941,69086,2007-2011
