estimate_year,index,FL_011,FL_086,FL_099
2013-2017,FILEID,ACSSF,ACSSF,ACSSF
2013-2017,B19001_1_total,675828,858289,543591
2013-2017,"B19001_2_less_than_$10,000",45747,85270,32784
2013-2017,"B19001_3_$10,000_to_$14,999",31525,54740,23453
2013-2017,"B19001_4_$15,000_to_$19,999",34566,51870,27341
2013-2017,"B19001_5_$20,000_to_$24,999",35711,53234,28673
2013-2017,"B19001_6_$25,000_to_$29,999",33962,47810,27608
2013-2017,"B19001_7_$30,000_to_$34,999",34554,43412,27023
2013-2017,"B19001_8_$35,000_to_$39,999",31793,41367,24754
2013-2017,"B19001_9_$40,000_to_$44,999",32881,40931,26306
2013-2017,"B19001_10_$45,000_to_$49,999",28728,36480,21318
2013-2017,"B19001_11_$50,000_to_$59,999",52997,63248,42688
2013-2017,"B19001_12_$60,000_to_$74,999",67889,77426,51674
2013-2017,"B19001_13_$75,000_to_$99,999",80405,87953,62630
2013-2017,"B19001_14_$100,000_to_$124,999",56970,58400,45050
2013-2017,"B19001_15_$125,000_to_$149,999",32218,33702,27235
2013-2017,"B19001_16_$150,000_to_$199,999",36024,36256,31831
2013-2017,"B19001_17_$200,000_or_more",39858,46190,43223
2013-2017,B19013_1_median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars),54895,46338,57256
2013-2017,B25001_1_total,818382,1008908,678673
2013-2017,B25003_1_total,675828,858289,543591
2013-2017,B25003_2_owner_occupied,420780,448011,372677
2013-2017,B25003_3_renter_occupied,255048,410278,170914
2013-2017,B25024_1_total,818382,1008908,678673
2013-2017,"B25024_2_1,_detached",339603,402273,311781
2013-2017,"B25024_3_1,_attached",68307,101184,69317
2013-2017,B25024_4_2,20569,19091,19504
2013-2017,B25024_5_3_or_4,36645,35151,47607
2013-2017,B25024_6_5_to_9,45407,53378,41848
2013-2017,B25024_7_10_to_19,61349,69799,44875
2013-2017,B25024_8_20_to_49,97670,88666,65444
2013-2017,B25024_9_50_or_more,125519,225995,58537
2013-2017,B25024_10_mobile_home,22746,13071,19486
2013-2017,"B25024_11_boat,_rv,_van,_etc.",567,300,274
2013-2017,B25077_1_median_value_(dollars),223400,242800,242500
2013-2017,B25034_1_total,818382,1008908,678673
2013-2017,B25034_2_built_2014_or_later,4388,8424,4911
2013-2017,B25034_3_built_2010_to_2013,9517,16261,9959
2013-2017,B25034_4_built_2000_to_2009,89739,139108,112288
2013-2017,B25034_5_built_1990_to_1999,133167,127714,119106
2013-2017,B25034_6_built_1980_to_1989,150365,150110,190105
2013-2017,B25034_7_built_1970_to_1979,217035,192767,133980
2013-2017,B25034_8_built_1960_to_1969,124787,135911,54093
2013-2017,B25034_9_built_1950_to_1959,73513,143100,34267
2013-2017,B25034_10_built_1940_to_1949,9412,56481,8602
2013-2017,B25034_11_built_1939_or_earlier,6459,39032,11362
