index,48085,48097,48113,48121,48139,48147,48181,48213,48221,48223,48231,48251,48257,48349,48363,48367,48397,48425,48439,48497,40013,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2008-2012
FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2008-2012
STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,ok,2008-2012
B15002_18_doctorate_degree,5644,91,7908,3714,205,81,386,139,226,81,366,339,148,45,88,455,367,11,5981,68,93,2008-2012
B15002_19_female,262779,13044,765333,214327,48293,11104,42141,28393,19053,12040,28777,49343,33956,15904,9763,38752,26292,2885,589807,19609,14439,2008-2012
B15002_20_no_schooling_completed,2203,143,15555,1628,420,120,372,354,99,163,318,629,490,337,153,205,291,5,9116,150,101,2008-2012
B15002_21_nursery_to_4th_grade,974,184,14070,1169,408,49,163,224,124,122,222,297,299,169,83,139,89,0,6017,216,7,2008-2012
B15002_22_5th_and_6th_grade,2970,271,32634,2429,1149,141,535,665,263,281,581,608,535,281,210,268,348,83,15876,511,90,2008-2012
B15002_23_7th_and_8th_grade,1986,321,19864,1869,931,481,925,949,320,321,612,1293,739,387,387,481,257,109,10347,413,375,2008-2012
B15002_24_9th_grade,2028,382,29566,3112,1242,243,829,650,280,335,816,1348,831,523,182,724,205,129,14817,521,421,2008-2012
B15002_25_10th_grade,2687,382,17824,2329,1331,571,996,1042,736,354,911,1361,799,669,278,995,394,67,12033,561,420,2008-2012
B15002_26_11th_grade,2543,281,20662,2181,1203,271,1308,1342,515,509,1216,1702,1107,563,303,1036,565,98,14158,373,616,2008-2012
"B15002_27_12th_grade,_no_diploma",2520,101,13731,2144,705,104,584,466,224,211,370,593,538,213,148,646,337,18,9166,325,253,2008-2012
"B15002_28_high_school_graduate,_ged,_or_alternative",44955,4112,178323,42500,14643,4124,13874,9749,5851,4127,9718,16527,10917,4981,3431,10437,6282,752,144952,7324,4806,2008-2012
"B15002_29_some_college,_less_than_1_year",17060,1129,46254,14725,4368,875,4016,2452,1757,718,2215,4483,2832,1243,920,3525,2089,140,44257,1444,977,2008-2012
"B15002_30_some_college,_1_or_more_years,_no_degree",41230,2245,121288,39709,8302,1874,7191,4524,4039,2187,4646,8907,6830,2220,1880,7638,4686,422,103581,3389,2263,2008-2012
B15002_31_associate's_degree,21514,1199,44559,16989,3595,633,3371,2406,1053,960,2102,3643,2108,1280,341,3390,1942,217,39964,1160,1050,2008-2012
B15002_32_bachelor's_degree,84229,1822,141538,58147,7015,1067,5580,2326,2560,1015,3442,5849,4237,2234,939,6764,6284,648,117295,2230,1890,2008-2012
B15002_33_master's_degree,29699,389,52970,20764,2512,529,1998,1149,884,675,1335,1780,1499,658,455,2135,1975,160,38459,853,996,2008-2012
B15002_34_professional_school_degree,4022,68,11417,2346,300,5,192,44,232,27,81,156,156,58,31,209,364,32,5793,72,120,2008-2012
B15002_35_doctorate_degree,2159,15,5078,2286,169,17,207,51,116,35,192,167,39,88,22,160,184,5,3976,67,54,2008-2012
B19001_1_total,283025,14489,849874,237732,50327,11783,46600,30311,20631,13262,30682,51776,34597,17441,10556,41640,26141,3221,651877,20352,16398,2008-2012
"B19001_2_less_than_$10,000",10017,987,60739,9318,2084,833,3348,2581,919,1098,2510,2387,1995,1680,824,2155,807,369,37576,1007,1651,2008-2012
"B19001_3_$10,000_to_$14,999",6109,1054,43715,5848,2049,1078,3224,2429,996,949,2572,1829,1750,1177,780,1747,711,163,29800,931,1767,2008-2012
"B19001_4_$15,000_to_$19,999",7071,920,46759,7511,2209,761,2518,2109,976,943,1995,2199,1446,1060,607,1710,574,113,30426,796,966,2008-2012
"B19001_5_$20,000_to_$24,999",8537,701,51918,9208,2268,724,3002,2105,884,652,1607,2476,1475,1254,767,1848,814,134,32942,1007,1068,2008-2012
"B19001_6_$25,000_to_$29,999",10088,668,52084,9044,2178,765,2835,1953,1140,885,1733,2477,1337,1139,623,1564,559,90,33255,830,1053,2008-2012
