index,48085,48113,48121,48139,48221,48231,48251,48257,48367,48397,48425,48439,48497,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2009-2013
FILETYPE,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2009-2013
STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,2009-2013
B19001_1_total,289752,858332,243394,51016,20758,30756,52044,34922,42322,26820,3193,659736,20487,2009-2013
"B19001_2_less_than_$10,000",10225,60933,9745,2355,785,2503,2563,1847,2259,616,259,38630,1012,2009-2013
"B19001_3_$10,000_to_$14,999",6470,43896,6271,2320,1041,2723,1955,1809,1726,841,165,29045,778,2009-2013
"B19001_4_$15,000_to_$19,999",6981,47208,7680,2055,992,1864,2277,1471,1839,732,175,31999,886,2009-2013
"B19001_5_$20,000_to_$24,999",8688,52080,8864,2366,880,1625,2440,1584,1947,724,152,33356,1194,2009-2013
"B19001_6_$25,000_to_$29,999",10229,51986,9408,1947,1268,1964,2052,1362,1447,554,106,33053,890,2009-2013
"B19001_7_$30,000_to_$34,999",10622,49362,9335,2423,1325,1554,2866,1626,2463,755,71,35108,817,2009-2013
"B19001_8_$35,000_to_$39,999",10295,44604,9562,1883,938,1603,2648,1426,1740,607,244,29723,1043,2009-2013
"B19001_9_$40,000_to_$44,999",11461,44602,9575,2288,738,1590,2718,1560,1482,1162,114,31984,1296,2009-2013
"B19001_10_$45,000_to_$49,999",9383,38458,8577,2492,1316,1417,2515,1393,1752,822,168,26948,1060,2009-2013
"B19001_11_$50,000_to_$59,999",19963,71601,19013,4628,2011,2396,5116,3008,2752,2012,287,56113,1914,2009-2013
"B19001_12_$60,000_to_$74,999",27550,84827,24982,5603,2325,3026,6178,4233,4378,2597,249,69358,2159,2009-2013
"B19001_13_$75,000_to_$99,999",39909,92675,33369,7896,2334,3409,7420,5022,5834,4492,474,83407,3038,2009-2013
"B19001_14_$100,000_to_$124,999",35770,61618,28213,5412,1624,2185,4936,3861,4372,3685,276,57603,1935,2009-2013
"B19001_15_$125,000_to_$149,999",23798,35223,19201,2907,1224,1159,2641,2041,2594,2102,123,35424,989,2009-2013
"B19001_16_$150,000_to_$199,999",29154,35932,20888,2505,1184,1066,2327,1652,3288,3041,104,35116,840,2009-2013
"B19001_17_$200,000_or_more",29254,43327,18711,1936,773,672,1392,1027,2449,2078,226,32869,636,2009-2013
B19013_1_median_household_income_in_the_past_12_months_(in_2013_inflation-adjusted_dollars),82762,49481,74155,61952,55754,44858,57535,61194,64515,86119,55269,56853,56005,2009-2013
B25001_1_total,306978,949311,261496,54912,24953,36630,57144,38349,46618,28599,3660,720235,23692,2009-2013
B25003_1_total,289752,858332,243394,51016,20758,30756,52044,34922,42322,26820,3193,659736,20487,2009-2013
B25003_2_owner_occupied,197559,451047,159433,38064,16067,21463,39220,27161,33504,22412,2356,407132,16517,2009-2013
B25003_3_renter_occupied,92193,407285,83961,12952,4691,9293,12824,7761,8818,4408,837,252604,3970,2009-2013
B25024_1_total,306978,949311,261496,54912,24953,36630,57144,38349,46618,28599,3660,720235,23692,2009-2013
"B25024_2_1,_detached",214003,528735,176100,42281,16342,23475,39217,28863,33712,24559,2609,481044,15350,2009-2013
"B25024_3_1,_attached",8223,36628,4996,632,514,263,493,375,641,554,34,24512,296,2009-2013
B25024_4_2,1605,13180,1462,1418,275,466,1299,352,616,81,25,12052,316,2009-2013
B25024_5_3_or_4,5756,38474,5286,1100,426,825,1579,772,786,369,21,27920,261,2009-2013
B25024_6_5_to_9,17977,90616,14203,1311,267,2220,920,660,716,481,72,46170,390,2009-2013
B25024_7_10_to_19,23923,91831,20857,1145,314,1133,544,652,571,367,48,55359,86,2009-2013
B25024_8_20_to_49,12235,55162,17765,549,199,527,583,201,267,444,32,27524,88,2009-2013
B25024_9_50_or_more,15920,79687,9266,692,550,696,318,178,189,420,0,30168,36,2009-2013
B25024_10_mobile_home,7185,14738,11450,5701,5942,6918,12102,6266,8919,1308,819,14978,6700,2009-2013
"B25024_11_boat,_rv,_van,_etc.",151,260,111,83,124,107,89,30,201,16,0,508,169,2009-2013
B25077_1_median_value_(dollars),206100,128300,184100,137500,150900,93500,113900,129500,152900,187800,139900,136400,121900,2009-2013
B25034_1_total,306978,949311,261496,54912,24953,36630,57144,38349,46618,28599,3660,720235,23692,2009-2013
B25034_2_built_2010_or_later,5739,6242,5286,666,335,293,765,763,445,823,26,6074,115,2009-2013
B25034_3_built_2000_to_2009,107045,135050,92773,16270,6168,6679,15263,14329,14857,13250,953,166699,5940,2009-2013
B25034_4_built_1990_to_1999,87919,109811,58870,10512,5512,6101,10371,6539,9317,5716,609,108744,5421,2009-2013
B25034_5_built_1980_to_1989,59138,180162,59116,9786,5995,6892,10334,6069,8116,4671,839,148080,4451,2009-2013
B25034_6_built_1970_to_1979,30123,187470,26558,6876,4552,6286,9630,4344,6481,2226,428,107598,3024,2009-2013
B25034_7_built_1960_to_1969,8747,137941,9372,3056,956,4795,4094,2456,2709,792,173,68240,1705,2009-2013
B25034_8_built_1950_to_1959,3943,112482,4532,2816,641,2920,2981,1752,1872,442,283,64674,1449,2009-2013
B25034_9_built_1940_to_1949,1717,43355,2307,1608,321,1199,1236,694,1089,273,121,25421,788,2009-2013
B25034_10_built_1939_or_earlier,2607,36798,2682,3322,473,1465,2470,1403,1732,406,228,24705,799,2009-2013
B25127_1_total,289752,858332,243394,51016,20758,30756,52044,34922,42322,26820,3193,659736,20487,2009-2013
B25127_2_owner_occupied,197559,451047,159433,38064,16067,21463,39220,27161,33504,22412,2356,407132,16517,2009-2013
B25127_3_built_2000_or_later,77594,63177,65805,12335,4618,4561,11614,11830,11565,11417,747,107157,4285,2009-2013
"B25127_4_1,_detached__or_attached",75927,60077,63826,11353,4022,3372,9268,10524,10127,11261,654,104262,3030,2009-2013
B25127_5_2_to_4,123,181,82,0,0,16,40,0,12,18,0,197,4,2009-2013
B25127_6_5_to_19,39,553,40,0,0,0,0,3,0,13,0,6,0,2009-2013
B25127_7_20_to_49,21,410,35,0,2,0,0,0,0,11,0,54,0,2009-2013
B25127_8_50_or_more,224,848,26,0,0,14,0,0,0,0,0,253,0,2009-2013
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",1260,1108,1796,982,594,1159,2306,1303,1426,114,93,2385,1251,2009-2013
B25127_10_built_1980_to_1999,89971,123509,67889,14830,7232,7635,14743,9021,13093,8066,915,135884,7167,2009-2013
"B25127_11_1,_detached__or_attached",86508,111775,63587,12328,5282,5006,9792,6422,9526,7142,730,129270,4364,2009-2013
B25127_12_2_to_4,344,1930,69,19,17,0,49,4,6,28,0,727,0,2009-2013
B25127_13_5_to_19,309,2354,28,0,0,0,0,0,0,118,0,695,4,2009-2013
B25127_14_20_to_49,0,686,0,0,0,0,0,0,0,0,0,255,0,2009-2013
B25127_15_50_or_more,107,1657,4,0,0,17,0,0,0,0,0,219,0,2009-2013
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",2703,5107,4201,2483,1933,2612,4902,2595,3561,778,185,4718,2799,2009-2013
B25127_17_built_1960_to_1979,25460,150543,21119,6038,3462,6592,8787,4006,6052,2321,340,94076,3033,2009-2013
"B25127_18_1,_detached__or_attached",24825,142760,20428,5607,2600,5867,7848,3591,5057,2214,221,91429,2445,2009-2013
B25127_19_2_to_4,67,2129,8,2,0,0,23,0,0,42,0,628,0,2009-2013
B25127_20_5_to_19,48,1857,0,0,35,4,0,0,0,21,0,296,19,2009-2013
B25127_21_20_to_49,16,585,7,0,0,0,0,0,0,0,0,73,0,2009-2013
B25127_22_50_or_more,9,1589,10,0,0,0,0,0,0,0,0,229,0,2009-2013
"B25127_23_mobile_home,_boat,_rv,_van,_etc.",495,1623,666,429,827,721,916,415,995,44,119,1421,569,2009-2013
B25127_24_built_1940_to_1959,3316,94326,3285,2668,624,1881,2704,1535,1737,434,214,56542,1503,2009-2013
"B25127_25_1,_detached__or_attached",3272,92840,3229,2662,544,1786,2684,1498,1726,400,214,56232,1495,2009-2013
B25127_26_2_to_4,44,475,8,0,0,0,9,0,0,0,0,147,0,2009-2013
B25127_27_5_to_19,0,387,0,0,0,0,0,0,0,0,0,45,0,2009-2013
B25127_28_20_to_49,0,155,0,0,0,0,0,0,0,0,0,49,0,2009-2013
B25127_29_50_or_more,0,190,0,0,0,0,0,0,0,0,0,15,0,2009-2013
"B25127_30_mobile_home,_boat,_rv,_van,_etc.",0,279,48,6,80,95,11,37,11,34,0,54,8,2009-2013
B25127_31_built_1939_or_earlier,1218,19492,1335,2193,131,794,1372,769,1057,174,140,13473,529,2009-2013
"B25127_32_1,_detached__or_attached",1178,18902,1331,2189,131,794,1354,769,1043,174,140,13152,529,2009-2013
B25127_33_2_to_4,20,284,0,4,0,0,0,0,0,0,0,144,0,2009-2013
B25127_34_5_to_19,0,54,0,0,0,0,0,0,0,0,0,0,0,2009-2013
B25127_35_20_to_49,0,0,0,0,0,0,0,0,0,0,0,36,0,2009-2013
B25127_36_50_or_more,20,56,0,0,0,0,0,0,0,0,0,94,0,2009-2013
"B25127_37_mobile_home,_boat,_rv,_van,_etc.",0,196,4,0,0,0,18,0,14,0,0,47,0,2009-2013
B25127_38_renter_occupied,92193,407285,83961,12952,4691,9293,12824,7761,8818,4408,837,252604,3970,2009-2013
