estimate_year,index,TX_085,TX_113,TX_121,TX_139,TX_221,TX_231,TX_251,TX_257,TX_367,TX_397,TX_425,TX_439,TX_497
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2013-2017,FILETYPE,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5
2013-2017,STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx
2013-2017,"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",20873,41667,19418,3185,411,1709,2582,1623,1990,1739,62,42629,889
2013-2017,B03002_12_hispanic_or_latino,137871,1011374,149286,41791,6641,13837,32475,22817,14461,15419,1648,559025,11859
2013-2017,B03002_13_white_alone,109447,793917,117288,30950,5886,5382,28588,17978,11314,12343,1220,402258,10303
2013-2017,B03002_14_black_or_african_american_alone,1075,9271,1598,646,20,50,74,135,97,12,0,6996,4
2013-2017,B03002_15_american_indian_and_alaska_native_alone,1210,3860,989,1414,41,44,275,14,269,0,48,3534,12
2013-2017,B03002_16_asian_alone,551,1169,481,12,23,24,34,0,15,0,0,1031,0
2013-2017,B03002_17_native_hawaiian_and_other_pacific_islander_alone,53,296,35,21,8,0,5,14,22,0,0,143,11
2013-2017,B03002_18_some_other_race_alone,18924,178348,23084,6166,446,8191,2547,3542,2360,2162,325,126122,1023
2013-2017,B03002_19_two_or_more_races,6611,24513,5811,2582,217,146,952,1134,384,902,55,18941,506
2013-2017,B03002_20_two_races_including_some_other_race,3489,13252,3418,736,140,119,376,760,244,352,40,9828,338
2013-2017,"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",3122,11261,2393,1846,77,27,576,374,140,550,15,9113,168
2013-2017,B11005_1_total,323905,906179,275164,54725,21527,31781,55467,36525,43942,30365,3234,689921,21691
