estimate_year,index,NJ_005,NJ_007,NJ_015,NJ_033,PA_017,PA_029,PA_045,PA_091,PA_101,DE_003,MD_015
2009-2013,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2009-2013,B03002_20_two_races_including_some_other_race,1399,3284,1093,124,915,674,536,1011,6419,1304,36
2009-2013,"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",1331,1950,825,149,493,739,558,879,5230,1478,101
2009-2013,B11005_1_total,164979,187941,104145,25003,230366,184788,204771,307488,580017,200739,36394
2009-2013,B11005_2_households_with_one_or_more_people_under_18_years,56062,65051,37709,8328,74164,65203,67817,99156,161295,67543,13103
2009-2013,B11005_3_family_households,55630,64736,37415,8265,73850,64763,67447,98448,160113,66920,13045
2009-2013,B11005_4_married-couple_family,40050,40081,26701,5026,57244,52090,44188,76088,67389,42354,9389
2009-2013,B11005_5_other_family,15580,24655,10714,3239,16606,12673,23259,22360,92724,24566,3656
2009-2013,"B11005_6_male_householder,_no_wife_present",3664,5596,2700,768,4081,3476,4908,5539,15325,5940,963
2009-2013,"B11005_7_female_householder,_no_husband_present",11916,19059,8014,2471,12525,9197,18351,16821,77399,18626,2693
2009-2013,B11005_8_nonfamily_households,432,315,294,63,314,440,370,708,1182,623,58
2009-2013,B11005_9_male_householder,328,211,190,49,235,322,280,469,716,356,37
2009-2013,B11005_10_female_householder,104,104,104,14,79,118,90,239,466,267,21
2009-2013,B11005_11_households_with_no_people_under_18_years,108917,122890,66436,16675,156202,119585,136954,208332,418722,133196,23291
2009-2013,B11005_12_family_households,59947,62087,38065,8830,91858,65622,69591,110304,148811,67183,13510
2009-2013,B11005_13_married-couple_family,48758,47183,30584,7212,78419,56726,53995,93890,92859,53474,11333
2009-2013,B11005_14_other_family,11189,14904,7481,1618,13439,8896,15596,16414,55952,13709,2177
2009-2013,"B11005_15_male_householder,_no_wife_present",3770,3975,2089,544,4303,2641,4524,5049,15019,3629,796
2009-2013,"B11005_16_female_householder,_no_husband_present",7419,10929,5392,1074,9136,6255,11072,11365,40933,10080,1381
2009-2013,B11005_17_nonfamily_households,48970,60803,28371,7845,64344,53963,67363,98028,269911,66013,9781
2009-2013,B11005_18_male_householder,21233,25705,12764,3704,28451,23583,27882,41281,120292,29327,4641
2009-2013,B11005_19_female_householder,27737,35098,15607,4141,35893,30380,39481,56747,149619,36686,5140
2009-2013,B11016_1_total,164979,187941,104145,25003,230366,184788,204771,307488,580017,200739,36394
2009-2013,B11016_2_family_households,115577,126823,75480,17095,165708,130385,137038,208752,308924,134103,26555
2009-2013,B11016_3_2-person_household,46483,48158,28501,7076,70155,53281,54540,88451,126682,54971,11087
2009-2013,B11016_4_3-person_household,28426,31960,18137,3983,38006,28472,34031,48262,79687,32624,6494
2009-2013,B11016_5_4-person_household,24632,27188,17632,3639,35468,29820,27658,45188,56014,28198,5419
2009-2013,B11016_6_5-person_household,10933,12633,7576,1535,14933,12934,13764,18559,27479,12046,2326
2009-2013,B11016_7_6-person_household,3509,4219,2405,541,5054,3793,4578,5876,10963,3845,710
2009-2013,B11016_8_7-or-more_person_household,1594,2665,1229,321,2092,2085,2467,2416,8099,2419,519
2009-2013,B11016_9_nonfamily_households,49402,61118,28665,7908,64658,54403,67733,98736,271093,66636,9839
2009-2013,B11016_10_1-person_household,41547,51607,23387,6793,54838,43907,57930,83053,228672,53810,8181
2009-2013,B11016_11_2-person_household,6797,8423,4517,1013,8850,8209,8462,13639,32980,10332,1483
2009-2013,B11016_12_3-person_household,582,748,463,72,714,1242,878,1294,6224,1461,117
2009-2013,B11016_13_4-person_household,324,160,194,15,158,721,316,503,2143,786,29
2009-2013,B11016_14_5-person_household,137,121,65,0,93,226,82,202,542,231,0
2009-2013,B11016_15_6-person_household,0,27,12,15,0,59,20,45,316,14,20
2009-2013,B11016_16_7-or-more_person_household,15,32,27,0,5,39,45,0,216,2,9
