estimate_year,index,NY_005,NY_027,NY_047,NY_059,NY_061,NY_071,NY_079,NY_081,NY_085,NY_087,NY_103,NY_119,NJ_003,NJ_013,NJ_017,NJ_019,NJ_023,NJ_025,NJ_027,NJ_029,NJ_031,NJ_035,NJ_037,NJ_039,PA_103
2009-2013,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2009-2013,FILETYPE,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5
2009-2013,STATE,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,pa
2009-2013,B01001_2_male,656945,147944,1200944,650715,756216,187064,49843,1093906,227837,154509,736056,460811,440749,377410,319617,63268,401537,306302,242474,277711,244510,159167,73457,262679,28527
2009-2013,B01001_3_under_5_years,53936,7535,94575,37419,41036,13233,2409,70316,14399,12300,43056,29006,25260,27413,22281,2955,25390,17210,13626,20086,17810,9652,3836,18249,1341
2009-2013,B01001_4_5_to_9_years,49253,8513,83320,42204,30824,13751,3053,63591,14527,12953,48564,31937,28830,26269,17603,4263,25611,19600,16840,18457,17160,11516,4652,18202,1412
2009-2013,B01001_5_10_to_14_years,51641,9910,78092,47214,29996,15424,3950,63287,16388,12168,53964,33631,30469,28304,16867,4467,26949,23693,17587,19740,17807,12098,5364,19151,2376
2009-2013,B01001_6_15_to_17_years,32542,6808,49809,30818,18513,9212,2421,40859,10067,7762,34132,21451,19557,16598,10964,3164,16740,14451,11166,11305,10811,7618,3622,11508,1371
2009-2013,B01001_7_18_and_19_years,23797,5438,32327,18215,16957,6678,1298,27460,6226,4543,21297,12894,10902,11044,7987,1730,12967,8373,6381,6310,7651,3954,1960,7085,944
2009-2013,B01001_8_20_years,14306,2778,19681,9042,9640,3903,620,16419,3590,2063,10147,5422,4503,5545,4813,825,6753,3746,2408,3417,3955,1562,968,3834,212
2009-2013,B01001_9_21_years,11906,2140,19493,8165,9324,3004,717,15630,3466,1879,9912,5682,5334,5951,4296,799,6626,3366,2784,2697,3857,1760,724,3468,271
2009-2013,B01001_10_22_to_24_years,32736,6352,57492,24339,39678,7771,1549,49617,9328,6340,28564,16736,15025,15326,15670,2399,16275,10756,7586,9773,10551,4681,2503,9690,908
2009-2013,B01001_11_25_to_29_years,51094,8547,110000,37628,88545,10321,2646,93056,15472,9445,42839,26995,25640,26068,34983,2659,27610,17016,13182,16156,16837,8512,3587,17214,1159
2009-2013,B01001_12_30_to_34_years,46032,8273,101076,35741,78961,10682,2438,90052,14493,8763,42333,27371,26964,26281,34043,2597,28587,16028,13585,15206,16428,9308,3650,17492,1287
2009-2013,B01001_13_35_to_39_years,40939,8619,86312,38469,62629,10599,2964,82399,15202,8734,46150,29950,28699,27579,27678,3230,28689,16974,14680,15464,16950,10759,4374,18296,1513
2009-2013,B01001_14_40_to_44_years,44565,10576,79470,45167,56914,14134,3850,81077,16023,9619,55056,33437,33396,28195,23457,4529,30178,23117,19055,16500,16368,12234,5375,19937,1836
2009-2013,B01001_15_45_to_49_years,44874,12429,75859,51279,53106,14592,4646,79933,17102,10914,62002,36170,35761,28505,21653,5941,30341,26172,21411,18884,17926,14087,6792,20619,2428
2009-2013,B01001_16_50_to_54_years,40806,12614,73782,52234,48703,14014,4516,77406,17190,10813,59597,35447,35218,26817,19769,6316,29611,26918,20548,19112,17464,13836,6726,20046,2548
2009-2013,B01001_17_55_to_59_years,33712,10400,65995,45969,44277,11588,4005,67744,14727,9211,48760,30054,31604,23107,16704,5486,25551,22093,17781,16244,15385,11565,5880,16886,2195
2009-2013,B01001_18_60_and_61_years,11884,4096,24391,16274,16961,4145,1317,23197,5711,3662,16270,10967,10856,7448,5756,1774,9060,7911,5876,7105,5046,3496,2042,5913,746
2009-2013,B01001_19_62_to_64_years,15649,4508,32099,22773,21152,5484,1598,32002,7902,4878,23715,14856,13716,9901,7603,2261,11129,11058,7531,10123,6721,4803,2885,7010,1128
2009-2013,B01001_20_65_and_66_years,8813,2882,16899,12705,12900,2978,834,17632,4430,2695,13211,8427,8546,5778,4305,1246,6517,5957,4653,6271,4742,2956,1675,4656,751
2009-2013,B01001_21_67_to_69_years,10956,3310,20609,15298,15807,3928,1310,22007,5233,3519,17359,10228,10786,6951,5263,1635,7653,6828,5593,8372,4341,3104,1747,5017,1003
2009-2013,B01001_22_70_to_74_years,14602,4445,30352,19014,22387,4391,1583,29036,6216,4326,21609,13364,13017,9068,6721,2051,10657,9331,7198,12182,6012,4194,2149,6223,1242
2009-2013,B01001_23_75_to_79_years,10475,3390,21108,15557,16220,2963,958,21699,4725,3345,16533,10531,10983,6102,4796,1234,7805,6405,5481,9897,4364,3056,1186,4560,825
2009-2013,B01001_24_80_to_84_years,6722,2487,15040,12973,11467,2266,616,15955,3077,2442,11767,8762,8053,4853,3720,1192,5855,5211,3955,7813,3628,2283,1044,3878,613
2009-2013,B01001_25_85_years_and_over,5705,1894,13163,12218,10219,2003,545,13532,2343,2135,9219,7493,7630,4307,2685,515,4983,4088,3567,6597,2696,2133,716,3745,418
2009-2013,B01001_26_female,740370,149441,1338845,693050,849056,186838,49875,1162494,242386,160560,759747,495472,472046,408443,324988,63779,415489,323433,252787,301191,258344,167040,74467,277889,28652
2009-2013,B01001_27_under_5_years,51875,7272,89950,35850,39224,12653,2345,67091,13710,11583,41129,27601,24272,26251,21241,2740,24720,16587,13032,19105,16826,9207,3660,17514,1175
2009-2013,B01001_28_5_to_9_years,48185,8401,78708,40800,29362,14022,3331,60099,14919,11935,46313,31377,27211,26521,17484,4010,25433,20169,15401,18779,16613,10907,4826,17565,1479
2009-2013,B01001_29_10_to_14_years,48500,9425,76526,44099,29638,13400,3154,61208,14495,11894,51044,31126,29679,26096,15568,4439,24395,21379,17633,17551,16625,11487,4950,18078,2079
2009-2013,B01001_30_15_to_17_years,31374,6195,48625,28945,18131,8629,2271,38907,9475,7366,32296,20157,18217,16168,10198,2855,15672,13910,10483,10719,10544,7153,3353,10926,1421
2009-2013,B01001_31_18_and_19_years,22110,5455,31290,16991,21024,5185,1080,25249,5870,4162,18814,12735,10293,10223,6970,1407,11849,7652,5876,5917,7594,3425,1727,6544,698
2009-2013,B01001_32_20_years,13159,2761,18912,8335,11445,2493,711,15425,3236,2056,9765,5888,4556,5694,3817,445,6587,3421,2753,3429,4213,1649,745,2750,319
2009-2013,B01001_33_21_years,12242,2774,17433,7713,12259,2173,286,15855,3082,1819,9755,5400,5115,5179,3893,481,6542,3309,2201,2604,3946,1252,731,3451,174
2009-2013,B01001_34_22_to_24_years,32855,5270,62957,23147,49540,6639,1437,48582,9529,5648,25274,15334,13889,15566,15013,1591,15002,9925,6894,9377,10058,4346,2214,9929,732
2009-2013,B01001_35_25_to_29_years,56245,7650,119408,35704,104738,10047,2148,93397,14964,8816,39989,26330,25633,26943,33650,2385,27977,16073,12488,15520,16697,8368,3318,16871,1152
2009-2013,B01001_36_30_to_34_years,53350,7670,109247,36634,82756,10544,2372,90223,15204,8532,41855,28265,28191,28144,32200,2702,28885,16374,13542,14762,16882,9963,3623,18358,1270
2009-2013,B01001_37_35_to_39_years,48966,8617,92558,40330,61661,10857,3269,80985,15066,8915,47182,29734,30726,29023,25294,3636,29507,18762,15880,15564,16883,11659,4791,18873,1495
2009-2013,B01001_38_40_to_44_years,50545,10488,89569,49263,56540,14816,3866,83170,18149,10390,57246,37863,35368,29933,22817,5272,28789,24261,19963,17495,17847,12977,5688,20592,2198
2009-2013,B01001_39_45_to_49_years,52680,12359,87255,55856,51710,15003,4853,83450,18315,11478,63759,39088,38192,30480,21722,6458,30990,28041,22327,19686,18853,15060,6906,21724,2568
