index,48015,48039,48071,48157,48167,48201,48291,48321,48339,48455,48471,48473,48477,48481,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2012-2016
FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2012-2016
STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,2012-2016
B15002_14_associate's_degree,844,8592,1149,13046,8748,76892,1156,596,10069,343,1154,834,938,981,2012-2016
B15002_15_bachelor's_degree,1227,18824,1560,58187,18410,261006,1928,1576,36541,492,2978,1785,1552,1203,2012-2016
B15002_16_master's_degree,466,6650,437,26187,6512,100637,470,283,13596,100,1045,468,452,387,2012-2016
B15002_17_professional_school_degree,87,2198,33,5495,2662,31969,87,124,3766,0,98,91,67,114,2012-2016
B15002_18_doctorate_degree,88,1841,91,6615,1887,22281,44,100,2827,22,350,62,197,80,2012-2016
B15002_19_female,10068,108981,12230,226486,107968,1424211,26476,12197,172986,5570,16815,12731,12019,13877,2012-2016
B15002_20_no_schooling_completed,280,1533,79,4190,1168,34355,389,377,1645,50,224,231,253,361,2012-2016
B15002_21_nursery_to_4th_grade,120,1076,149,2228,766,25813,210,176,1313,8,268,301,64,215,2012-2016
B15002_22_5th_and_6th_grade,369,2122,428,3508,1361,56981,778,552,2940,76,492,578,136,565,2012-2016
B15002_23_7th_and_8th_grade,224,1747,323,3050,1555,31928,1032,401,1827,66,249,270,362,616,2012-2016
B15002_24_9th_grade,253,1833,186,2843,1628,40439,1318,179,3881,125,368,481,245,308,2012-2016
B15002_25_10th_grade,148,1991,286,2876,1682,24876,1110,471,2839,99,333,323,202,394,2012-2016
B15002_26_11th_grade,226,1804,351,2478,2457,30218,1394,493,3034,161,372,276,430,252,2012-2016
"B15002_27_12th_grade,_no_diploma",97,1583,165,3335,1498,24927,403,215,4115,80,112,128,258,257,2012-2016
B15002_28_high_school_graduate_(includes_equivalency),2668,27396,3354,39715,27348,330111,9572,3911,42353,2384,4846,4065,3670,4584,2012-2016
"B15002_29_some_college,_less_than_1_year",741,7249,1040,11736,8164,80541,2118,758,12637,381,1100,1083,1170,981,2012-2016
"B15002_30_some_college,_1_or_more_years,_no_degree",1858,18562,2036,35509,19188,228950,4004,1969,28779,1078,3185,1838,1528,2114,2012-2016
B15002_31_associate's_degree,824,8728,838,17567,10145,91058,1520,1146,13447,398,936,812,879,1111,2012-2016
B15002_32_bachelor's_degree,1674,21465,1937,64512,20846,277083,1841,1064,36894,459,3226,1638,2088,1257,2012-2016
B15002_33_master's_degree,521,9138,963,26212,7259,107779,638,420,13396,171,858,586,597,837,2012-2016
B15002_34_professional_school_degree,30,1547,65,3687,1687,24273,88,34,2269,25,128,64,101,10,2012-2016
B15002_35_doctorate_degree,35,1207,30,3040,1216,14879,61,31,1617,9,118,57,36,15,2012-2016
B19001_1_total,11222,114290,12967,214126,115685,1536259,25611,13666,179587,5459,20695,14082,11984,14979,2012-2016
"B19001_2_less_than_$10,000",741,5449,832,6902,7529,99128,1795,1603,7354,537,3036,1017,842,1032,2012-2016
"B19001_3_$10,000_to_$14,999",530,4550,555,4363,4920,71905,1584,1085,5952,415,1390,719,629,1302,2012-2016
"B19001_4_$15,000_to_$19,999",493,3825,542,4951,5041,78031,1819,877,6929,503,986,808,637,1011,2012-2016
"B19001_5_$20,000_to_$24,999",854,3788,554,5972,6110,82057,1348,678,7235,472,1329,750,692,963,2012-2016
"B19001_6_$25,000_to_$29,999",550,4233,692,6968,4605,78275,1156,867,7463,365,1149,465,533,884,2012-2016
"B19001_7_$30,000_to_$34,999",671,4391,461,6083,5037,79649,1455,979,8197,370,1372,1052,700,539,2012-2016
"B19001_8_$35,000_to_$39,999",411,4226,375,6338,5195,71536,1168,547,6968,425,1058,685,632,801,2012-2016
"B19001_9_$40,000_to_$44,999",415,3772,505,7104,4770,72082,1488,597,7178,254,1138,602,447,780,2012-2016
"B19001_10_$45,000_to_$49,999",383,4792,574,6191,3910,60983,1073,704,5970,302,613,604,533,584,2012-2016
"B19001_11_$50,000_to_$59,999",823,8229,653,14538,8259,118700,2138,951,13842,485,1553,880,985,1380,2012-2016
"B19001_12_$60,000_to_$74,999",914,11916,965,19487,9817,147753,2820,1132,17615,395,1924,1645,1515,1522,2012-2016
"B19001_13_$75,000_to_$99,999",1566,17156,1618,27610,13527,171986,2833,1211,22986,390,2340,1675,1864,1530,2012-2016
"B19001_14_$100,000_to_$124,999",1359,12178,1446,24932,10441,126438,2107,1049,17088,225,1445,1083,674,1250,2012-2016
"B19001_15_$125,000_to_$149,999",457,8141,1035,18994,7964,77658,1158,660,11251,121,445,723,462,528,2012-2016
"B19001_16_$150,000_to_$199,999",649,9698,1360,23312,9372,88984,848,380,14191,159,513,750,439,582,2012-2016
"B19001_17_$200,000_or_more",406,7946,800,30381,9188,111094,821,346,19368,41,404,624,400,291,2012-2016
B19013_1_median_household_income_in_the_past_12_months_(in_2016_inflation-adjusted_dollars),56681,72006,70396,91152,63064,55584,49655,41253,70805,35865,40090,53508,52718,46445,2012-2016
B25001_1_total,13005,126945,14440,224504,140048,1687657,29609,19069,196210,8753,25003,16148,15750,17371,2012-2016
B25003_1_total,11222,114290,12967,214126,115685,1536259,25611,13666,179587,5459,20695,14082,11984,14979,2012-2016
B25003_2_owner_occupied,8260,81646,10436,167037,76547,837912,19193,9167,128765,4384,11134,9632,9156,10138,2012-2016
B25003_3_renter_occupied,2962,32644,2531,47089,39138,698347,6418,4499,50822,1075,9561,4450,2828,4841,2012-2016
B25024_1_total,13005,126945,14440,224504,140048,1687657,29609,19069,196210,8753,25003,16148,15750,17371,2012-2016
"B25024_2_1,_detached",9454,90049,10586,188661,99957,969413,17787,12721,134530,5194,12166,9893,11783,12930,2012-2016
