estimate_year,index,IL_031,IL_037,IL_043,IL_063,IL_089,IL_093,IL_097,IL_111,IL_197,IN_073,IN_089,IN_111,IN_127,WI_059
2013-2017,B25127_77_5_to_19,38726,346,1889,40,836,51,1359,376,610,71,1477,20,216,291
2013-2017,B25127_78_20_to_49,13110,91,563,0,197,7,432,71,33,0,340,0,23,143
2013-2017,B25127_79_50_or_more,18963,131,448,0,189,0,335,146,395,0,510,0,0,52
2013-2017,"B25127_80_mobile_home,_boat,_rv,_van,_etc.",193,0,5,0,0,0,0,0,39,18,36,0,7,0
2013-2017,B25127_81_built_1939_or_earlier,283938,2562,4061,960,10581,730,7044,3207,5866,368,10645,551,1481,4484
2013-2017,"B25127_82_1,_detached__or_attached",29336,1260,1746,474,4406,490,3068,1608,2944,204,4783,474,836,2072
2013-2017,B25127_83_2_to_4,133270,876,870,356,4758,134,2659,971,2030,140,3072,21,383,2016
2013-2017,B25127_84_5_to_19,68478,300,624,101,742,76,727,479,466,24,2017,46,184,138
2013-2017,B25127_85_20_to_49,22900,78,350,0,189,15,243,55,97,0,214,10,63,148
2013-2017,B25127_86_50_or_more,29562,45,429,29,465,15,255,46,298,0,517,0,15,110
2013-2017,"B25127_87_mobile_home,_boat,_rv,_van,_etc.",392,3,42,0,21,0,92,48,31,0,42,0,0,0
2013-2017,B03002_1_total,5238541,104473,931826,50333,529402,122933,704476,308043,687727,33448,488694,14056,167391,167886
2013-2017,B03002_2_not_hispanic_or_latino,3926237,93186,800536,45616,362115,101316,555582,269512,572274,31459,398819,13197,151324,146532
2013-2017,B03002_3_white_alone,2235598,81117,632342,43855,304696,87482,442289,252341,445263,30681,266264,12865,140547,128171
2013-2017,B03002_4_black_or_african_american_alone,1226134,7414,42462,658,28468,7854,46767,3848,75873,231,116903,18,5475,12087
2013-2017,B03002_5_american_indian_and_alaska_native_alone,5216,44,541,21,454,97,618,180,498,0,903,21,328,509
2013-2017,B03002_6_asian_alone,363084,2508,105232,376,20702,3955,50070,8214,35733,119,6570,84,2312,2241
2013-2017,B03002_7_native_hawaiian_and_other_pacific_islander_alone,1123,0,246,15,115,0,314,36,120,0,136,0,139,24
2013-2017,B03002_8_some_other_race_alone,9461,37,1153,100,840,17,1160,392,875,0,689,0,60,239
2013-2017,B03002_9_two_or_more_races,85621,2066,18560,591,6840,1911,14364,4501,13912,428,7354,209,2463,3261
2013-2017,B03002_10_two_races_including_some_other_race,6320,60,1526,22,201,259,924,199,642,7,300,0,67,177
2013-2017,"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",79301,2006,17034,569,6639,1652,13440,4302,13270,421,7054,209,2396,3084
2013-2017,B03002_12_hispanic_or_latino,1312304,11287,131290,4717,167287,21617,148894,38531,115453,1989,89875,859,16067,21354
2013-2017,B03002_13_white_alone,731134,6925,97153,3487,77078,14000,109832,32273,60848,1083,36506,572,12732,15938
2013-2017,B03002_14_black_or_african_american_alone,16045,352,1063,102,1306,468,1203,260,1325,8,1970,0,597,524
2013-2017,B03002_15_american_indian_and_alaska_native_alone,8756,17,1286,17,1746,45,741,87,754,41,532,0,25,136
2013-2017,B03002_16_asian_alone,3014,15,539,10,123,26,390,76,278,0,131,0,18,16
2013-2017,B03002_17_native_hawaiian_and_other_pacific_islander_alone,663,0,34,0,33,0,87,64,59,0,70,0,48,20
2013-2017,B03002_18_some_other_race_alone,507714,3422,25570,963,80989,5863,31785,4411,47294,752,43988,245,1644,3089
2013-2017,B03002_19_two_or_more_races,44978,556,5645,138,6012,1215,4856,1360,4895,105,6678,42,1003,1631
2013-2017,B03002_20_two_races_including_some_other_race,29594,241,2906,130,3561,919,2591,688,3315,78,4683,42,531,808
2013-2017,"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",15384,315,2739,8,2451,296,2265,672,1580,27,1995,0,472,823
2013-2017,B11005_1_total,1956561,37420,340669,19006,175930,39882,244523,110860,226668,12220,185524,5530,63251,63286
2013-2017,B11005_2_households_with_one_or_more_people_under_18_years,581905,11608,113258,7058,70012,18048,93134,40623,90690,3872,59633,1654,21381,20592
2013-2017,B11005_3_family_households,578162,11469,112633,6948,69366,17826,92673,40276,90145,3730,58998,1638,20964,20243
2013-2017,B11005_4_married-couple_family,361530,7334,88846,5041,51398,13960,69560,30997,67717,2559,33870,1031,14682,12538
2013-2017,B11005_5_other_family,216632,4135,23787,1907,17968,3866,23113,9279,22428,1171,25128,607,6282,7705
2013-2017,"B11005_6_male_householder,_no_wife_present",47086,1119,6105,540,5225,755,5931,2753,5540,393,5444,216,1850,2019
2013-2017,"B11005_7_female_householder,_no_husband_present",169546,3016,17682,1367,12743,3111,17182,6526,16888,778,19684,391,4432,5686
2013-2017,B11005_8_nonfamily_households,3743,139,625,110,646,222,461,347,545,142,635,16,417,349
2013-2017,B11005_9_male_householder,2156,77,476,52,505,116,382,219,420,142,515,16,270,287
2013-2017,B11005_10_female_householder,1587,62,149,58,141,106,79,128,125,0,120,0,147,62
2013-2017,B11005_11_households_with_no_people_under_18_years,1374656,25812,227411,11948,105918,21834,151389,70237,135978,8348,125891,3876,41870,42694
2013-2017,B11005_12_family_households,604789,11619,126135,6874,60926,14009,87010,42731,81049,5006,64586,2257,23430,21092
2013-2017,B11005_13_married-couple_family,440886,9851,106641,5931,50819,11507,74476,36483,68116,4368,48474,1975,19600,17301
2013-2017,B11005_14_other_family,163903,1768,19494,943,10107,2502,12534,6248,12933,638,16112,282,3830,3791
2013-2017,"B11005_15_male_householder,_no_wife_present",49404,412,6084,229,3806,1201,4048,1958,4240,268,4744,57,1032,1474
2013-2017,"B11005_16_female_householder,_no_husband_present",114499,1356,13410,714,6301,1301,8486,4290,8693,370,11368,225,2798,2317
2013-2017,B11005_17_nonfamily_households,769867,14193,101276,5074,44992,7825,64379,27506,54929,3342,61305,1619,18440,21602
2013-2017,B11005_18_male_householder,352616,7207,44888,2646,20798,4071,27855,12652,25882,1744,29388,915,9010,10235
2013-2017,B11005_19_female_householder,417251,6986,56388,2428,24194,3754,36524,14854,29047,1598,31917,704,9430,11367
2013-2017,B11016_1_total,1956561,37420,340669,19006,175930,39882,244523,110860,226668,12220,185524,5530,63251,63286
2013-2017,B11016_2_family_households,1182951,23088,238768,13822,130292,31835,179683,83007,171194,8736,123584,3895,44394,41335
2013-2017,B11016_3_2-person_household,467506,9683,95472,5629,46536,11141,68404,33465,60375,4199,52536,1919,19516,17892
2013-2017,B11016_4_3-person_household,277579,5394,54829,3148,28317,6592,40528,18767,38047,1879,28038,726,10018,9323
2013-2017,B11016_5_4-person_household,234850,4563,53102,2981,29623,8089,41675,18245,41468,1402,24289,630,8807,7984
2013-2017,B11016_6_5-person_household,120614,2400,23177,1344,15573,3642,19907,8791,20334,831,11619,332,4101,4075
2013-2017,B11016_7_6-person_household,49656,514,8341,468,6136,1547,6292,2445,7199,310,3919,199,1351,1383
2013-2017,B11016_8_7-or-more_person_household,32746,534,3847,252,4107,824,2877,1294,3771,115,3183,89,601,678
2013-2017,B11016_9_nonfamily_households,773610,14332,101901,5184,45638,8047,64840,27853,55474,3484,61940,1635,18857,21951
2013-2017,B11016_10_1-person_household,637117,9996,85322,4112,37492,6369,54371,22458,46909,2992,53324,1380,15273,17619
2013-2017,B11016_11_2-person_household,112783,2919,14224,998,6918,1316,8818,4684,7511,383,7290,216,2967,3461
2013-2017,B11016_12_3-person_household,16608,832,1739,29,673,265,1144,485,704,67,814,28,421,532
2013-2017,B11016_13_4-person_household,5119,469,464,45,383,52,312,76,304,31,429,5,134,229
2013-2017,B11016_14_5-person_household,1328,93,81,0,142,4,116,58,44,11,74,6,45,84
2013-2017,B11016_15_6-person_household,469,4,41,0,6,41,70,35,2,0,9,0,17,9
2013-2017,B11016_16_7-or-more_person_household,186,19,30,0,24,0,9,57,0,0,0,0,0,17
