index,13013,13015,13035,13045,13057,13059,13063,13067,13077,13085,13089,13097,13113,13117,13121,13129,13135,13139,13143,13149,13151,13157,13159,13171,13195,13199,13211,13217,13219,13221,13223,13227,13231,13233,13247,13255,13285,13293,13297,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2012-2016
FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2012-2016
STATE,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,2012-2016
B01001_32_20_years,498,653,273,1175,1170,3004,1915,4082,675,183,4939,967,786,958,8108,420,5157,1531,87,34,1179,400,27,235,220,79,126,945,192,72,1016,124,103,173,809,424,734,71,655,2012-2016
B01001_33_21_years,325,534,108,1541,1065,2750,2252,5235,439,22,5210,620,314,989,6939,340,5344,1249,203,171,1332,403,41,229,186,93,62,528,167,45,947,234,68,48,423,297,378,101,511,2012-2016
B01001_34_22_to_24_years,1366,1904,363,2684,4318,5630,6318,14619,2830,299,15027,2791,2005,2548,21889,900,17025,3447,559,200,4345,899,256,333,497,402,289,1783,493,228,2661,405,319,935,1774,1287,1537,678,1480,2012-2016
B01001_35_25_to_29_years,2682,3344,630,3759,6476,5826,10883,26142,4045,640,31688,4099,2147,4158,42548,1995,28043,5977,887,296,6270,1861,392,514,792,625,432,3250,691,433,4444,794,509,1430,2559,2105,2361,720,2666,2012-2016
B01001_36_30_to_34_years,2853,3354,628,3836,7275,4306,10506,27228,4526,628,31498,4901,2368,6377,41829,1723,31256,6010,842,278,7049,2016,415,561,966,628,473,3467,988,397,5283,774,543,1243,2723,2076,2272,624,2651,2012-2016
B01001_37_35_to_39_years,2788,3646,654,3187,9092,3504,9861,28020,4450,657,28911,5318,2820,7872,39543,2071,33201,6208,601,338,8187,2065,339,506,974,647,526,4134,1201,543,5835,678,576,1063,2986,1886,2061,824,2755,2012-2016
B01001_38_40_to_44_years,2410,3499,780,4073,8827,3147,10722,28546,5674,755,26927,5952,3907,9427,36527,1889,36651,6475,1260,362,9405,2418,498,535,847,544,626,3883,1423,441,6817,1094,676,1485,3294,2144,2350,950,3393,2012-2016
B01001_39_45_to_49_years,2533,3633,713,3688,9127,2660,10219,28270,5199,768,26095,5824,4847,8976,35650,1903,34921,6460,1102,443,9033,2157,505,592,1041,709,668,4003,1419,486,5981,999,739,1425,3563,2099,2361,920,3313,2012-2016
B01001_40_50_to_54_years,2544,3745,841,3754,8681,2855,9728,27732,5148,894,26105,5235,4789,7639,34811,2070,32874,6126,1008,463,8349,2249,529,612,1137,888,651,3829,1343,630,5343,1099,621,1254,3515,2285,2454,1031,3298,2012-2016
B01001_41_55_to_59_years,2213,3862,818,3449,8084,3172,8506,24357,4232,913,24308,4438,4890,5612,30332,1848,25652,5751,928,357,6635,1961,550,664,732,975,703,3453,1227,485,4304,1175,553,1393,3365,2059,2580,1113,2960,2012-2016
B01001_42_60_and_61_years,944,1175,376,1078,2239,1049,3568,8354,1598,332,8634,1811,1537,2224,11103,677,9724,2073,361,189,2516,589,194,327,550,243,235,1165,404,139,1578,584,279,598,989,871,723,363,1067,2012-2016
B01001_43_62_to_64_years,982,1268,321,2007,3838,1640,3815,11965,2451,449,13132,1919,2051,2749,15771,931,13080,2950,497,284,3399,1241,252,222,608,371,415,1642,791,403,2149,609,317,671,1751,1256,1162,406,1325,2012-2016
B01001_44_65_and_66_years,577,1183,263,1103,2642,973,2064,7019,1361,395,7185,1534,1450,1871,9193,653,6424,2028,398,175,1859,577,158,250,295,378,198,1047,343,196,1454,529,80,458,926,1014,825,216,1037,2012-2016
B01001_45_67_to_69_years,772,1438,252,1391,3025,1357,2981,9574,1950,638,8698,1441,1915,2589,10774,700,9386,2502,480,206,2763,1092,214,296,517,436,360,1448,463,292,1400,696,341,578,1269,937,915,605,1336,2012-2016
B01001_46_70_to_74_years,1491,1712,610,2168,4020,1564,3217,9798,2450,499,10176,2069,2323,3251,14426,1065,10494,3650,565,178,3116,1220,303,417,656,473,460,1737,681,325,2130,791,405,948,1597,1544,1206,681,1664,2012-2016
B01001_47_75_to_79_years,1014,1161,362,1581,2253,1214,2249,6983,1756,542,7042,1374,1537,1872,9573,686,6551,2533,435,136,1962,965,186,236,404,426,346,1213,467,250,1519,576,177,584,1063,902,1001,458,1133,2012-2016
B01001_48_80_to_84_years,498,927,169,841,1521,783,1121,5496,940,93,5292,987,1288,1429,7686,706,5090,2162,280,119,1223,413,153,173,219,293,193,709,256,211,903,348,150,466,598,882,777,397,838,2012-2016
B01001_49_85_years_and_over,343,697,279,870,1637,1085,1234,4835,911,64,5843,608,1117,1394,9004,396,4624,1564,382,136,1473,413,132,236,328,227,202,755,278,112,553,242,234,454,795,651,745,333,865,2012-2016
B02001_1_total,73340,101942,23479,113756,230629,122037,270269,728388,135625,22939,723902,138283,109495,203841,996757,56079,874242,190482,28667,11571,214171,62131,13571,18195,28362,21195,17943,103901,35071,14743,149830,29992,17843,41263,87569,64006,69314,26394,87436,2012-2016
B02001_2_white_alone,58575,85010,16273,85742,200053,77967,52955,441994,103978,21843,252162,68460,76936,171379,450929,50346,451951,158201,26354,9899,110858,54589,10258,11996,24028,12066,13309,54902,31250,11598,115242,28732,15693,31671,38222,40309,41555,18496,69320,2012-2016
B02001_3_black_or_african_american_alone,8266,11163,6645,20904,14934,33245,184017,194744,23913,159,392967,60118,22916,5984,439282,2336,228057,14240,1362,1215,86207,4335,2779,5359,2468,8464,4239,44682,2056,2464,27438,359,1872,5069,44299,21101,24028,7446,14627,2012-2016
B02001_4_american_indian_and_alaska_native_alone,225,536,14,326,558,254,607,1494,169,37,3319,250,368,393,4072,537,2909,425,84,5,98,135,14,15,113,24,10,392,24,20,304,12,0,59,91,284,54,107,183,2012-2016
B02001_5_asian_alone,2558,848,134,972,4006,5334,14025,36668,2225,81,43017,2273,4745,19123,64202,606,97394,3366,234,53,6913,1121,75,128,339,135,7,1063,1346,79,1498,174,83,241,1736,616,1241,177,1199,2012-2016
B02001_6_native_hawaiian_and_other_pacific_islander_alone,0,0,18,81,12,41,22,439,36,0,55,0,85,29,396,13,361,27,0,0,30,21,0,0,0,0,0,0,2,0,100,12,0,11,203,14,10,13,92,2012-2016
B02001_7_some_other_race_alone,2053,3187,206,3119,6352,2887,12513,33979,1900,387,15915,4376,1655,2886,14135,1442,70576,10605,239,1,3144,950,207,16,967,168,87,487,102,201,2040,246,27,3403,1236,728,847,0,740,2012-2016
B02001_8_two_or_more_races,1663,1198,189,2612,4714,2309,6130,19070,3404,432,16467,2806,2790,4047,23741,799,22994,3618,394,398,6921,980,238,681,447,338,291,2375,291,381,3208,457,168,809,1782,954,1579,155,1275,2012-2016
B02001_9_two_races_including_some_other_race,272,291,32,398,953,183,721,3082,156,62,2432,292,401,521,3148,132,3950,702,67,0,1249,84,0,81,106,11,45,381,62,0,463,0,0,21,200,68,225,0,175,2012-2016
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",1391,907,157,2214,3761,2126,5409,15988,3248,370,14035,2514,2389,3526,20593,667,19044,2916,327,398,5672,896,238,600,341,327,246,1994,229,381,2745,457,168,788,1582,886,1354,155,1100,2012-2016
B11001_1_total,24000,36490,7737,40287,80378,44901,90182,271975,49457,8522,270903,47534,38933,66500,385103,19779,278996,62327,10886,4364,71000,21115,5154,6287,10348,7982,6648,35090,12288,5723,50017,11377,6026,14868,29940,22914,24619,10078,30048,2012-2016
B11001_2_family_households,17971,26634,5596,27767,60232,21623,59998,185738,37253,6453,158376,34169,30130,54415,208020,14819,212519,46123,8039,3017,55125,16008,3710,4046,7433,5696,5113,25004,9860,3981,39162,8591,4680,10415,21264,15855,16995,6416,23762,2012-2016
B11001_3_married-couple_family,12971,19708,4137,19961,48854,14353,31917,137859,28707,5126,98036,23261,25392,47035,138439,11159,158363,35101,5980,2244,38975,12530,2728,2817,5508,3762,3743,16514,8238,2961,29680,7071,3714,7396,14243,10103,10711,4620,17911,2012-2016
B11001_4_other_family,5000,6926,1459,7806,11378,7270,28081,47879,8546,1327,60340,10908,4738,7380,69581,3660,54156,11022,2059,773,16150,3478,982,1229,1925,1934,1370,8490,1622,1020,9482,1520,966,3019,7021,5752,6284,1796,5851,2012-2016
"B11001_5_male_householder,_no_wife_present",1601,2144,466,2137,3459,1627,6211,12268,2250,429,13201,2456,1167,1792,14513,1023,13995,3222,617,205,3879,984,347,292,775,506,449,2006,426,262,2704,580,351,893,1467,1024,1022,305,1727,2012-2016
"B11001_6_female_householder,_no_husband_present",3399,4782,993,5669,7919,5643,21870,35611,6296,898,47139,8452,3571,5588,55068,2637,40161,7800,1442,568,12271,2494,635,937,1150,1428,921,6484,1196,758,6778,940,615,2126,5554,4728,5262,1491,4124,2012-2016
B11001_7_nonfamily_households,6029,9856,2141,12520,20146,23278,30184,86237,12204,2069,112527,13365,8803,12085,177083,4960,66477,16204,2847,1347,15875,5107,1444,2241,2915,2286,1535,10086,2428,1742,10855,2786,1346,4453,8676,7059,7624,3662,6286,2012-2016
B11001_8_householder_living_alone,4826,7800,1780,9957,16226,15556,25332,67864,10279,1762,90100,11235,8168,9741,148351,4238,54298,13265,2463,1122,13873,4119,1301,2107,2482,2043,1361,8420,2208,1472,9176,2223,1245,3825,7220,6179,6764,3302,5325,2012-2016
B11001_9_householder_not_living_alone,1203,2056,361,2563,3920,7722,4852,18373,1925,307,22427,2130,635,2344,28732,722,12179,2939,384,225,2002,988,143,134,433,243,174,1666,220,270,1679,563,101,628,1456,880,860,360,961,2012-2016
B15002_1_total,47542,67331,16306,70887,152050,66272,165413,481463,89400,16263,485606,88440,73601,131143,663465,37178,551242,122335,19290,7846,136110,41310,9206,11639,19410,14705,12277,65767,22922,10448,94847,21707,11962,27025,56812,42819,44457,17921,57494,2012-2016
B15002_2_male,22898,32687,8610,34102,73313,31137,74739,227144,42709,7996,224072,40930,34615,63703,314695,17865,263271,59866,9264,3886,62871,20073,4386,5498,9344,6842,5789,30032,10947,5105,45154,10719,5762,12975,25819,20108,20664,8280,27193,2012-2016
B15002_3_no_schooling_completed,429,483,77,595,805,491,1790,2355,363,136,3681,466,121,798,2310,601,3894,1664,137,53,892,390,142,132,191,153,52,394,36,223,486,205,26,479,432,343,321,171,226,2012-2016
B15002_4_nursery_to_4th_grade,113,218,34,99,693,325,658,1955,139,16,2201,167,132,177,1268,298,2563,1341,18,12,167,160,23,1,16,58,23,72,45,9,53,49,0,264,38,85,143,61,156,2012-2016
B15002_5_5th_and_6th_grade,317,576,97,679,1095,363,1694,4223,390,51,4510,422,213,536,3057,508,5371,3016,99,84,261,375,28,31,131,60,31,330,18,92,435,117,7,329,228,188,237,115,113,2012-2016
B15002_6_7th_and_8th_grade,694,886,411,994,1085,363,1366,2785,757,217,2962,556,424,787,2803,600,4623,1618,585,135,902,701,91,177,304,357,130,652,81,200,598,419,106,379,384,634,519,196,324,2012-2016
B15002_7_9th_grade,680,894,364,1000,1137,500,1864,3267,741,146,3059,762,156,495,3843,616,4028,2170,314,126,986,504,208,73,262,215,301,667,126,265,617,376,157,499,464,777,419,361,456,2012-2016
B15002_8_10th_grade,842,1485,372,1455,1413,538,1722,2550,1122,360,4443,732,272,705,4534,511,4162,1867,538,144,1325,916,241,312,407,298,265,882,127,199,1076,271,259,425,710,1045,718,377,848,2012-2016
B15002_9_11th_grade,929,1256,616,1191,1252,1171,2299,2549,823,202,4123,1205,124,821,5878,827,4106,1384,439,293,1862,678,209,226,371,359,125,1556,108,124,1163,330,82,624,539,812,660,469,816,2012-2016
"B15002_10_12th_grade,_no_diploma",704,864,170,1097,1139,463,1758,2679,621,76,3908,903,507,761,4858,504,5541,1571,141,61,1383,340,96,95,163,156,39,609,146,98,1046,276,85,249,712,474,355,168,790,2012-2016
B15002_11_high_school_graduate_(includes_equivalency),7853,11151,4174,12008,17547,6853,27539,43416,13306,2316,48583,13803,6604,10530,57151,6609,63071,16760,3496,1801,20604,6674,1917,2249,3614,2767,2135,10420,2310,1979,16641,2907,2596,5058,8712,8127,7785,3208,10161,2012-2016
"B15002_12_some_college,_less_than_1_year",2089,1706,426,2131,4733,1522,4287,10488,2502,381,9273,3156,2005,3494,10809,1327,12679,3757,739,86,4106,1127,376,394,596,504,290,2013,720,312,3442,460,346,975,1413,903,1293,567,2225,2012-2016
