"NAME","year","CBSA","hhs_type","hhs_share","hhs_type_name"
NA,1980,47900,"hhs_1",0.203186743148502,"hh size: 1"
NA,1970,47900,"hhs_1",NA,"hh size: 1"
NA,2009,47900,"hhs_1",0.464635698377346,"hh size: 1"
NA,2013,47900,"hhs_1",0.429683795071058,"hh size: 1"
NA,2017,47900,"hhs_1",0.418726242663443,"hh size: 1"
NA,2000,47900,"hhs_1",0.433772269558482,"hh size: 1"
NA,1990,47900,"hhs_1",0.418730868185318,"hh size: 1"
NA,1980,47900,"hhs_1",0.407632316503514,"hh size: 1"
NA,1970,47900,"hhs_1",NA,"hh size: 1"
NA,2009,47900,"hhs_1",0.267757618878217,"hh size: 1"
NA,2013,47900,"hhs_1",0.215379180405087,"hh size: 1"
NA,2017,47900,"hhs_1",0.220143546299565,"hh size: 1"
NA,2000,47900,"hhs_1",0.23449394733558,"hh size: 1"
NA,1990,47900,"hhs_1",0.203038112030381,"hh size: 1"
NA,1980,47900,"hhs_1",0.187002460558692,"hh size: 1"
NA,1970,47900,"hhs_1",NA,"hh size: 1"
NA,2009,47900,"hhs_1",0.319854721549637,"hh size: 1"
NA,2013,47900,"hhs_1",0.321713147410359,"hh size: 1"
NA,2017,47900,"hhs_1",0.301431801055011,"hh size: 1"
NA,2000,47900,"hhs_1",0.339892665474061,"hh size: 1"
NA,1990,47900,"hhs_1",0.332613908872902,"hh size: 1"
NA,1980,47900,"hhs_1",0.333411488862837,"hh size: 1"
NA,1970,47900,"hhs_1",NA,"hh size: 1"
NA,2009,47900,"hhs_1",0.451645512748512,"hh size: 1"
NA,2013,47900,"hhs_1",0.379895694856325,"hh size: 1"
NA,2017,47900,"hhs_1",0.362894711584605,"hh size: 1"
NA,2000,47900,"hhs_1",0.392653969824388,"hh size: 1"
NA,1990,47900,"hhs_1",0.34542776810818,"hh size: 1"
NA,1980,47900,"hhs_1",0.342741254013858,"hh size: 1"
NA,1970,47900,"hhs_1",NA,"hh size: 1"
NA,2009,47900,"hhs_1",0.209482092244267,"hh size: 1"
NA,2013,47900,"hhs_1",0.197398939695162,"hh size: 1"
NA,2017,47900,"hhs_1",0.19377990430622,"hh size: 1"
NA,2000,47900,"hhs_1",0.209758167161646,"hh size: 1"
NA,1990,47900,"hhs_1",0.16570650466115,"hh size: 1"
NA,1980,47900,"hhs_1",0.15278598149242,"hh size: 1"
NA,2009,47900,"hhs_1",0.175118858954041,"hh size: 1"
NA,2013,47900,"hhs_1",0.215783540022548,"hh size: 1"
NA,2017,47900,"hhs_1",0.204478861448305,"hh size: 1"
NA,2000,47900,"hhs_1",0.145096833691977,"hh size: 1"
NA,1990,47900,"hhs_1",0.132014719411224,"hh size: 1"
NA,1980,47900,"hhs_1",0.0698924731182796,"hh size: 1"
NA,2009,47900,"hhs_1",0.224513878200195,"hh size: 1"
NA,2013,47900,"hhs_1",0.226607672582835,"hh size: 1"
NA,2017,47900,"hhs_1",0.229286812764321,"hh size: 1"
NA,2000,47900,"hhs_1",0.231472896965202,"hh size: 1"
NA,1990,47900,"hhs_1",0.214391402538743,"hh size: 1"
NA,1980,47900,"hhs_1",0.185512718600954,"hh size: 1"
NA,1970,47900,"hhs_1",NA,"hh size: 1"
"Atlanta-Sandy Springs-Roswell, GA",1970,12060,"hhs_2",NA,"hh size: 2"
"Atlanta-Sandy Springs-Roswell, GA",1980,12060,"hhs_2",0.29926395489601,"hh size: 2"
"Atlanta-Sandy Springs-Roswell, GA",1990,12060,"hhs_2",0.31616628598809,"hh size: 2"
"Atlanta-Sandy Springs-Roswell, GA",2000,12060,"hhs_2",0.313044158114581,"hh size: 2"
"Atlanta-Sandy Springs-Roswell, GA",2009,12060,"hhs_2",0.313731094566938,"hh size: 2"
"Atlanta-Sandy Springs-Roswell, GA",2013,12060,"hhs_2",0.311921113110737,"hh size: 2"
